,school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
0,2015-16,K415,84K736 ,New American Academy Charter School,K736 ,5800 TILDEN AVENUE,K,18.0,261,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11203.0,40.648657,-73.922171,17.0,45.0,936.0,3104598.0,3047420001.0,Rugby-Remsen Village                                                       
1,2015-16,M488,02M630,Art and Design High School,M630,231-249 EAST 56 STREET,M,2.0,1442,231-249 EAST 56 STREET CONSOLIDATED LOCATION,2,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10022.0,40.75924,-73.967203,6.0,4.0,108.0,1088892.0,1013300013.0,Turtle Bay-East Midtown                                                    
2,2015-16,K195,22K195,P.S. 195 Manhattan Beach,K195,131 IRWIN STREET,K,22.0,458,,1,P.S. 195 Manhattan Beach,0,1,0,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN ,11235.0,40.579451,-73.943819,15.0,48.0,620.0,3246519.0,3087520035.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
3,2015-16,K415,18K629,Cultural Academy for the Arts and Sciences,K629,5800 TILDEN AVENUE,K,18.0,354,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11203.0,40.648657,-73.922171,17.0,45.0,936.0,3104598.0,3047420001.0,Rugby-Remsen Village                                                       
4,2015-16,M075,03M075,P.S. 075 Emily Dickinson,M075,735 WEST END AVENUE,M,3.0,569,735 WEST END AVENUE CONSOLDATED LOCATION ,2,P.S. 075 Emily Dickinson| M.S. 250 West Side Collaborative Middle School| 735 WEST END AVENUE CONSOLDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10025.0,40.795157,-73.973292,7.0,6.0,183.0,1034190.0,1012530065.0,Upper West Side                                                            
5,2015-16,M488,02M059,P.S. 059 Beekman Hill International,M059,231-249 EAST 56 STREET,M,2.0,573,231-249 EAST 56 STREET CONSOLIDATED LOCATION,2,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10022.0,40.75924,-73.967203,6.0,4.0,108.0,1088892.0,1013300013.0,Turtle Bay-East Midtown                                                    
6,2015-16,K075,32K075,P.S. 075 Mayda Cortiella,K075,95 GROVE STREET,K,32.0,446,,1,P.S. 075 Mayda Cortiella,1,0,2,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN ,11221.0,40.693313,-73.920666,4.0,34.0,419.0,3075879.0,3033140001.0,Bushwick South                                                             
7,2015-16,K194,22K194,P.S. 194 Raoul Wallenberg,K194,3117 AVENUE W,K,22.0,495,,1,P.S. 194 Raoul Wallenberg,0,0,1,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN ,11229.0,40.596757,-73.933499,15.0,46.0,570.0,3201629.0,3073930001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
8,2015-16,K291,32K291,J.H.S. 291 Roland Hayes,K291,231 PALMETTO STREET,K,32.0,349,231 PALMETTO STREET CONSOLIDATED LOCATION,3,"J.H.S. 291 Roland Hayes |  Bushwick Community High School | Math, Engineering, and Science Academy Charter Hig |  231 PALMETTO STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11221.0,40.695362,-73.915142,4.0,37.0,433.0,3076460.0,3033430001.0,Bushwick North                                                             
9,2015-16,K415,18K569,Kurt Hahn Expeditionary Learning School,K569,5800 TILDEN AVENUE,K,18.0,357,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11203.0,40.648657,-73.922171,17.0,45.0,936.0,3104598.0,3047420001.0,Rugby-Remsen Village                                                       
10,2015-16,K819,19K409,East New York Family Academy,K409,2057 LINDEN BOULEVARD,K,19.0,491,,1,East New York Family Academy,0,0,1,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN ,11207.0,40.661072,-73.886942,5.0,42.0,1104.0,3097444.0,3043280015.0,East New York                                                              
11,2015-16,M072,04M072,The Lexington Academy,M072,131 EAST 104 STREET,M,4.0,638,,1,The Lexington Academy,1,4,2,2,3,4C,501-750,0.28,1.11,1.74,0.75,0.53,MANHATTAN,10029.0,40.791179,-73.947776,11.0,8.0,166.0,1081340.0,1016320011.0,East Harlem South                                                          
12,2015-16,M176,06M314,Muscota,M314,4862 BROADWAY,M,6.0,270,4862 BROADWAY CONSOLIDATED LOCATION,2,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10034.0,40.866706,-73.923948,12.0,10.0,291.0,1064900.0,1022340007.0,Marble Hill-Inwood                                                         
13,2015-16,M485,03M485,Fiorello H. LaGuardia High School of Music & Art a,M485,100 AMSTERDAM AVENUE,M,3.0,2713,,1,Fiorello H. LaGuardia High School of Music & Art a,0,4,2,2,0,11C,2501-3000,3.14,13,34.86,8.29,5.29,MANHATTAN,10023.0,40.773629,-73.985273,7.0,6.0,151.0,1030341.0,1011560030.0,Lincoln Square                                                             
14,2015-16,K028,16K028,P.S. 028 The Warren Prep Academy,K028,1001 HERKIMER STREET,K,16.0,199,,1,P.S. 028 The Warren Prep Academy,0,1,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,BROOKLYN ,11233.0,40.678049,-73.92032,3.0,41.0,301.0,3042090.0,3015480019.0,Ocean Hill                                                                 
