school_dbn,school_name,is_cte_designated_high_school,cte_program_name,cte_program_industry_cluster,nysed_approval_status,cte_enrolled_student_count,enrolled_student_grades,number_of_industry_partners
02M135,The Urban Assembly School for Emergency Management,1.0,Computer and Information Systems Security,Information Technology,Non-Approved,0,,
02M135,The Urban Assembly School for Emergency Management,1.0,Securities Services Administration/Management,Law and Public Safety,Non-Approved,0,,
02M135,The Urban Assembly School for Emergency Management,1.0,"Security and Protective Services, Other",Law and Public Safety,Non-Approved,251,91011.0,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,1.0,"Construction Trades, Other",Architecture and Construction,Non-Approved,171,91011.0,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,1.0,Landscaping & Groundskeeping,"Agriculture, Food and Natural Resources",Approved,0,,2.0
02M280,Manhattan Early College School for Advertising,1.0,"Computer Software and Media Applications, Other",Information Technology,Non-Approved,0,,
02M282,Urban Assembly Maker Academy,1.0,"Computer Engineering Technologies/Technician, Other",Information Technology,Non-Approved,0,,
02M282,Urban Assembly Maker Academy,1.0,"Computer Programming/Programmer, General",Information Technology,Non-Approved,85,910.0,
02M282,Urban Assembly Maker Academy,1.0,"Computer Software and Media Applications, Other",Information Technology,Non-Approved,104,910.0,
02M288,Food and Finance High School,1.0,Culinary Arts/Chef Training,Hospitality and Tourism,Approved,405,9101112.0,2.0
02M392,Manhattan Business Academy,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Approved,304,9101112.0,5.0
02M393,Business Of Sports School,1.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Approved,435,9101112.0,7.0
02M420,High School for Health Professions and Human Services,0.0,Clinical/Medical Laboratory Assistant,Health Science,Non-Approved,303,101112.0,
02M489,High School of Economics and Finance,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Non-Approved,84,101112.0,2.0
02M489,High School of Economics and Finance,0.0,Accounting and Finance,Business Management and Administration,Approved,657,9101112.0,4.0
02M507,Urban Assembly Gateway School for Technology,1.0,"Computer Programming/Programmer, General",Information Technology,Non-Approved,138,9101112.0,
02M507,Urban Assembly Gateway School for Technology,1.0,Computer Installation and Repair Technology/Technician,Information Technology,Approved,96,9101112.0,2.0
02M507,Urban Assembly Gateway School for Technology,1.0,"Computer Software and Media Applications, Other",Information Technology,Approved,226,9101112.0,2.0
02M519,Talent Unlimited High School,0.0,"Dance, General","Arts, Audio/Video Technology and Communications",Pending NYSED approval,78,101112.0,
02M519,Talent Unlimited High School,0.0,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications",Non-Approved,126,9101112.0,
02M520,Murry Bergtraum High School for Business Careers,0.0,"Corrections and Criminal Justice, Other",Law and Public Safety,Non-Approved,89,9101112.0,
02M520,Murry Bergtraum High School for Business Careers,0.0,Criminal Justice/Police Science,Law and Public Safety,Non-Approved,96,9101112.0,
02M529,Jacqueline Kennedy Onassis High School,0.0,Tourism and Travel Services Management,Hospitality and Tourism,Non-Approved,200,9101112.0,
02M529,Jacqueline Kennedy Onassis High School,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Non-Approved,240,9101112.0,7.0
02M533,Union Square Academy for Health Sciences,1.0,Dental Laboratory Technology/Technician,Health Science,Non-Approved,139,9101112.0,
02M533,Union Square Academy for Health Sciences,1.0,Pharmacy Technician/Assistant,Health Science,Non-Approved,148,9101112.0,
02M542,Manhattan Bridges High School,0.0,Civil Drafting and Civil Engineering CAD/CADD,Manufacturing Production,Non-Approved,160,9101112.0,
02M542,Manhattan Bridges High School,0.0,"Computer and Information Sciences, General",Information Technology,Non-Approved,290,9101112.0,
02M546,Academy for Software Engineering,1.0,"Computer Programming/Programmer, General",Information Technology,Non-Approved,448,9101112.0,
02M551,Urban Assembly New York Harbor School,1.0,"Diver, Professional and Instructor","Transportation, Distribution & Logistics",Pending NYSED approval,63,9101112.0,
02M551,Urban Assembly New York Harbor School,1.0,Marine Science/Merchant Marine Officer,"Transportation, Distribution and Logistics",Approved,63,9101112.0,2.0
02M551,Urban Assembly New York Harbor School,1.0,"Water, Wetlands and Marine Resources Management","Agriculture, Food and Natural Resources",Approved,65,9101112.0,2.0
02M551,Urban Assembly New York Harbor School,1.0,Robotics Technology/Technician,Manufacturing Production,Approved,67,9101112.0,2.0
02M551,Urban Assembly New York Harbor School,1.0,Aquaculture,"Agriculture, Food and Natural Resources",Approved,72,9101112.0,2.0
02M551,Urban Assembly New York Harbor School,1.0,Marine Maintenance/Fitter and Ship Repair Technology/Technician,"Transportation, Distribution and Logistics",Approved,80,9101112.0,2.0
02M600,The High School of Fashion Industries,1.0,Fashion Merchandising,Marketing Sales and Services,Approved,29,12.0,2.0
02M600,The High School of Fashion Industries,1.0,Apparel and Textile Marketing Management,Marketing Sales and Services,Approved,318,9101112.0,2.0
02M600,The High School of Fashion Industries,1.0,Graphic Design,"Arts, Audio/Video Technology and Communications",Approved,382,9101112.0,2.0
02M600,The High School of Fashion Industries,1.0,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications",Approved,1046,9101112.0,2.0
02M615,Chelsea Career and Technical Education High School,1.0,Computer Systems Networking and Telecommunications,Information Technology,Approved,38,1112.0,2.0
02M615,Chelsea Career and Technical Education High School,1.0,Computer Installation and Repair Technology/Technician,Information Technology,Approved,93,101112.0,2.0
02M615,Chelsea Career and Technical Education High School,1.0,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production,Approved,291,9101112.0,2.0
02M630,Art and Design High School,1.0,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production,Non-Approved,129,9101112.0,
02M630,Art and Design High School,1.0,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications",Non-Approved,130,9101112.0,
02M630,Art and Design High School,1.0,Photographic and Film/Video Technology/Technician and Assistant,"Arts, Audio/Video Technology and Communications",Approved,0,,2.0
02M630,Art and Design High School,1.0,Commercial Photography,"Arts, Audio/Video Technology and Communications",Approved,67,9101112.0,2.0
02M630,Art and Design High School,1.0,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications",Approved,78,9101112.0,2.0
02M630,Art and Design High School,1.0,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production,Approved,135,9101112.0,2.0
02M630,Art and Design High School,1.0,"Animation, Interactive Technology, Video Graphics and Special Effects",Manufacturing Production,Approved,262,9101112.0,2.0
02M630,Art and Design High School,1.0,Illustration,"Arts, Audio/Video Technology and Communications",Approved,594,9101112.0,2.0
03M299,The Maxine Greene HS for Imaginative Inquiry,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Non-Approved,318,9101112.0,2.0
03M402,The Urban Assembly School for Green Careers,1.0,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources",Non-Approved,94,9101112.0,
03M402,The Urban Assembly School for Green Careers,1.0,Building/Property Maintenance and Manager,Architecture and Construction,Non-Approved,220,9101112.0,
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications",Non-Approved,93,9101112.0,
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0,"Dance, General","Arts, Audio/Video Technology and Communications",Non-Approved,223,9101112.0,
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications",Non-Approved,362,9101112.0,
05M157,The Urban Assembly School for Global Commerce,1.0,Logistics and Materials Management,"Transportation, Distribution and Logistics",Non-Approved,0,,
05M157,The Urban Assembly School for Global Commerce,1.0,Transportation/Transportation Management,"Transportation, Distribution and Logistics",Non-Approved,0,,
05M157,The Urban Assembly School for Global Commerce,1.0,"Engineering Technology, General",Scientific Research and Engineering,Non-Approved,197,91011.0,
05M362,Columbia Secondary School,0.0,Architectural Engineering Technology/Technician,Architecture and Construction,Non-Approved,374,9101112.0,
06M211,Inwood Early College for Health and Information Technologies,1.0,Information Technology,Information Technology,Non-Approved,193,910.0,
06M467,High School for Law and Public Service,0.0,"Corrections and Criminal Justice, Other",Law and Public Safety,Non-Approved,304,9101112.0,
