,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
0,288,K247,20K247,PS 247(BROOKLYN),K247,7000 21st AVENUE,K,20,883,1,PS 247(BROOKLYN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-76.974907, 38.974981]}",10889,,,,,
1,335,K281,21K281,IS 281(BS),K281,8787  24th AVENUE,K,21,1342,1,IS 281(BS),0,6,9,2,2,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-104.885878, 39.751528]}",20975,,,,,
2,359,K298,23K298,PS 298(BROOKLYN),K298,85 WATKINS STREET,K,23,205,1,PS 298(BROOKLYN),0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.908193, 40.670936]}",17614,55.0,2.0,37.0,46.0,
3,390,K318,14K318,JHS 318(BN),K318,101 WALTON STREET,K,14,1230,1,JHS 318(BN),0,2,1,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-79.670906, 34.623679]}",27087,,,,,
4,400,K327,23K327,PS 327(BROOKLYN),K327,111 BRISTOL STREET,K,23,299,1,PS 327(BROOKLYN),1,1,4,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-72.931594, 41.315558]}",13460,,,,,
5,421,K369,75K369,P369(BN),K369,383 STATE STREET,K,15,646,1,P369(BN),0,5,2,0,5,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-67.988924, 46.685108]}",15514,,,,,
6,453,K410,21K410,ABRAHAM LINCOLN HS(BS),K410,2800 Ocean Parkway,K,21,1535,1,ABRAHAM LINCOLN HS(BS),0,6,27,5,1,8C,1501-1750,0.45,2.95,7.14,1.48,1.60,"{'type': 'Point', 'coordinates': [-73.967408, 40.582443]}",13826,21.0,2.0,45.0,35.0,
7,576,K728,21K728,LIBERATION DIPLOMA PLUS HS(BS),K728,2865 W.19th St.,K,21,134,1,LIBERATION DIPLOMA PLUS HS(BS),0,3,6,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-85.908823, 39.744135]}",16009,,,,,
8,648,M020,01M020,PS 20 ANNA SILVER(MANHATTAN),M020,166 ESSEX STREET,M,1,463,1,PS 20 ANNA SILVER(MANHATTAN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-71.030916, 42.387465]}",16884,,,,,
9,834,M171,04M171,PS 171(MANHATTAN),M171,19 EAST 103 STREET,M,4,685,1,PS 171(MANHATTAN),0,4,5,2,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-76.486176, 38.979269]}",28576,,,,,
10,981,M540,06M540,AP RANDOLPH CAMPUS HS(MN),M540,443 WEST 135TH STREET,M,6,1110,1,AP RANDOLPH CAMPUS HS(MN),4,3,18,2,4,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-118.281951, 33.909157]}",24355,,,,,
11,1004,M812,05M692,HS FOR MATHEMATICS SCIENCE & ENGINEERING@CITY COLLEGE(MN),M692,240 Convent Ave,M,5,390,1,HS FOR MATHEMATICS SCIENCE & ENGINEERING@CITY COLLEGE(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.948683, 40.821297]}",12428,37.0,4.0,36.0,17.0,
12,1222,Q190,28Q190,JHS 190(QN),Q190,68-17 AUSTIN STREET,Q,28,1056,1,JHS 190(QN),1,1,3,0,2,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-71.807361, 42.261103]}",22811,,,,,
13,1282,Q238,29Q238,IS 238(QS),Q238,88-15 182 STREET,Q,29,1411,1,IS 238(QS),0,2,1,0,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-106.619255, 35.180771]}",6577,,,,,
