dbn,school_name,total_students,students_in_temporary_housing,students_in_temporary_housing_1,students_residing_in_shelter,residing_in_dhs_shelter,residing_in_non_dhs_shelter,doubled_up
01M015,P.S. 015 Roberto Clemente,187,67,0.36,16,6,10,49
01M019,P.S. 019 Asher Levy,274,34,0.12,19,s,s,15
01M020,P.S. 020 Anna Silver,512,95,0.19,41,26,15,51
01M034,P.S. 034 Franklin D. Roosevelt,348,84,0.24,46,34,12,38
01M063,The STAR Academy - P.S.63,212,52,0.25,13,s,s,37
01M064,P.S. 064 Robert Simon,256,46,0.18,18,s,s,25
01M110,P.S. 110 Florence Nightingale,394,52,0.13,14,s,s,37
01M134,P.S. 134 Henrietta Szold,318,50,0.16,31,24,7,17
01M140,P.S. 140 Nathan Straus,394,72,0.18,23,17,6,48
01M142,P.S. 142 Amalia Castro,357,96,0.27,30,s,s,62
01M184,P.S. 184m Shuang Wen,693,78,0.11,s,s,s,74
01M188,P.S. 188 The Island School,462,185,0.40,124,104,20,58
01M292,Orchard Collegiate Academy,165,24,0.15,9,s,s,12
01M301,"Technology, Arts, and Sciences Studio",99,15,0.15,8,s,s,6
01M315,The East Village Community School,332,14,0.04,8,s,s,6
01M332,University Neighborhood Middle School,209,30,0.14,10,s,s,18
01M361,The Children's Workshop School,323,30,0.09,13,s,s,14
01M363,Neighborhood School,310,26,0.08,s,s,s,23
01M364,Earth School,363,51,0.14,12,s,s,38
01M378,School for Global Leaders,276,49,0.18,22,s,s,24
01M444,Home Schooling,49,s,s,s,s,s,s
01M448,University Neighborhood High School,469,73,0.16,12,s,s,59
01M450,East Side Community School,685,41,0.06,15,s,s,26
01M458,Forsyth Satellite Academy,231,29,0.13,14,8,6,7
01M509,Marta Valle High School,138,20,0.14,11,s,s,8
01M515,Lower East Side Preparatory High School,672,100,0.15,14,s,s,78
01M539,"New Explorations into Science, Technology and Math",1739,15,0.01,s,s,s,12
01M650,Cascades High School,263,31,0.12,15,s,s,12
01M696,Bard High School Early College,587,15,0.03,s,s,s,8
01M700,Universal Pre-K C.B.O.,367,53,0.14,24,s,s,26
01M839,Tompkins Square Middle School,375,34,0.09,7,s,s,21
02M001,P.S. 001 Alfred E. Smith,342,23,0.07,15,s,s,7
02M002,P.S. 002 Meyer London,574,132,0.23,20,13,7,109
02M003,P.S. 003 Charrette School,769,9,0.01,s,s,s,7
02M006,P.S. 006 Lillie D. Blake,714,s,s,s,s,s,s
02M011,P.S. 011 William T. Harris,950,52,0.05,24,17,7,27
02M033,P.S. 033 Chelsea Prep,679,111,0.16,76,68,8,32
02M040,P.S. 040 Augustus Saint-Gaudens,722,6,0.01,s,s,s,6
02M041,P.S. 041 Greenwich Village,703,s,s,s,s,s,s
02M042,P.S. 042 Benjamin Altman,665,50,0.08,s,s,s,46
02M047,47 The American Sign Language and English Secondar,174,17,0.10,9,s,s,8
02M051,P.S. 051 Elias Howe,517,143,0.28,78,s,s,59
02M059,P.S. 059 Beekman Hill International,642,s,s,s,s,s,s
02M077,P.S. 77 Lower Lab School,358,s,s,s,s,s,s
02M089,P.S. 89,449,s,s,s,s,s,s
02M104,J.H.S. 104 Simon Baruch,1184,73,0.06,30,23,7,42
02M111,P.S. 111 Adolph S. Ochs,442,99,0.22,59,s,s,36
02M114,East Side Middle School,453,s,s,s,s,s,s
02M116,P.S. 116 Mary Lindley Murray,575,79,0.14,57,s,s,20
02M124,P.S. 124 Yung Wing,738,36,0.05,s,s,s,35
02M126,P.S. 126 Jacob August Riis,795,181,0.23,8,s,s,173
02M130,P.S. 130 Hernando De Soto,922,15,0.02,s,s,s,15
02M131,M.S. 131,453,108,0.24,14,s,s,93
02M135,The Urban Assembly School for Emergency Management,286,45,0.16,21,13,8,13
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,399,35,0.09,21,12,9,7
02M150,P.S. 150,187,s,s,s,s,s,s
02M151,Yorkville Community School,526,51,0.10,13,6,7,35
02M158,P.S. 158 Bayard Taylor,825,15,0.02,s,s,s,8
02M167,J.H.S. 167 Robert F. Wagner,1368,41,0.03,7,s,s,29
02M177,Yorkville East Middle School,238,8,0.03,s,s,s,s
02M183,P.S. 183 Robert L. Stevenson,600,s,s,s,s,s,s
02M198,P.S. 198 Isador E. Ida Straus,486,20,0.04,6,s,s,6
02M212,P.S. 212 Midtown West,373,s,s,s,s,s,s
02M217,P.S./I.S. 217 Roosevelt Island,658,15,0.02,6,s,s,9
02M225,Ella Baker School,326,14,0.04,s,s,s,7
02M234,P.S. 234 Independence School,664,s,s,s,s,s,s
02M255,M.S. 255 Salk School of Science,391,s,s,s,s,s,s
02M260,M.S. 260 Clinton School Writers & Artists,601,7,0.01,s,s,s,6
02M267,"East Side Elementary School, PS 267",416,s,s,s,s,s,s
02M276,Battery Park City School,866,12,0.01,s,s,s,s
02M280,Manhattan Early College School for Advertising,379,34,0.09,11,s,s,20
02M281,The River School,305,9,0.03,s,s,s,9
02M282,Urban Assembly Maker Academy,387,28,0.07,11,s,s,15
02M288,Food and Finance High School,382,35,0.09,14,s,s,19
02M289,I.S. 289,284,15,0.05,s,s,s,11
02M290,P.S. 290 Manhattan New School,650,s,s,s,s,s,s
02M294,Essex Street Academy,339,19,0.06,7,s,s,10
02M296,High School of Hospitality Management,394,30,0.08,15,s,s,11
02M297,M.S. 297,218,s,s,s,s,s,s
02M298,Pace High School,551,35,0.06,12,s,s,20
02M300,"Urban Assembly School of Design and Construction,",357,66,0.18,30,14,16,32
02M303,"Facing History School, The",382,44,0.12,15,8,7,26
02M305,"Urban Assembly Academy of Government and Law, The",301,47,0.16,20,11,9,23
02M308,Lower Manhattan Arts Academy,320,36,0.11,12,s,s,20
02M312,New York City Lab Middle School for Collaborative,556,s,s,s,s,s,s
02M313,"James Baldwin School, The: A School for Expedition",267,26,0.10,12,s,s,8
02M316,"Urban Assembly School of Business for Young Women,",228,20,0.09,8,s,s,10
02M340,Sixth Avenue Elementary School,288,8,0.03,7,s,s,s
02M343,The Peck Slip School,452,s,s,s,s,s,s
02M347,The 47 American Sign Language & English Lower Scho,206,31,0.15,12,s,s,13
02M374,Gramercy Arts High School,484,34,0.07,16,10,6,13
02M376,NYC iSchool,459,19,0.04,s,s,s,11
02M391,District 2 Pre-K Center,390,7,0.02,s,s,s,s
02M392,MANHATTAN BUSINESS ACADEMY,425,33,0.08,14,s,s,18
02M393,Business Of Sports School,437,49,0.11,23,14,9,21
02M394,Emma Lazarus High School,378,22,0.06,6,s,s,15
02M397,Spruce Street School,550,16,0.03,12,s,s,s
02M399,The High School For Language And Diplomacy,336,47,0.14,10,s,s,34
02M400,High School for Environmental Studies,1200,90,0.08,29,20,9,54
02M407,Institute for Collaborative Education,497,16,0.03,s,s,s,6
02M408,Professional Performing Arts High School,567,24,0.04,s,s,s,s
02M411,Baruch College Campus High School,472,25,0.05,s,s,s,23
02M412,N.Y.C. Lab School for Collaborative Studies,495,10,0.02,s,s,s,7
02M413,School of the Future High School,759,39,0.05,s,s,s,26
02M414,N.Y.C. Museum School,446,10,0.02,s,s,s,6
02M416,Eleanor Roosevelt High School,542,s,s,s,s,s,s
02M418,Millennium High School,665,26,0.04,s,s,s,22
02M419,Landmark High School,352,20,0.06,8,s,s,10
02M420,High School for Health Professions and Human Servi,1812,111,0.06,27,20,7,77
02M422,Quest to Learn,577,67,0.12,35,26,9,26
02M425,Leadership and Public Service High School,524,49,0.09,25,14,11,21
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,291,105,0.36,18,s,s,82
02M432,Murray Hill Academy,307,28,0.09,8,s,s,17
02M437,Hudson High School of Learning Technologies,469,47,0.10,18,8,10,26
02M438,International High School at Union Square,383,153,0.40,11,s,s,137
02M439,Manhattan Village Academy,461,18,0.04,s,s,s,14
02M442,"Ballet Tech, NYC Public School for Dance",145,s,s,s,s,s,s
02M444,Home Schooling,287,17,0.06,15,s,s,s
02M449,Vanguard High School,449,24,0.05,10,s,s,11
02M459,Manhattan International High School,341,77,0.23,8,s,s,63
02M473,Washington Irving Yabc,116,12,0.10,8,s,s,s
02M475,Stuyvesant High School,3339,53,0.02,s,s,s,49
02M489,High School of Economics and Finance,736,53,0.07,17,11,6,34
02M500,Unity Center for Urban Technologies,261,35,0.13,20,11,9,12
02M507,Urban Assembly Gateway School for Technology,460,38,0.08,15,6,9,23
02M519,Talent Unlimited High School,480,19,0.04,s,s,s,13
02M520,Murry Bergtraum High School for Business Careers,258,20,0.08,9,s,s,8
02M527,P.S. 527 - East Side School for Social Action,401,15,0.04,s,s,s,7
02M529,Jacqueline Kennedy Onassis High School,573,72,0.13,31,17,14,35
02M531,Repertory Company High School for Theatre Arts,245,14,0.06,s,s,s,9
02M533,Union Square Academy for Health Sciences,409,32,0.08,11,s,s,20
02M534,Harvest Collegiate High School,495,31,0.06,9,s,s,20
22K245,P.S. 245,330,31,0.09,8,s,s,22
02M542,Manhattan Bridges High School,542,132,0.24,13,s,s,113
02M543,New Design High School,427,43,0.10,18,9,9,22
02M544,Independence High School,387,54,0.14,29,21,8,18
02M545,High School for Dual Language and Asian Studies,396,56,0.14,s,s,s,56
02M546,Academy for Software Engineering,457,18,0.04,10,s,s,7
02M550,Liberty High School Academy for Newcomers,549,171,0.31,16,s,s,141
02M551,Urban Assembly New York Harbor School,521,22,0.04,8,s,s,12
02M560,High School M560 - City As School,682,64,0.09,26,15,11,32
02M565,Urban Academy Laboratory High School,159,9,0.06,s,s,s,s
02M570,Satellite Academy High School,274,23,0.08,s,s,s,12
02M575,Manhattan Comprehensive Night and Day High School,880,99,0.11,25,11,14,56
02M580,Richard R. Green High School of Teaching,502,35,0.07,17,10,7,16
02M586,Harvey Milk High School,88,13,0.15,s,s,s,6
02M600,The High School of Fashion Industries,1581,88,0.06,41,23,18,41
02M605,Humanities Preparatory Academy,232,39,0.17,10,s,s,28
02M615,Chelsea Career and Technical Education High School,434,36,0.08,14,8,6,19
02M630,Art and Design High School,1450,63,0.04,13,7,6,48
02M655,Life Sciences Secondary School,574,78,0.14,31,19,12,43
02M700,Universal Pre-K C.B.O.,953,88,0.09,26,s,s,62
02M896,Lower Manhattan Community Middle School,391,24,0.06,s,s,s,22
02M933,City Knoll Middle School,241,58,0.24,42,s,s,15
03M009,P.S. 009 Sarah Anderson,630,45,0.07,8,s,s,37
03M054,J.H.S. 054 Booker T. Washington,862,16,0.02,s,s,s,10
03M075,P.S. 075 Emily Dickinson,579,89,0.15,39,30,9,47
03M076,P.S. 076 A. Philip Randolph,505,138,0.27,80,59,21,57
03M084,P.S. 084 Lillian Weber,682,54,0.08,14,s,s,31
03M087,P.S. 087 William Sherman,914,17,0.02,15,s,s,s
03M145,"P.S. 145, The Bloomingdale School",421,127,0.30,76,66,10,45
03M149,P.S. 149 Sojourner Truth,242,47,0.19,26,20,6,19
03M163,P.S. 163 Alfred E. Smith,585,53,0.09,16,s,s,33
03M165,P.S. 165 Robert E. Simon,629,142,0.23,44,35,9,96
03M166,P.S. 166 The Richard Rodgers School of The Arts an,665,14,0.02,s,s,s,10
03M180,P.S. 180 Hugo Newman,561,72,0.13,24,15,9,42
03M185,P.S. 185 - The Early Childhood Discovery and Desig,265,24,0.09,17,s,s,7
03M191,The Riverside School for Makers and Artists,555,71,0.13,27,s,s,38
03M199,P.S. 199 Jessie Isador Straus,866,s,s,s,s,s,s
03M208,The Alain L. Locke Magnet School for Environmental,127,17,0.13,10,s,s,6
03M241,STEM Institute of Manhattan,145,27,0.19,9,s,s,16
03M242,P.S. 242 - The Young Diplomats Magnet Academy,182,55,0.30,28,22,6,27
03M243,M.S. 243 Center School,235,s,s,s,s,s,s
03M245,M.S. M245 The Computer School,403,10,0.02,s,s,s,8
03M247,M.S. M247 Dual Language Middle School,207,29,0.14,9,s,s,19
03M250,M.S. 250 West Side Collaborative Middle School,176,27,0.15,10,s,s,13
03M256,Lafayette Academy,147,31,0.21,13,s,s,16
03M258,Community Action School - MS 258,220,31,0.14,13,s,s,16
03M291,West End Secondary School,337,11,0.03,s,s,s,8
03M299,The Maxine Greene HS for Imaginative Inquiry,420,70,0.17,31,20,11,33
03M307,"Urban Assembly School for Media Studies, The",403,40,0.10,19,13,6,16
03M333,P.S. 333 Manhattan School for Children,765,12,0.02,s,s,s,8
03M334,The Anderson School,539,s,s,s,s,s,s
03M402,The Urban Assembly School for Green Careers,312,39,0.13,13,6,7,22
03M403,The Global Learning Collaborative,436,53,0.12,13,s,s,33
03M404,Innovation Diploma Plus,232,31,0.13,15,s,s,12
03M415,Wadleigh Secondary School for the Performing & Vis,272,41,0.15,24,16,8,16
