,indicator_data_id,indicator_id,name,measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_valuemessage
0,130728,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,1,Bronx,2005,2.8
1,130729,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,2,Brooklyn,2005,2.8
2,130730,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,3,Manhattan,2005,4.7
3,130731,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,4,Queens,2005,1.9
4,130732,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,5,Staten Island,2005,1.6
5,130727,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Citywide,1,New York City,2005,2.9
6,130685,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,101,Kingsbridge - Riverdale,2005,2.9
7,130686,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,102,Northeast Bronx,2005,2.8
8,130687,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,103,Fordham - Bronx Pk,2005,2.7
9,130688,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,104,Pelham - Throgs Neck,2005,2.7
10,130689,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,105,Crotona -Tremont,2005,3.0
11,130690,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,106,High Bridge - Morrisania,2005,3.0
12,130691,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,107,Hunts Point - Mott Haven,2005,2.8
13,130692,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,201,Greenpoint,2005,3.7
14,130693,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,202,Downtown - Heights - Slope,2005,3.7
15,130694,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2.5
16,130695,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,204,East New York,2005,2.3
17,130696,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,205,Sunset Park,2005,3.2
18,130697,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,206,Borough Park,2005,2.5
19,130698,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,207,East Flatbush - Flatbush,2005,2.3
20,130699,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,208,Canarsie - Flatlands,2005,2.4
21,130700,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,209,Bensonhurst - Bay Ridge,2005,2.8
22,130701,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,210,Coney Island - Sheepshead Bay,2005,2.4
23,130702,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,211,Williamsburg - Bushwick,2005,2.8
24,130703,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,301,Washington Heights,2005,4.1
25,130704,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,302,Central Harlem - Morningside Heights,2005,3.9
26,130705,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,303,East Harlem,2005,4.2
27,130706,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,304,Upper West Side,2005,3.9
28,130707,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,305,Upper East Side,2005,4.5
29,130708,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,306,Chelsea - Clinton,2005,4.9
