,requestid,applicationid,requesttype,house,street,borough,bin,block,lot,ownername,expirationdate,make,model,burnermake,burnermodel,primaryfuel,secondaryfuel,quantity,issuedate,status,premisename
0,256924,CA000898,REGISTRATION,420,RIVERSIDE DRIVE,MANHATTAN,57365.0,1896.0,1.0,420 RIVERSIDE OWNERS CORP-ATT:HOFFMAN MGMT,2022-01-22T00:00:00.000,LAARS,PW-1200,LAARS,PW-1200,NATURALGAS,NONE,1,2019-01-31T10:46:31.000,CURRENT        ,420 RIVERSIDE DRIVE CORP
1,133652,CA000967,CERTIFICATE TO OPERATE,32-02,QUEENS BOULEVARD,QUEENS,3444.0,249.0,7501.0,ARIANA REALTY,1997-10-22T00:00:00.000,ROCKMILLS MP250,ROCKMILLS MP250,HEV E OIL AM8 12 E,HEV E OIL AM8 12 E,NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
2,206109,CA000968,WORK PERMIT,600,EAST   82 STREET,MANHATTAN,,1589.0,41.0,55 RESIDENTS CORP,,,,,,NONE,NONE,0,1987-03-03T00:00:00.000,CANCELLED      ,
3,113469,CA000970,CERTIFICATE TO OPERATE,2335,CROTONA AVENUE,BRONX,12876.0,3103.0,43.0,2335 CROTONA AVENUE LLC.,2007-07-01T00:00:00.000,ROCKMILLS   MP-80,ROCKMILLS   MP-80,I.C.I. AM 5 E,I.C.I. AM 5 E,NO6FUEL,NONE,1,1990-01-09T00:00:00.000,CANCELLED      ,
4,118187,CA000975,CERTIFICATE TO OPERATE,150,EAST   30 STREET,MANHATTAN,18267.0,885.0,51.0,"WILLARD REALTY,LLC C/O ARTHUR LEEDS ASSOCIATES",2009-04-30T00:00:00.000,SPENCER C-600,SPENCER C-600,IRON FIREMAN C 120 GO-C,IRON FIREMAN C 120 GO-C,NO2FUEL,NATURALGAS,1,1900-01-01T00:00:00.000,CANCELLED      ,
5,133651,CA000976,CERTIFICATE TO OPERATE,1165,BROADWAY,MANHATTAN,15683.0,829.0,22.0,1165 BROADWAY,1999-12-03T00:00:00.000,E RITZLER HRT,E RITZLER HRT,HEV-E-OIL DE-54,HEV-E-OIL DE-54,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
6,123067,CA000977,CERTIFICATE TO OPERATE,370,EAST   76 STREET,MANHATTAN,45148.0,1450.0,23.0,. THE NEWPORT EAST INC.,2012-11-22T00:00:00.000,FEDERAL FST-350SP,FEDERAL FST-350SP,HEV-E-OIL DE 145 P,HEV-E-OIL DE 145 P,NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
7,121036,CA000978,CERTIFICATE TO OPERATE,2301,65 STREET,BROOKLYN,172477.0,6559.0,1.0,A &AMP; A MANAGEMENT,1990-07-01T00:00:00.000,WEIL-MCLAIN BL-786,WEIL-MCLAIN BL-786,PEABODY-GORDON- PIATT WRL-8.1-0-05,PEABODY-GORDON- PIATT WRL-8.1-0-05,NO2FUEL,NONE,1,1987-01-09T00:00:00.000,CANCELLED      ,
8,193296,CA000980,CERTIFICATE TO OPERATE,72-81,113 STREET,QUEENS,52718.0,2251.0,2.0,SEMINOLE OWNNERS CORP.,2019-12-21T00:00:00.000,TITUSVILLE ,UNKNOWN,RAY PACER ,144 SIZE 200,NO2FUEL,NATURALGAS,2,2017-02-09T09:32:37.000,EXPIRED        ,"M.P.J. REALTY, INC."
9,117780,CA000983,CERTIFICATE TO OPERATE,305,BROADWAY,MANHATTAN,1659.0,151.0,32.0,H. LIEBLICH &AMP; CO ,2013-06-06T00:00:00.000,ROCKMILLS MP-250,ROCKMILLS MP-250,HEV-E DEG-105 P,HEV-E DEG-105 P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
