development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_therms,es_commodity,underlying_utility
PELHAM PARKWAY,BRONX,PELHAM PARKWAY,BLD 22,NONE,,39,586,B003900,FEDERAL,NY005010390P,CONSOLIDATED EDISON COMPANY OF NY,8171578,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3465964,N,9.18,Trans Gen Non-Res,Yes,18.46,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 03,AMR,,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8165926,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3760321,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
ROBINSON,MANHATTAN,ROBINSON,BLD 01,NONE,,241,346,M024100,FEDERAL,NY005012410P,CONSOLIDATED EDISON COMPANY OF NY,8172474,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3608591,N,221.4,Trans Gen Non-Res,Yes,343.87,UTILITY GAS,ConEd
GOMPERS,MANHATTAN,GOMPERS,BLD 02,NONE,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8171169,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2729047,N,821.39,Trans Gen Non-Res,Yes,1670.0,UTILITY GAS,ConEd
MORRIS II,BRONX,MORRIS II,BLD 13,NONE,,502,280,B050200,FEDERAL,NY005011020P,CONSOLIDATED EDISON COMPANY OF NY,8166151,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3263280,N,29.29,Trans Gen Non-Res,Yes,44.11,UTILITY GAS,ConEd
MILL BROOK,BRONX,MILL BROOK,BLD 08,NONE,,84,570,B008400,FEDERAL,NY005010840P,CONSOLIDATED EDISON COMPANY OF NY,8172257,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3266984,Y,147.92,Trans Gen Non-Res,Yes,322.17,UTILITY GAS,ConEd
SMITH,MANHATTAN,SMITH,BLD 10,NONE,,27,531,M002700,FEDERAL,NY005000270P,CONSOLIDATED EDISON COMPANY OF NY,8170915,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3684280,Y,137.5,Trans Gen Non-Res,Yes,359.46,UTILITY GAS,ConEd
BRONX RIVER,BRONX,BRONX RIVER,BLD 04,NONE,,32,533,B003200,FEDERAL,NY005010320P,CONSOLIDATED EDISON COMPANY OF NY,8171147,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3760530,N,22.58,Trans Gen Non-Res,Yes,51.3,UTILITY GAS,ConEd
POMONOK,QUEENS,POMONOK,BLD 28,NONE,,53,588,Q005300,FEDERAL,NY005000530P,CONSOLIDATED EDISON COMPANY OF NY,8166270,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3562329,N,23.01,Trans Gen Non-Res,Yes,52.37,UTILITY GAS,ConEd
PELHAM PARKWAY,BRONX,PELHAM PARKWAY,BLD 18,NONE,,39,586,B003900,FEDERAL,NY005010390P,CONSOLIDATED EDISON COMPANY OF NY,8171578,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3466390,N,21.43,Trans Gen Non-Res,Yes,43.08,UTILITY GAS,ConEd
ELLIOTT,MANHATTAN,ELLIOTT,BLD 01,NONE,,15,367,M001500,FEDERAL,NY005011340P,CONSOLIDATED EDISON COMPANY OF NY,8172745,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3658470,N,129.27,Trans Gen Non-Res,Yes,261.61,UTILITY GAS,ConEd
