input_1_output_uniqueid,input_1_input_1_facilityname,input_1_input_1_facility,input_1_input_1_address,input_1_input_1_address_2,input_1_input_1_zipcode,input_1_input_1_borough,phone_number,input_1_input_1_additionalinfo,input_1_input_1_service,input_1_input_1_service_type,input_1_input_1_free_service,input_1_input_1_sliding_scale,input_1_input_1_accepts_walk,input_1_input_1_hepatitis,input_1_output_bbl,input_1_input_1_latitude,input_1_input_1_longitude,output_bbl,output_bin,output_city_council_district,output_community_district
1,Mount Sinai Beth Israel - Asian Services Center,Hospital,10 Union Square East,Suite 2K,10003,MANHATTAN,(212) 523-4000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wehealny.org/services/bi_asianprogram/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1008707501.0,40.7348835,-73.9897585,1008707501.0,1083247.0,2.0,105.0
2,Mount Sinai - West,Hospital,1000 10th Avenue,,10019,MANHATTAN,(855) 681-8700 Ext 3476,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.roosevelthospitalnyc.org/index.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,1010680001.0,40.7697168,-73.9868805,1010680001.0,1082718.0,3.0,104.0
3,Brightpoint Health - Sutphin Health Center,Community Health Center,105-04 Sutphin Boulevard,,11435,QUEENS,(212) 749-1820,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.brightpointhealth.org"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,4100560012.0,40.6952716,-73.8036668,4100560012.0,4215005.0,28.0,412.0
4,William F. Ryan Community Health Center,Community Health Center,110 West 97th Street,,10025,MANHATTAN,(718) 735-1900,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1018517501.0,40.7935824,-73.9675886,1018517501.0,1079308.0,7.0,107.0
5,Kingsbrook Jewish Hospital - Pierre Toussaint Family Health Center,Community Health Center,1110 Eastern Parkway,,11213,BROOKLYN,(718) 945-7150,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.kingsbrook.org/Healthcare_Services_Medical_Education/Programs_Services/Ambulatory_Services/Pierre_Toussaint_Family_Healthcare_Center.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3013960034.0,40.6687768,-73.9315568,3013960034.0,3037551.0,35.0,309.0
6,Addabbo Family Health Center,Community Health Center,114-39 Sutphin Boulevard,,11434,QUEENS,(718) 250-6559,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.addabbo.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,4121850001.0,40.6852564,-73.793104,4121850001.0,4264063.0,28.0,412.0
7,Brooklyn Hospital Center - PATH Center,Hospital,121 DeKalb Avenue,2nd Floor,11201,BROOKLYN,(212) 531-1300,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.tbh.org/path-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,3020880004.0,40.6904629,-73.9780736,3020880004.0,3058410.0,35.0,302.0
8,Harlem United - Willis Green Jr. Health Center,Community Health Center,123-125 West 124th Street,2nd Floor,10027,MANHATTAN,(718) 901-8000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""https://www.harlemunited.org/programs/primary-care/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1019090020.0,40.8076958,-73.9469285,1019090020.0,1084686.0,9.0,110.0
9,Family Wellness Center/Martin Luther King Jr. Health Center,Community Health Center,1276 Fulton Avenue,1st floor,10456,BRONX,(718) 590-1800,,Hepatitis,Hep B Testing,False,True,False,False,2026120007.0,40.8313235,-73.9037103,2026120007.0,2004246.0,16.0,203.0
10,Bronx Lebanon - Family Medicine,Community Health Center,1281 Franklin Avenue,1st Floor,10456,BRONX,(212) 966-0466 Ext 1107,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.bronx-leb.org/COE/Family_Practice2.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2026120043.0,40.8315074,-73.9024057,2026120043.0,2004254.0,16.0,203.0
11,Housing Works,Syringe Exchange Program,130 Crosby Street,7th Floor,10012,MANHATTAN,(718) 584-9000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.housingworks.org/heal/medical-and-dental-care/hep-c/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1005110012.0,40.7247093,-73.9963908,1005110012.0,1007944.0,1.0,102.0
12,James J Peters Veterans Hospital,Hospital,130 West Kingsbridge Road,,10468,BRONX,(718) 888-7728,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.bronx.va.gov/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,2032260100.0,40.868521,-73.9052721,2032260100.0,2095229.0,14.0,207.0
13,"Calvin Pan, MD",Private Practice Physician,132-21 41st Avenue,1st Floor,11355,QUEENS,(718) 886-1200,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.drpan.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,4050370103.0,40.756806,-73.833121,4050370103.0,4114165.0,20.0,407.0
