program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,number_and_street_address,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
After-School Programs,High School,Kaplan Center for Community Services Annex ,Brooklyn,"Jewish Board of Family and Children's Services, Inc.",212.423.6200,High School,"1007 Quentin Road, Brooklyn, NY 11223",11223,40.60776,-73.962779,15.0,44.0,420.0,3176313.0,3066420043.0,Homecrest                                                                  ,,,,,,
After-School Programs,High School,Public School / Intermediate School 298 ,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,High School,85 Watkins Street,11212,40.670986,-73.908194,16.0,37.0,906.0,3080768.0,3035070007.0,Brownsville                                                                ,"{'latitude': '40.670427766919', 'longitude': '-73.908004365901', 'human_address': '{""address"": ""85 Watkins Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11212""}'}",17614.0,55.0,2.0,37.0,46.0
After-School Programs,High School,"Jewish Services Coalition, Inc",Queens,"Jewish Services Coalition, Inc",718.327.6060,High School,1525 Central Avenue,11691,40.605645,-73.751391,14.0,31.0,103202.0,4298051.0,4155450023.0,Far Rockaway-Bayswater                                                     ,"{'latitude': '40.605662356989', 'longitude': '-73.751324611595', 'human_address': '{""address"": ""1525 Central Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",20529.0,51.0,3.0,47.0,59.0
After-School Programs,High School,Manhattan Center For Science & Math,New York,The Childrens Aid Society,212.860.0299,High School,280 Pleasant Avenue,10029,40.794476,-73.933565,11.0,8.0,178.0,1053152.0,1017130001.0,East Harlem North                                                          ,"{'latitude': '40.794804224554', 'longitude': '-73.933301037421', 'human_address': '{""address"": ""280 Pleasant Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",12426.0,7.0,4.0,35.0,16.0
After-School Programs,High School,Bushwick High School - H.S. ,Brooklyn,Research Foundation of CUNY,347.417.8135,High School,480 400 Irving Avenue,11237,,,,,,,,,"{'latitude': '40.704095739827', 'longitude': '-73.920994233997', 'human_address': '{""address"": ""480 400 Irving Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11237""}'}",13828.0,42.0,2.0,30.0,53.0
After-School Programs,High School,Queens Community Resource Center ,Queens,Covenant House/Under 21,718.725.9851,,159-17 Hillside Avenue,11432,40.707793,-73.802545,8.0,24.0,44602.0,4209068.0,4097690089.0,Jamaica                                                                    ,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""159 17 Hillside Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",24340.0,25.0,3.0,24.0,65.0
After-School Programs,High School,Intermediate School 292- Margaret S.  Douglas School,Brooklyn,"Groundwork Inc,",718 346. 2200,High School,301 Vermont Street,11207,40.671987,-73.893896,5.0,42.0,1144.0,3083931.0,3037400001.0,East New York (Pennsylvania Ave)                                           ,"{'latitude': '40.67232012791', 'longitude': '-73.893980855849', 'human_address': '{""address"": ""301 Vermont Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,45.0,2.0,37.0,47.0
After-School Programs,High School,"Adams & White, PC",Brooklyn,Bronx Arts Ensemble,718.601.7399,High School,9318 Avenue K,11236,40.638487,-73.899905,18.0,46.0,990.0,3231685.0,3082390042.0,Canarsie                                                                   ,"{'latitude': '40.640021493797', 'longitude': '-73.901121939926', 'human_address': '{""address"": ""9318 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11236""}'}",13827.0,5.0,2.0,8.0,42.0
After-School Programs,High School,Make the Road by Walking,Brooklyn,Make the Road by Walking,718.418.7690,High School,301 Grove Street,11237,40.698448,-73.915629,4.0,37.0,433.0,3075926.0,3033170041.0,Bushwick North                                                             ,"{'latitude': '40.698428502523', 'longitude': '-73.915623474994', 'human_address': '{""address"": ""301 Grove Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11237""}'}",13828.0,42.0,2.0,37.0,53.0
After-School Programs,High School,Highbridge Community Life Center                            ,Bronx,Highbridge Community Life Center                            ,718.293.6103,High School,1248 Nelson Avenue,10452,40.83885,-73.924569,4.0,16.0,211.0,2096413.0,2025170001.0,Highbridge                                                                 ,"{'latitude': '40.838724615971', 'longitude': '-73.924634415896', 'human_address': '{""address"": ""1248 Nelson Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",10930.0,50.0,5.0,42.0,27.0
After-School Programs,High School,Schwartz Center ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,High School,127 Pennsylvania Avenue,11207,40.674814,-73.896606,5.0,37.0,1198.0,3083515.0,3036870001.0,East New York                                                              ,"{'latitude': '40.674740211809', 'longitude': '-73.896576353025', 'human_address': '{""address"": ""127 Pennsylvania Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,45.0,2.0,37.0,47.0
After-School Programs,High School,Project Ready Headquarters,Bronx,Mount Hope Housing Company,718 466.3600,,55 E. 175th Street,10453,40.847256,-73.911295,5.0,14.0,22701.0,2115885.0,2028500034.0,Mount Hope                                                                 ,"{'latitude': '40.847312989377', 'longitude': '-73.911364754436', 'human_address': '{""address"": ""55 175th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",10931.0,6.0,5.0,29.0,29.0
After-School Programs,High School,East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2127,,2644 Atlantic Avenue,11207,40.675744,-73.896644,5.0,37.0,1198.0,3326728.0,3036870012.0,East New York                                                              ,"{'latitude': '40.675655262304', 'longitude': '-73.896752975273', 'human_address': '{""address"": ""2644 Atlantic Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,45.0,2.0,37.0,47.0
After-School Programs,High School,ChaRosa Foundation Corporation,Queens,ChaRosa Foundation Corporation,718.723.0218,,161-10 Jamaica Avenue,11432,40.704033,-73.798412,12.0,27.0,44601.0,4440641.0,4101010015.0,Jamaica                                                                    ,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""161 10 Jamaica Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",24340.0,25.0,3.0,24.0,65.0
After-School Programs,High School,Youth for Education and Sports,Brooklyn,Youth for Education and Sports,718.941.7532,,681 Ocean Avenue,11226,40.646286,-73.960274,14.0,40.0,51001.0,3117624.0,3051240026.0,Flatbush                                                                   ,"{'latitude': '40.646187680826', 'longitude': '-73.960236131048', 'human_address': '{""address"": ""681 Ocean Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",13510.0,60.0,2.0,11.0,43.0
After-School Programs,High School,Lt. Joseph P. Kennedy Jr. Memorial Community Center,New York,"Catholic Charities Community Service, Archdiocese of N.Y.",212.371.1000,,34 West 134th Street,10037,40.812702,-73.939645,10.0,9.0,212.0,1083984.0,1017300016.0,Central Harlem North-Polo Grounds                                          ,"{'latitude': '40.812765068123', 'longitude': '-73.939817555307', 'human_address': '{""address"": ""34 134th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10037""}'}",13095.0,18.0,4.0,36.0,20.0
After-School Programs,High School,Columbus Clubhouse ,Bronx,Madison Square Boys & Girls Club,212.760.9600,High School,543 East 189 Street,10458,40.858374,-73.887901,6.0,15.0,387.0,2011814.0,2030590048.0,Belmont                                                                    ,"{'latitude': '40.8583901564', 'longitude': '-73.887865918036', 'human_address': '{""address"": ""543 189 Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10458""}'}",10936.0,35.0,5.0,22.0,31.0
After-School Programs,High School,"Jacob A. Riis Neighborhood Settlement, Inc. ",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,High School,10-25 41st Avenue,11101,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   ,"{'latitude': '40.745702449808', 'longitude': '-73.938669029252', 'human_address': '{""address"": ""10 25 41st Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11101""}'}",16858.0,53.0,3.0,33.0,66.0
After-School Programs,High School,Police Athletic League PAL-Webster Center ,Bronx,"Police Athletic League, Inc.",212.477.9450,,2255 Webster Avenue,10457,40.855656,-73.895978,5.0,15.0,38302.0,2013329.0,2031430203.0,Fordham South                                                              ,"{'latitude': '40.855630916719', 'longitude': '-73.896023210038', 'human_address': '{""address"": ""2255 Webster Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10457""}'}",10935.0,6.0,5.0,22.0,29.0
After-School Programs,High School,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,High School,75 Lewis Avenue,11206,40.694962,-73.937422,3.0,36.0,287.0,3379533.0,3015920001.0,Stuyvesant Heights                                                         ,"{'latitude': '40.695007999414', 'longitude': '-73.937422302529', 'human_address': '{""address"": ""75 Lewis Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11206""}'}",17213.0,69.0,2.0,49.0,52.0
