program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,number_and_street_address,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
After-School Programs,Middle School,Prospect Heights High School - H.S. 440,Brooklyn,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.670458657699', 'longitude': '-73.961628275734', 'human_address': '{""address"": ""883 Classon Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",883 Classon Avenue,11225,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        ,13509,17,2,48,44
After-School Programs,Middle School,Roosevelt Education Campus - H.S. 435,Bronx,"Tolentine-Zeiser Community Life Center, Inc",718.933.6935,MiddleSchool,"{'latitude': '40.859906146403', 'longitude': '-73.88817875264', 'human_address': '{""address"": ""500 Fordham Road"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10458""}'}",500 E. Fordham Road,10458,40.860043,-73.888267,6.0,15.0,387.0,2011810.0,2030590001.0,Belmont                                                                    ,10936,35,5,22,31
After-School Programs,Middle School,Goodwill Industries of Greater New York,Queens,Goodwill Industries of Greater New York,718.777.6315,MiddleSchool,"{'latitude': '40.771524024514', 'longitude': '-73.926435450735', 'human_address': '{""address"": ""4 21 27th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11102""}'}",4-21 27th Avenue,11102,40.774582,-73.932957,1.0,22.0,87.0,4020648.0,4009090001.0,Old Astoria                                                                ,16859,39,3,4,72
After-School Programs,Middle School,Tolentine-Zeiser Community Center /St. Rita's ,Bronx,"Tolentine-Zeiser Community Life Center, Inc",718.933.6935,MiddleSchool,"{'latitude': '40.86173644443', 'longitude': '-73.90704037104', 'human_address': '{""address"": ""2342 Andrews Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10468""}'}",2342 Andrews Avenue,10468,40.862324,-73.906553,7.0,14.0,255.0,2094685.0,2032180035.0,Kingsbridge Heights                                                        ,11606,24,5,29,34
After-School Programs,Middle School,Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,SCO Family of Services,516.671.1253,MiddleSchool,"{'latitude': '40.642201614799', 'longitude': '-74.019175801725', 'human_address': '{""address"": ""330 59th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",330 59th Street,11220,40.642121,-74.018997,7.0,38.0,74.0,3016258.0,3008620012.0,Sunset Park West                                                           ,18180,9,2,7,45
After-School Programs,Middle School,PRFI Aftercare Services for Adolescents Program ,Bronx,"The Puerto Rican Family Insitute, Inc.",212.924.6320,MiddleSchool,"{'latitude': '40.87640448724', 'longitude': '-73.906224337151', 'human_address': '{""address"": ""2900 Exterior Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10463""}'}",2900 Exterior Street,10463,40.875742,-73.906187,8.0,14.0,283.0,2016113.0,2032640001.0,Spuyten Duyvil-Kingsbridge                                                 ,11272,48,5,29,33
After-School Programs,Middle School,Armory High School Sports Foundation,New York,"Police Athletic League, Inc.",212.477.9450,MiddleSchool,"{'latitude': '40.836930349056', 'longitude': '-73.949178521971', 'human_address': '{""address"": ""216 Fort"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10032""}'}",216 Fort Washington,10032,,,,,,,,,13090,47,4,23,21
After-School Programs,Middle School,York College of the CUNY,Queens,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.698104881735', 'longitude': '-73.787574033914', 'human_address': '{""address"": ""94 20 Guy R Brewer Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11433""}'}",94-20 Guy R. Brewer Boulevard,11433,40.702532,-73.795578,12.0,27.0,246.0,4215630.0,4101040043.0,Jamaica                                                                    ,24668,41,3,6,61
After-School Programs,Middle School,"Kingsbridge Heights Community Center, Inc.",Bronx,"Kingsbridge Heights Community Center, Inc.",718.884.0700,MiddleSchool,"{'latitude': '40.877585488562', 'longitude': '-73.900269056206', 'human_address': '{""address"": ""3101 Kingsbridge Terrace"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10463""}'}",3101 Kingsbridge Terrace,10463,40.877505,-73.90033,8.0,14.0,277.0,2015788.0,2032570111.0,Van Cortlandt Village                                                      ,11272,48,5,29,33
After-School Programs,Middle School,Reap & Keep Educational Services ,Queens,"Reach Into Cultural Heights, Inc.",718.523.4099,MiddleSchool,"{'latitude': '40.676945262114', 'longitude': '-73.775306901692', 'human_address': '{""address"": ""119 04"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11434""}'}",119-04 Merrick,11434,,,,,,,,,24669,41,3,46,71
After-School Programs,Middle School,"The Brotherhood/Sister Sol, Inc",New York,"The Brotherhood/Sister Sol, Inc",212.283.7044,MiddleSchool,"{'latitude': '40.824501220606', 'longitude': '-73.949889962035', 'human_address': '{""address"": ""512 143rd Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10031""}'}",512 West 143rd Street,10031,40.824482,-73.949867,9.0,7.0,229.0,1061865.0,1020740047.0,Hamilton Heights                                                           ,12428,37,4,23,19
After-School Programs,Middle School,"Claremont Neighborhood Centers, Inc.",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,MiddleSchool,"{'latitude': '40.833009438875', 'longitude': '-73.905735217316', 'human_address': '{""address"": ""489 169th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",489 East 169th Street,10456,40.832965,-73.905669,3.0,16.0,14701.0,2092082.0,2029100001.0,Claremont-Bathgate                                                         ,10934,34,5,42,25
After-School Programs,Middle School,Intermediate School 43,Queens,Federation Employment & Guidance Services (FEGS),212.366.8401,MiddleSchool,"{'latitude': '40.594515128003', 'longitude': '-73.761826540295', 'human_address': '{""address"": ""160 Beach 29th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",160 Beach 29th Street,11691,40.593834,-73.76174,14.0,31.0,99802.0,4467711.0,4158200001.0,Far Rockaway-Bayswater                                                     ,20529,51,3,47,59
After-School Programs,Middle School,Dr. White Community Center,Brooklyn,Builders For Family & Youth of Diocese of Brooklyn (BFFY),718.722.6023,MiddleSchool,"{'latitude': '40.698288822006', 'longitude': '-73.983097400318', 'human_address': '{""address"": ""200 Gold Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11201""}'}",200 Gold Street,11201,40.698184,-73.983079,2.0,33.0,15.0,3000197.0,3001090001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,16865,68,2,38,54
After-School Programs,Middle School,Bronx Lesbian Gay Health Resource Consortium,Bronx,Bronx Lesbian Gay Health Resource Consortium,718.292.4368,MiddleSchool,"{'latitude': '40.815410316439', 'longitude': '-73.916173136181', 'human_address': '{""address"": ""448 149th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",448 East 149th Street,10455,40.815377,-73.916026,1.0,8.0,43.0,2000538.0,2022930053.0,Mott Haven-Port Morris                                                     ,10933,49,5,35,23
After-School Programs,Middle School,St. Raymond Community Outreach,Bronx,St. Raymond Community Outreach,718.824.0353,MiddleSchool,"{'latitude': '40.840552520607', 'longitude': '-73.853865592913', 'human_address': '{""address"": ""1720 Metropolitan Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",1720 Metropolitan Avenue,10462,40.840657,-73.85368,9.0,18.0,222.0,2041258.0,2039580010.0,Parkchester                                                                ,11271,58,5,31,26
