program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,,,,,,,,,,,,,,,
Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,Adults,,,,,,,,,,,,,,,
Family Support,Housing Assistance & Advocacy,Polonians Organized to Minister to Our Community,Brooklyn,Polonians Organized to Minister to Our Community,718.326.9098,Adults,"{'latitude': '40.663788758199', 'longitude': '-73.994409627365', 'human_address': '{""address"": ""635 4th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11232""}'}",11232.0,40.663925,-73.994409,7.0,38.0,143.0,3009068.0,3006340001.0,Park Slope-Gowanus                                                         ,13515.0,9.0,2.0,7.0,45.0
Family Support,Housing Assistance & Advocacy,"Stryckers Bay Neighborhood Council, Inc.",New York,"Stryckers Bay Neighborhood Council, Inc.",212.874.7272,Adults,"{'latitude': '40.787026471645', 'longitude': '-73.971338792434', 'human_address': '{""address"": ""63 87th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10024""}'}",,,,,,,,,,12421.0,20.0,4.0,19.0,15.0
Family Support,Housing Assistance & Advocacy,AAFE Chinatown / Lower East Side,New York,Asian Americans for Equality,212.680.1374,Adults,"{'latitude': '40.718974773687', 'longitude': '-73.987058941506', 'human_address': '{""address"": ""108 Norfolk Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10002.0,40.718954,-73.987056,3.0,1.0,1402.0,1075815.0,1003530052.0,Lower East Side                                                            ,11723.0,70.0,4.0,32.0,4.0
Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Queens,Asian Americans for Equality                                ,718.961.0888,Adults,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04-39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",,,,,,,,,,13832.0,22.0,3.0,3.0,67.0
Family Support,Housing Assistance & Advocacy,"Catholic Charities Community Service, Archdiocese of N Y",New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"{'latitude': '40.757278332489', 'longitude': '-73.963713878292', 'human_address': '{""address"": ""1011 First Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10022""}'}",10022.0,40.757271,-73.963692,6.0,5.0,108.0,1039972.0,1013480023.0,Turtle Bay-East Midtown                                                    ,12419.0,71.0,4.0,1.0,9.0
Family Support,Housing Assistance & Advocacy,"Pueblo En Marcha, Inc.",Bronx,"Pueblo En Marcha, Inc.",718.665.7375,Adults,"{'latitude': '40.813555413009', 'longitude': '-73.919621869089', 'human_address': '{""address"": ""401 145th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10454""}'}",,,,,,,,,,10932.0,49.0,5.0,35.0,23.0
Family Support,Housing Assistance & Advocacy,AAFE Queens ,Queens,Asian Americans for Equality,212.680.1374,Adults,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04 39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",11354.0,40.75909,-73.834194,7.0,20.0,871.0,4112274.0,4049730006.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0
Family Support,Housing Assistance & Advocacy,"Washington Heights- Inwood Coalition, Inc",New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,Adults,"{'latitude': '40.853602404382', 'longitude': '-73.932345278359', 'human_address': '{""address"": ""652 187th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",,,,,,,,,,13098.0,47.0,4.0,39.0,22.0
Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.",718.435.7585,Adults,"{'latitude': '40.645480602026', 'longitude': '-73.976688033036', 'human_address': '{""address"": ""415 Albemarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"{'latitude': '40.64322700852', 'longitude': '-73.976448622106', 'human_address': '{""address"": ""415 Albermarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
Family Support,Housing Assistance & Advocacy,"163rd Street Improvement Council, Inc.",Bronx,"163rd Street Improvement Council, Inc.",718.589.5080,Adults,"{'latitude': '40.832870242985', 'longitude': '-73.901107176224', 'human_address': '{""address"": ""1345 Franklin Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10456.0,40.832877,-73.901087,3.0,16.0,149.0,2115487.0,2029310079.0,Morrisania-Melrose                                                         ,10934.0,34.0,5.0,42.0,25.0
Family Support,Housing Assistance & Advocacy,Cooper Square Community Development & Business Association,New York,Cooper Square Community Development & Business Association,212.228.8210,Adults,"{'latitude': '40.726940950792', 'longitude': '-73.991133556521', 'human_address': '{""address"": ""61 4th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10003""}'}",,,,,,,,,,11724.0,70.0,4.0,50.0,5.0
Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation                  ,212.822.8336,18 and up,"{'latitude': '40.847051676059', 'longitude': '-73.937044724943', 'human_address': '{""address"": ""76 Wadswortth Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",,,,,,,,,,13091.0,47.0,4.0,39.0,21.0
Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8300,Adults,"{'latitude': '40.847051676059', 'longitude': '-73.937044724943', 'human_address': '{""address"": ""76 Wadsworth Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.847012,-73.93704,12.0,10.0,263.0,1063574.0,1021450051.0,Washington Heights South                                                   ,13091.0,47.0,4.0,39.0,21.0
Family Support,Housing Assistance & Advocacy,Boro Park Jewish Community Council,Brooklyn,Boro Park Jewish Community Council,718.972.6600,Adults,"{'latitude': '40.636670213094', 'longitude': '-73.990459280846', 'human_address': '{""address"": ""4608 13th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11219""}'}",11219.0,40.636595,-73.990502,12.0,44.0,222.0,3328605.0,3056220038.0,Borough Park                                                               ,17621.0,2.0,2.0,18.0,39.0
Family Support,Housing Assistance & Advocacy,West Bronx Housing & Neighborhood Resource Center,Bronx,West Bronx Housing & Neighborhood Resource Center,718.798.0929,Adults,"{'latitude': '40.875385991437', 'longitude': '-73.87947666045', 'human_address': '{""address"": ""3176 Bainbridge"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10467""}'}",,,,,,,,,,11605.0,24.0,5.0,40.0,34.0
Family Support,Housing Assistance & Advocacy,"Citizens Advice Bureau, Inc.",Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"{'latitude': '40.812893537386', 'longitude': '-73.901332703215', 'human_address': '{""address"": ""632 Southern Boulevard"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",10455.0,40.812991,-73.90108,2.0,8.0,83.0,2004141.0,2026030150.0,Longwood                                                                   ,10933.0,8.0,5.0,35.0,24.0
Family Support,Housing Assistance & Advocacy,Brooklyn Neighborhood Improvement Association,Brooklyn,Brooklyn Neighborhood Improvement Association,718.773.4116,Adults,"{'latitude': '40.670470593603', 'longitude': '-73.929356130187', 'human_address': '{""address"": ""1482 St Johns Place"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11213""}'}",11213.0,40.670505,-73.92964,8.0,41.0,349.0,3037114.0,3013850028.0,Crown Heights North                                                        ,17615.0,16.0,2.0,17.0,49.0
