,providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,reportedmonth,reportedunits
0,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,366
1,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Aug 2019,59
2,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Sep 2019,0
3,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,0
4,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,296
5,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Oct 2019,0
6,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Jul 2019,0
7,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,326
8,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,4
9,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,0
10,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,0
11,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,7
12,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Jul 2019,61
13,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,367
14,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,1
15,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,1
