providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,budgetedunits
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,250
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,24
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,24
ELDER ABUSE SERVICES CONTRACTS,64701.0,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,Weill Cornell PROTECT,PTRS,PROTECT TRAINING SESSIONS,56
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,3480
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,160
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,20
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,48
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,100
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,3480
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,100
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,24
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,1800
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,10
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EARS,ELDER ABUSE RESPITE,2251
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,2812
ELDER ABUSE SERVICES CONTRACTS,64701.0,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,Weill Cornell PROTECT,PCLS,PROTECT CLINICAL SESSIONS,700
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,9318
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,4500
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,2270
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,20
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,48
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAOT,ELDER ABUSE OTHER,870
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,7800
ELDER ABUSE SERVICES CONTRACTS,62001.0,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,ELDER ABUSE MULTIDISCIPLINARY TEAMS SERV,EMDT,ELD ABUSE MULTDISCIPLINRY,1940
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,380
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,9300
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,9318
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,160
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,4936
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,832
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,832
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,2260
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,64
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,24
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,890
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,830
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,5136
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,24
ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,1580
