,sample_number,sample_date,sample_time,sample_site,sample_class,location,residual_free_chlorine_mg_l,turbidity_ntu,coliform_quanti_tray_mpn_100ml,e_coli_quanti_tray_mpn_100ml,fluoride_mg_l
0,3099,2020-01-31T00:00:00.000,2020-03-01 09:58:00,23750,Compliance,"SS - E/S Ocean Ave, 2nd SS N/O Ave R, IFO 2233 Ocean Ave,  20 """,0.54,0.8,<1,<1,
1,3148,2020-01-31T00:00:00.000,2020-03-01 09:05:00,14850,Compliance,"SS - W/S Jackson Ave, 1st SS S/O St Mary's St, 20 """,0.63,0.65,<1,<1,
2,3126,2020-01-31T00:00:00.000,2020-03-01 08:40:00,44550,Compliance,"SS - N/S 17th Ave, 1st SS E/O 201st St, 12 """,0.22,0.64,<1,<1,
3,3146,2020-01-31T00:00:00.000,2020-03-01 11:45:00,11050,Compliance,"SS - IFO 1675 W/S University Ave, 2nd SS S/O W 176th St, IFO 1669 University Ave 12 """,0.47,0.75,<1,<1,
4,3134,2020-01-31T00:00:00.000,2020-03-01 10:48:00,51250,Compliance,"SS - N/S Clarke Ave, 2nd SS W/O Amber St, 8 """,0.58,0.78,<1,<1,
5,3102,2020-01-31T00:00:00.000,2020-03-01 08:44:00,20900,Operational,"SS - S/S Sands St. BTW Gold St. and Manhattan Brg. Ent. Ramp, OPP 177 Sands St,48 """,0.58,0.71,<1,<1,
6,3133,2020-01-31T00:00:00.000,2020-03-01 09:49:00,50300,Operational,"SS - N/E/S Clove Rd, N/W of Sunnyside Terrace.",0.61,0.72,<1,<1,
7,3130,2020-01-31T00:00:00.000,2020-03-01 10:48:00,76950,Compliance,"SS - IFO 90-20 W/S Francis Lewis Blvd, 1st SS S/O 90th Ave",0.39,0.73,<1,<1,
8,3117,2020-01-31T00:00:00.000,2020-03-01 09:25:00,33600,Operational,"SS - W/S 2nd Ave, BTW E 42nd St & 43rd Sts, IFO 801 2nd Ave 48 """,0.44,0.93,<1,<1,
9,3125,2020-01-31T00:00:00.000,2020-03-01 11:17:00,42850,Compliance,"SS - IFO 82-28 W/S Parsons Blvd, BTW Goethals Ave & Village Rd",0.5,0.74,<1,<1,
10,3103,2020-01-31T00:00:00.000,2020-03-01 09:16:00,21250,Compliance,"SS - IFO 747 N/S Lafayette Ave, 2nd SS W/O Throop Ave, 12 """,0.49,0.87,<1,<1,
11,3107,2020-01-31T00:00:00.000,2020-03-01 10:11:00,41250,Compliance,"SS - SW/S LIE (service Rd), 1st SS E/O 71st St, 12 """,0.45,0.74,<1,<1,
12,3152,2020-01-31T00:00:00.000,2020-03-01 10:47:00,3SC26,Operational,"Shaft 26 of New Croton Aqueduct, 179th St Pumping Station, Croton sampling pump tap -  Amsterdam Ave & West 179th St",0.57,0.73,<1,<1,
13,3098,2020-01-31T00:00:00.000,2020-03-01 11:47:00,23250,Compliance,"SS - E/S Ocean Ave, 2nd SS S/O Albemarle Rd, 20 """,0.68,0.74,<1,<1,
14,3118,2020-01-31T00:00:00.000,2020-03-01 10:28:00,34200,Operational,"SS - S/S W 97th St, BTW Columbus & Amsterdam Ave, 36 """,0.51,0.75,<1,<1,
15,3131,2020-01-31T00:00:00.000,2020-03-01 10:17:00,77150,Compliance,"SS - N/S Linden Blvd, 1st SS W/O 230th St",0.21,0.77,<1,<1,
16,3141,2020-01-31T00:00:00.000,2020-03-01 08:59:00,1S03A,Operational,NYCDEP Building on E 233rd Street and Bronxwood Avenue,0.8,0.74,<1,<1,0.74
17,3108,2020-01-31T00:00:00.000,2020-03-01 11:11:00,41750,Compliance,"SS - OPP 104-41 SW/S Ditmars Blvd, BTW 24th Rd & 25th Ave, 12 """,0.44,0.72,<1,<1,
18,3149,2020-01-31T00:00:00.000,2020-03-01 12:38:00,16950,Compliance,"SS - W/S Westchester Ave, 1st SS N/O St Peters Ave, 20 """,0.61,0.77,<1,<1,
19,3106,2020-01-31T00:00:00.000,2020-03-01 10:45:00,40200,Operational,"SS - S/S 19th Ave, BTW 41st & Steinway Sts, IFO 40-14 19th Ave 60 """,0.69,0.73,<1,<1,
20,3143,2020-01-31T00:00:00.000,2020-03-01 10:36:00,1SCH3,Operational,Croton High Service CDC /GH5 to Tunnel No. 1 -Shaft 4,0.63,0.74,<1,<1,0.73
21,3138,2020-01-31T00:00:00.000,2020-03-01 08:40:00,12250,Compliance,"SS - OPP 1134 N/S E 225th St, 2nd SS W/O Schieffelin Ave, 12 """,0.68,0.72,<1,<1,
22,3127,2020-01-31T00:00:00.000,2020-03-01 11:41:00,44700,Operational,"SS - N/S Jewel Ave, BTW 172nd & 173rd Sts, 60 """,0.54,0.79,<1,<1,
