development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_kwh,kwh_charges,consumption_kw,kw_charges,other_charges
HAMMEL,QUEENS,HAMMEL,BLD 08,NONE,Community Center,75,226,Q207500,FEDERAL,NY005010750P,PSEG Long Island,8179432,2019-09,2019-08-27T00:00:00.000,2019-09-25T00:00:00.000,29,99268475,N,4371.11,281-Sec Com Large Gen Use,Yes,22920,2241.02,78.0,1212.43,917.66
BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BLD 02,NONE,BLD 02,165,282,Q016500,FEDERAL,NY005001650P,PSEG Long Island,8179574,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,80340656,N,12420.04,285-Prim Com Large Mult Per,Exception,64160,6279.87,247.2,3685.47,2454.7
BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BLD 01,NONE,BLD 01,165,282,Q016500,FEDERAL,NY005001650P,PSEG Long Island,8179520,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,80340657,N,25276.23,285-Prim Com Large Mult Per,Exception,133760,13092.2,500.2,7503.12,4680.91
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 04,NONE,BLD 04,51,573,Q005100,FEDERAL,NY005010980P,PSEG Long Island,8179641,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,96750210,N,5677.8,281-Sec Com Large Gen Use,Exception,33440,3273.05,69.5,1117.56,1287.19
BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BLD 03,NONE,BLD 03,165,282,Q016500,FEDERAL,NY005001650P,PSEG Long Island,8179586,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,80340658,N,30443.8,285-Prim Com Large Mult Per,Exception,161120,15770.15,595.6,9065.41,5608.24
BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BLD 04,NONE,BLD 04,165,282,Q016500,FEDERAL,NY005001650P,PSEG Long Island,8179602,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,80340655,N,12407.16,285-Prim Com Large Mult Per,Exception,63680,6232.89,252.5,3746.66,2427.61
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 03,NONE,BLD 03,51,573,Q005100,FEDERAL,NY005010980P,PSEG Long Island,8179637,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,96747214,N,6079.91,281-Sec Com Large Gen Use,Exception,35520,3476.64,77.0,1238.16,1365.11
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 02 - Community Center,NONE,Community Center,51,573,Q205100,FEDERAL,NY005010980P,PSEG Long Island,8179493,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,80361609,N,1999.63,281-Sec Com Large Gen Use,Yes,8320,814.35,49.5,795.96,389.32
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 06,NONE,BLD 06,51,573,Q005100,FEDERAL,NY005010980P,PSEG Long Island,8179652,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,96747485,N,6097.16,281-Sec Com Large Gen Use,Exception,34960,3421.83,82.5,1326.6,1348.73
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 02,NONE,BLD 02,51,573,Q005100,FEDERAL,NY005010980P,PSEG Long Island,8179629,2019-09,2019-08-26T00:00:00.000,2019-09-25T00:00:00.000,30,80330205,N,5941.46,281-Sec Com Large Gen Use,Exception,34480,3374.84,77.0,1238.16,1328.46
