primaryprojecttype,subtype,projectstatus,startdateactual,finishdateactual,projectsitename,projectsiteaddress,acronym,co2e_mt_calculated,postcode,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
HVAC System Upgrade,,Completed,,,,,BPL,,,,,,,,,,,
Lighting System Upgrade,,Completed,,,,,,76.48,,,,,,,,,,
Lighting System Upgrade,,Completed,,,,,,37.19,,,,,,,,,,
Comprehensive,Retrofit,Design,,,,,DCAS,2060.41,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,Brooklyn Supreme Court,292-360 Adams Strrt,DCAS,,,,,,,,,,,
Other,Retro-commissioning,Survey,,,Brooklyn Supreme Court,292-360 Adams Strrt,DCAS,,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,,,DFMC,,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,24-May-07,19-Dec-07,Dfmc Shops - 390 Kent Avenue,"BROADWAY KENT AVE & SOUTH 6TH ST   SHOPS, 390 Kent Avenue",DCAS,48.96,,,,,,,,,,
Other,Retro-commissioning,Survey,,,Queens Borough Hall120-55 Queens Blvd,,DCAS,,,,,,,,,,,
Lighting System Upgrade,,Completed,,,Interior Lighting CFLs - Various Cultural Institutions,Various,DCLA,,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,New York Aquarium - 502 Surf Avenue,"Boardwalk @ West 8th Street, 502 Surf Ave",DCLA,219.89,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,28-Apr-09,22-Sep-09,NYBG - Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, 2667 Dr. Theodore Kazimiroff Boulevard",DCLA,69.95,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,NYBG - Watson Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",DCLA,0.0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,NYBG - Watson Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",DCLA,,,,,,,,,,,
Energy Audit,None,Completed,19-Oct-10,23-Nov-11,Studio Museum in Harlem,144 Wesst 125th Street,DCAS,265.82,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,Bronx Zoo,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",DCLA,539.56,,,,,,,,,,
Other,Retrofit,Design,,,Bronx Zoo,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",DCLA,6026.93,,,,,,,,,,
Other,Cogen,Design,,,City Hall,BETWEEN BROADWAY & PARK ROW,DCAS,892.02,,,,,,,,,,
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,Long Island City Courthouse,2510 Thompson Avenue,DCAS,,,,,,,,,,,
