bbl,street_name,borough,zip,benchmarking_submission,street_number,entry_number,site_eui,weather_normalized_source_eui,energy_star_score,ghg,reported_building_square_footage,reported_facility_type,number_of_buildings,reported_bins,water_per_square_foot,latitude,longitude,community_board,community_council,census_tract,bin,nta
1001840005,MARGINAL STREET     ,MANHATTAN,10013,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
1001840008,MARGINAL STREET     ,MANHATTAN,10013,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
1000160150,VESEY PLACE         ,MANHATTAN,10282,No DOF Record as of 08/01/12,250,,,,,,,,,,,,,,,,,
1000360012,PIER 9              ,MANHATTAN,0,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
1000360018,SOUTH STREET        ,MANHATTAN,0,No DOF Record as of 08/01/12,   PIER11,,,,,,,,,,,,,,,,,
1000360025,SOUTH STREET        ,MANHATTAN,0,No DOF Record as of 08/01/12,   PIER13,,,,,,,,,,,,,,,,,
1000360030,SOUTH STREET        ,MANHATTAN,0,No DOF Record as of 08/01/12,   PIER14,,,,,,,,,,,,,,,,,
1000730002,SOUTH STREET        ,MANHATTAN,10038,No DOF Record as of 08/01/12,  PIER-15,,,,,,,,,,,,,,,,,
1001610003,PARK ROW            ,MANHATTAN,0,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
1005540035,PARK AVENUE SOUTH   ,MANHATTAN,10003,No DOF Record as of 08/01/12,45,,,,,,,,,,,,,,,,,
1006510011,MARGINAL STREET     ,MANHATTAN,10014,No DOF Record as of 08/01/12,46,,,,,,,,,,,,,,,,,
1006620002,MARGINAL STREET     ,MANHATTAN,0,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
1006620011,  11 AVENUE         ,MANHATTAN,10011,No DOF Record as of 08/01/12,     111A,,,,,,,,,,,,,,,,,
1006620016,  11 AVENUE         ,MANHATTAN,10011,No DOF Record as of 08/01/12,     111B,,,,,,,,,,,,,,,,,
1006620019,  11 AVENUE         ,MANHATTAN,10011,No DOF Record as of 08/01/12,     111C,,,,,,,,,,,,,,,,,
