bbl,street_number,street_name,borough,zip,benchmarking_submission,entry_number,site_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,indoor_water_intensity_all_water_sources_gal_ft2,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,number_of_buildings,reported_bins,latitude,longitude,community_board,community_council,census_tract,nta
1000010010,1.0,GOVERNORS ISLAND,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,,40.690096000000004,-74.012866,1.0,1.0,5.0,park-cemetery-etc-Manhattan                                                
1000020002,,MARGINAL STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,0,,,,,,,
1000047501,1.0,WATER STREET,MANHATTAN,10004,Yes,41.0,102.0,287.9,16.37,Manual,75,25932.68,2428325.0,Office,1,1000005,40.702444,-74.012742,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000057501,125.0,BROAD STREET,MANHATTAN,10004,Yes,3871.0,119.6,261.5,,Manual,70,11637.42,1338000.0,Office,1,1000006,40.702112,-74.01124899999999,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1003620001,134.0,AVENUE D,MANHATTAN,10009,Yes,8312.0,30.3,85.7,1.57,ABS,,13709.99,5207812.0,Multifamily Housing,7,1077504;1077538;1077539;1077540;1077541;1077541;1077544;1077545;1077546;1077547;1077548;1077549;1077550;1077507;1077551;1077552;1077553;1077554;1077554;1077896;1078045;1078046;1078047;1078048;1078048;1078050;1078051;1078052;1078053;1078054;1078055;1078056,40.724447,-73.975464,3.0,2.0,24.0,Lower East Side                                                            
1000090001,34.0,WHITEHALL STREET,MANHATTAN,10004,Yes,8575.0,99.5,302.6,,Manual,55,7771.16,852840.0,Office,1,1000018,40.703034,-74.012991,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000090014,17.0,STATE STREET,MANHATTAN,10004,Yes,735.0,79.7,210.0,,Manual,82,4033.53,574095.0,Office,1,1000020,40.702798,-74.014246,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000090029,24.0,WHITEHALL STREET,MANHATTAN,10004,Yes,93.0,139.4,295.2,11.06,Manual,41,10308.19,859807.0,Office,1,1000021,40.703446,-74.013092,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000100014,33.0,WHITEHALL STREET,MANHATTAN,10004,Yes,641.0,134.5,432.9,,Manual,36,5068.06,405310.0,Office,1,,40.703312,-74.013038,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000100016,90.0,BROAD STREET,MANHATTAN,10004,Yes,2711.0,39.8,118.2,,Manual,90,1405.66,388153.0,Office,1,1-00010-0016,40.703953999999996,-74.01159200000001,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000100023,1.0,WHITEHALL STREET,MANHATTAN,10004,Yes,90.0,102.8,244.4,17.9,Manual,67,2939.91,329991.0,Office,1,1000027,40.703973,-74.013164,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000110001,2.0,BROADWAY,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,,40.704119,-74.013186,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1012900021,535.0,MADISON AVENUE,MANHATTAN,10022,Yes,136.0,71.8,207.5,5.88,ABS,80,3091.99,473356.0,Bank/Financial Institution,1,1035747,40.760354,-73.973454,5.0,4.0,102.0,Midtown-Midtown South                                                      
1000110021,80.0,BROAD STREET,MANHATTAN,10004,Yes,12104.0,52.6,146.3,,Manual,96,2254.53,475000.0,Office,1,1000038,40.704322,-74.011581,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000130001,1.0,BROADWAY,MANHATTAN,10004,Yes,12928.0,65.7,183.7,,Manual,72,1241.58,208039.0,Office,1,1000043,40.704785,-74.014099,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000130005,11.0,BROADWAY,MANHATTAN,10004,Yes,638.0,80.1,214.0,,Manual,78,3030.18,423348.0,Office,1,BIN# 1000044,40.705354,-74.013731,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1011200022,15.0,WEST   67 STREET,MANHATTAN,10023,Yes,12382.0,62.4,91.8,8.92,ABS,,330.36,64899.0,Multifamily Housing,1,1028241,40.773337,-73.978987,7.0,6.0,153.0,Lincoln Square                                                             
1000157501,17.0,BATTERY PLACE,MANHATTAN,10004,Yes,5502.0,28.7,99.6,,Manual,,3419.27,1346985.0,Office,1,1082634,40.704884,-74.015927,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000157501,17.0,BATTERY PLACE,MANHATTAN,10004,Yes,9917.0,50.0,143.8,,Manual,,6274.93,1427048.0,Office,1,1082634;1087080,40.704884,-74.015927,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000157502,20.0,WEST STREET,MANHATTAN,10004,Yes,2843.0,50.1,141.4,,Manual,,907.9,227463.0,Multifamily Housing,1,1087243;1000046,40.706358,-74.01615100000001,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
3068180025,1840.0,EAST   13 STREET,BROOKLYN,11229,Yes,7792.0,49.7,82.4,10.56,ABS,,430.36,138476.0,Multifamily Housing,1,3183899,40.604584,-73.959395,15.0,48.0,556.0,Homecrest                                                                  
1011860091,316.0,WEST   79 STREET,MANHATTAN,10024,Yes,1747.0,60.9,92.3,10.72,ABS,,315.64,63121.0,Multifamily Housing,1,1031130,40.784512,-73.98155799999999,7.0,6.0,167.0,Upper West Side                                                            
1000160100,345.0,SOUTH END AVENUE,MANHATTAN,10280,Yes,10515.0,67.5,194.5,,Manual,,7481.3,1368917.0,Multifamily Housing,6,1083378; 1083373; 1083374; 1083375; 1083376; 1083377,40.710733000000005,-74.016131,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000160120,200.0,LIBERTY STREET,MANHATTAN,10281,Yes,45.0,111.2,249.7,11.53,Manual,88,14083.52,1485610.0,Office,1,1000057,40.711425,-74.01544200000001,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000160150,250.0,VESEY PLACE,MANHATTAN,10282,Yes,47.0,31.4,288.2,26.78,Manual,39,28565.59,1615675.0,Bank/Financial Institution,1,1000060,,,,,,
1000160180,20.0,RIVER TERRACE,MANHATTAN,10007,Yes,203.0,112.4,197.7,30.54,Manual,,2633.83,356786.0,Multifamily Housing,1,1086174,40.716941999999996,-74.01629799999999,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160185,211.0,NORTH END AVENUE,MANHATTAN,10282,Yes,202.0,96.3,160.3,36.28,Manual,,1853.76,300000.0,Multifamily Housing,1,1086547,40.71622,-74.015075,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160190,22.0,RIVER TERRACE,MANHATTAN,10282,Yes,517.0,70.3,134.6,,Manual,,1613.33,331500.0,Multifamily Housing,1,BIN# 1085929,40.717375,-74.016035,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160195,325.0,NORTH END AVENUE,MANHATTAN,10282,Yes,10059.0,100.5,192.0,43.57,Manual,,2183.42,322505.0,Multifamily Housing,1,1086507,40.716637,-74.01475400000001,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160200,400.0,CHAMBERS STREET,MANHATTAN,10282,Yes,10060.0,80.9,149.9,35.49,Manual,,2382.84,440079.0,Multifamily Housing,1,1085774;1088317,40.717774,-74.014206,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160205,455.0,NORTH END AVENUE,MANHATTAN,10282,No Record as of 08/1/13,,,,,,,,,,1,,40.717384,-74.014166,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000650024,24.0,JOHN STREET,MANHATTAN,10038,No Record as of 08/1/13,,,,,,,,,,1,,40.709765000000004,-74.008765,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
1000160210,399.0,CHAMBERS STREET,MANHATTAN,10282,Yes,519.0,72.2,133.8,,Manual,,1773.46,357975.0,Multifamily Housing,1,BIN# 1085486,40.718073,-74.01485500000001,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160221,201.0,WARREN STREET,MANHATTAN,10282,No Record as of 08/1/13,,,,,,,,,,1,,40.716668,-74.013542,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160225,1.0,NORTH END AVENUE,MANHATTAN,10281,Yes,630.0,148.3,366.7,25.73,Manual,80,8094.66,622439.0,Office,1,1085502,40.714082,-74.01673000000001,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000160260,200.0,WEST STREET,MANHATTAN,10282,Yes,1735.0,111.5,325.8,,Manual,,21433.62,2137781.0,Bank/Financial Institution,1,1087239,40.713813,-74.013736,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000167501,377.0,RECTOR PLACE,MANHATTAN,10280,Yes,1642.0,64.9,123.6,,Manual,,976.09,199141.0,Multifamily Housing,1,1000061,40.709506,-74.018002,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167502,320.0,ALBANY STREET,MANHATTAN,10280,Yes,2987.0,71.5,129.3,,Manual,,821.88,150667.0,Multifamily Housing,1,1000301,40.710165,-74.016751,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1009087501,200.0,EAST   28 STREET,MANHATTAN,10016,Yes,7760.0,68.4,110.9,12.33,ABS,,633.57,147001.0,Multifamily Housing,1,1031111,40.741904999999996,-73.980726,6.0,2.0,66.0,Murray Hill-Kips Bay                                                       
1000167504,300.0,ALBANY STREET,MANHATTAN,10280,Yes,2993.0,74.6,159.4,,Manual,,600.86,112312.0,Multifamily Housing,1,1000436,40.710118,-74.016574,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167505,380.0,RECTOR PLACE,MANHATTAN,10280,Yes,1643.0,116.7,231.3,,Manual,,2033.74,235366.0,Multifamily Housing,1,1000544,40.709311,-74.017764,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167506,280.0,RECTOR PLACE,MANHATTAN,10280,Yes,1654.0,77.3,152.4,,Manual,,590.76,111398.0,Multifamily Housing,1,1065199,40.708921000000004,-74.01650500000001,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
