record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
12086,1000410001.0,,1000410001,1001007,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,918919,,Office,,,,,,,,
14354,4021460028.0,,,,63-10,108 STREET,Queens,11375.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,82730.0,,1.0,,,,,,,
12150,2027620097.0,,2027620097,2006460,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,64200,,Multifamily Housing,,,,,,,,
12590,1006700001.0,,,,201,11 AVENUE,Manhattan,10001.0,No Submission Matched to BBL,,,,,,No,None,,,,,,440360.0,,1.0,40.749652000000005,-74.00647099999999,4.0,3.0,99.0,1012266.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
15591,2048300034.0,,2048300034,2063117,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,50000,,Multifamily Housing,,,,,,,,
12135,2006120205.0,,2-00612-0205,3008876,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,61800,,Distribution Center,,,,,,,,
8523,3050770001.0,,3-05077-0001,3116471,1600,CATON AVENUE,Brooklyn,11226.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,102198,102198.0,Multifamily Housing,1.0,40.650673,-73.965166,14.0,40.0,506.0,3116471.0,Flatbush                                                                   
15920,3065710023.0,,3065710023,3173037,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,174.6,,46620,,Multifamily Housing,,,,,,,,
14241,4004490013.0,,,,44-02,11 STREET,Queens,11101.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,120570.0,,1.0,,,,,,,
15925,3072240128.0,,3072240128,3196035,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,54029,,Multifamily Housing,,,,,,,,
9685,3087210375.0,,3-08721-0375,3245726,1311,BRIGHTWATER AVENUE,Brooklyn,11235.0,Filed,,Not Available,,Not Available,Not Available,Yes,ABS,Not Available,,,,0,288548.0,Multifamily Housing,1.0,40.575682,-73.955388,13.0,48.0,61002.0,3245726.0,Brighton Beach                                                             
7540,3008640001.0,,3008640001,3337343,526,59 STREET,Brooklyn,11220.0,Filed,,Not Available,,Not Available,17.51,Yes,ABS,Not Available,,,,171502,353342.0,K-12 School,5.0,40.639613,-74.014827,7.0,38.0,102.0,3337343.0,Sunset Park East                                                           
14360,4022370033.0,,,,72-36,112 STREET,Queens,11375.0,No Submission Matched to BBL,,,,,,No,None,,,,,,85200.0,,1.0,,,,,,,
10588,4024310023.0,,4-02431-0023,4056316,46-01,67 STREET,Queens,11377.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,68750,62500.0,Multifamily Housing,1.0,,,,,,,
14423,4031680013.0,,,,    98-30,  67 AVENUE         ,Queens,11374.0,No Submission Matched to BBL,,,,,,,None,,,,,,132724.0,,1.0,,,,,,,
12515,1004370001.0,,,,150,1 AVENUE,Manhattan,10009.0,No Submission Matched to BBL,,,,,,No,None,,,,,,52390.0,,1.0,40.728260999999996,-73.984785,3.0,2.0,34.0,1005894.0,East Village                                                               
3028,1013110040.0,,Not Available,Not Available,950,3 AVENUE,Manhattan,10022.0,Filed,125.4,123.8,239.8,237.9,33.47,No,Manual,68,3556.4,0,3556.4,330000,313200.0,Office,1.0,40.760132,-73.96754200000001,6.0,4.0,11203.0,1036882.0,Turtle Bay-East Midtown                                                    
14609,4100970020.0,,,,153-20,JAMAICA AVENUE,Queens,11432.0,No Submission Matched to BBL,,,,,,No,None,,,,,,738000.0,,1.0,,,,,,,
12096,1006460047.0,,1-00646-0047,1012238,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,69160,,Mixed Use Property,,,,,,,,
6666,2033970029.0,,2033970029,2019798,529,EAST  235 STREET,Bronx,10470.0,Filed,,Not Available,,Not Available,61.14,Yes,ABS,Not Available,,,,52974,52599.0,Multifamily Housing,1.0,40.897997,-73.863487,12.0,11.0,45101.0,2019798.0,Woodlawn-Wakefield                                                         
8914,3058870001.0,,3-05887-0001,3146368,7119,SHORE ROAD,Brooklyn,11209.0,Filed,,Not Available,,Not Available,19.59,Yes,ABS,Not Available,,,,82200,82200.0,Multifamily Housing,1.0,40.636403,-74.036772,10.0,43.0,34.0,3146368.0,Bay Ridge                                                                  
11586,4097150220.0,,4-09715-0220,4207873,140-55,BURDEN CRESCENT,Queens,11435.0,Filed,,Not Available,,Not Available,48.57,Yes,ABS,Not Available,,,,63360,63360.0,Office,1.0,,,,,,,
11714,4103360060.0,,4103360060,4220265,109-10,180 STREET,Queens,11433.0,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,,,52960,53000.0,Other,1.0,,,,,,,
14307,4015250047.0,,,,    42-72,  80 STREET         ,Queens,11373.0,No Submission Matched to BBL,,,,,,,None,,,,,,89000.0,,1.0,,,,,,,
12761,1009220070.0,,,,295,1 AVENUE,Manhattan,10003.0,No Submission Matched to BBL,,,,,,No,None,,,,,,98260.0,,1.0,40.733174,-73.981096,6.0,2.0,48.0,1020428.0,Gramercy                                                                   
12091,1001242024.0,,1001242024,1082894,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,154754,,Hotel,,,,,,,,
16027,4042820100.0,,Not Available,Not Available,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,465667,,Other,,,,,,,,
13378,2031170023.0,,,,855,EAST  178 STREET,Bronx,10460.0,No Submission Matched to BBL,,,,,,No,None,,,,,,90600.0,,1.0,40.843946,-73.885797,6.0,17.0,36501.0,2013093.0,East Tremont                                                               
14911,1007400013.0,,1007400013,1013048,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,331.3,68329,,Office,,,,,,,,
15103,1012770006.0,,1-01277-0006,1035346,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,5.24,,None,Not Available,,0,,66546,,Office,,,,,,,,
12140,2022150042.0,,2-02215-0042,1064521,,,Bronx,,BBL not valid,6224.5,6182.2,6533,6488.6,Not Available,,,Not Available,,,5.8,342048,,Multifamily Housing,,,,,,,,
14960,1008830029.0,,1-00883-0029,1082096,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,58456,,Office,,,,,,,,
6435,2032810077.0,,2-03281-0077,2016465,400,EAST MOSHOLU PARKWAY,Bronx,10458.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,88440,88440.0,Office,1.0,,,,,,,
7261,2058251554.0,,2058251554,2084533,6225,BROADWAY,Bronx,10471.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,87295,78825.0,Multifamily Housing,1.0,40.896786,-73.896854,8.0,11.0,351.0,2084533.0,North Riverdale-Fieldston-Riverdale                                        
5842,2028240005.0,,2028240005,2094530,1650,SELWYN AVENUE,Bronx,10457.0,Filed,,Not Available,,Not Available,41.64,Yes,ABS,Not Available,,,,255597,243426.0,Senior Care Community,3.0,40.843247999999996,-73.91040699999999,4.0,16.0,22703.0,2094530.0,Mount Hope                                                                 
7428,3002447501.0,,3002447501,3002008,195,MONTAGUE STREET,Brooklyn,11201.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,220991,296555.0,Office,1.0,40.694015,-73.991472,2.0,33.0,9.0,3002008.0,Brooklyn Heights-Cobble Hill                                               
9533,3075620001.0,,3-07562-0001,3206027,3413,AVENUE H,Brooklyn,11210.0,Filed,,Not Available,,Not Available,78.56,Yes,ABS,Not Available,,,,66000,66000.0,Office,1.0,40.63192,-73.94344,17.0,45.0,784.0,3206027.0,East Flatbush-Farragut                                                     
14197,4001680001.0,,,,    43-09,  47 AVENUE         ,Queens,11104.0,No Submission Matched to BBL,,,,,,,None,,,,,,89781.0,,1.0,,,,,,,
12306,,,Not Available,Not Available,,,Staten Island,,No BBL on submission,0,0,0,0,Not Available,,,100,0,0,0,61219,,Office,,,,,,,,
13754,3013820004.0,,,,283,ALBANY AVENUE,Brooklyn,11213.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,57720.0,,1.0,40.670848,-73.939269,8.0,35.0,339.0,3036946.0,Crown Heights North                                                        
12496,1002830018.0,,,,143,HENRY STREET,Manhattan,10002.0,No Submission Matched to BBL,,,,,,No,None,,,,,,81953.0,,1.0,40.71335,-73.990611,3.0,1.0,6.0,1003567.0,Lower East Side                                                            
13616,2059200670.0,,,,3801,HUDSON MANOR TERRACE,Bronx,10463.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,152400.0,,1.0,40.888702,-73.915623,8.0,11.0,309.0,2085875.0,North Riverdale-Fieldston-Riverdale                                        
14932,1008210064.0,,1008210064,1015484,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,121.5,73000,,Office,,,,,,,,
