record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identification_numbers_bins,street_number,street_name,borough,zip_code,bbl_on_the_covered_buildings_list,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,council_district,census_tract,bin,nta
2830985.0,4160830037,,,4303321,71,BEACH 70 STREET     ,QUEENS,11692.0,Yes,In Compliance ,115.1,Not Available,146,Not Available,Not Available,No,None,20,2362.9,2026.1,336.8,312100,155000,Multifamily Housing,1,,,,,,,
2858535.0,4002520018,,,4003447,    32-36,  47 AVENUE         ,QUEENS,11101.0,Yes,In Compliance ,14.8,12,18.6,15.5,0.05,Yes,ABS,100,434.6,379.8,54.8,390400,184400,Office,1,,,,,,,
2804445.0,3009747504,,,3392416,302,2 AVENUE            ,BROOKLYN            ,11215.0,Yes,In Compliance ,102.3,101.9,188.8,187.6,52.15,No,Manual,9,387,197.4,189.6,58676,58506,Multifamily Housing,1,,,,,,,
2805372.0,4032937501,,,4308252,110,73 ROAD             ,QUEENS,11375.0,Yes,In Compliance ,44.6,42.9,63.9,62,39.6,Yes,ABS,Not Available,289.9,214.9,75,110880,100800,Multifamily Housing,1,,,,,,,
2664866.0,4000540006,,,4000460,    11-36,  45 ROAD           ,QUEENS,11101.0,Yes,In Compliance ,25.8,24.7,64,62.8,6.03,Yes,ABS,95,107.7,24.8,83,56777,56000,Worship Facility,1,,,,,,,
2669439.0,4096490053,,,4206516,    85-02,MANTON STREET       ,QUEENS,11435.0,Yes,In Compliance ,89.5,87,121.7,118.8,81.53,Yes,ABS,Not Available,448.2,352.5,95.6,87020,92000,Multifamily Housing,1,,,,,,,
2726160.0,4030780103,,,4072035,    93-40,QUEENS BOULEVARD    ,QUEENS,11374.0,Yes,In Compliance ,97.2,93,128,123.6,Not Available,Yes,None,57,317,258,59,57288,52080,Multifamily Housing,1,,,,,,,
2726090.0,4008460042,,,4017708,    21-24,  31 STREET         ,QUEENS,11105.0,Yes,In Compliance ,105.2,100,140.3,135,Not Available,No,None,50,696.8,580.7,116,88000,87376,Multifamily Housing,1,,,,,,,
2794380.0,4030790100,,,4072064;4832088,    62-98,SAUNDERS STREET     ,QUEENS,11374.0,Yes,In Compliance ,74.6,71.3,101.1,97.5,49.13,Yes,ABS,78,385.9,304.8,81.1,89971,84018,Multifamily Housing,1,,,,,,,
2809067.0,4031610001,,,Not Available,    66-22,FLEET STREET        ,QUEENS,11375.0,Yes,In Compliance ,88.9,85.8,125,121.7,60.79,Yes,Manual,43,583.7,442.1,141.6,112800,112800,Multifamily Housing,1,,,,,,,
2814689.0,4043620024,,,4464064,    30-56,WHITESTONE EP SR W  ,QUEENS,11357.0,Yes,In Compliance ,30.3,29.4,80.2,79.5,Not Available,No,None,93,128.8,21.3,107.5,56000,57834,Office,1,,,,,,,
2817011.0,2032520209,,,2015473,80,GOUVERNEUR AVENUE   ,BRONX               ,10463.0,Yes,In Compliance ,126.9,123.2,176.5,172.2,Not Available,Yes,None,5,1382.6,1070.5,312.1,179531,197406,Multifamily Housing,1,,,,,,,
2897082.0,4001940007,,,4002593,    45-41,  39 PLACE          ,QUEENS,11104.0,Yes,In Compliance ,94.4,94.4,121.2,121.2,Not Available,Yes,None,48,383.6,320.5,63.1,72000,72000,Multifamily Housing,1,,,,,,,
3118087.0,4026110104,,,4445984,    47-10,GRAND AVENUE        ,QUEENS,11378.0,Yes,In Compliance ,0.9,0.9,2.8,2.8,Not Available,No,None,100,6,0,6,80000,79000,Non-Refrigerated Warehouse,1,,,,,,,
4039211.0,4031670028,,,4075055,    67-76,BOOTH STREET        ,QUEENS,11375.0,Yes,In Compliance ,117.2,112.7,165.1,160.4,Not Available,No,None,9,767.3,579.7,187.7,112460,145112,Multifamily Housing,1,,,,,,,
4040465.0,4012680013,,,4029197,    34-24,  82 STREET         ,QUEENS,11372.0,Yes,In Compliance ,15.5,15.6,48.8,49.1,39.15,Yes,ABS,Not Available,129.1,0,129.1,100177,97260,Multifamily Housing,1,,,,,,,
4352693.0,4041480080,,,4099030,    17-20,WHITESTONE EP SR W  ,QUEENS,11357.0,Yes,In Compliance ,47.8,46.3,136.2,134.1,Not Available,Yes,None,70,237.6,22.3,215.4,63110,62545,Office,1,,,,,,,
4410434.0,4051230061,,,4115413,    42-60,MAIN STREET         ,QUEENS,11355.0,Yes,In Compliance ,83.5,79.8,115.3,111.5,64,Yes,ABS,Not Available,868.1,670.8,197.3,179824,166600,Multifamily Housing,1,,,,,,,
4412512.0,4097110075,,,4207707,   139-79,  85 DRIVE          ,QUEENS,11435.0,Yes,In Compliance ,56.6,56.5,108.9,108.5,141.71,Yes,ABS,74,546.5,295.8,250.7,124600,114780,Multifamily Housing,1,,,,,,,
3115691.0,4012490018,,,4431303,    33-24,  77 STREET         ,QUEENS,11372.0,Yes,In Compliance ,73.8,Not Available,84.8,Not Available,106.37,Yes,ABS,98,767,711.6,55.3,190666,176000,Multifamily Housing,4,,,,,,,
3328352.0,4014697501,,,4534372,    35-38,JUNCTION BOULEVARD  ,QUEENS,11368.0,Yes,In Compliance ,49.9,48.1,85.7,83.3,Not Available,No,None,93,217.6,125.7,91.9,69605,65816,Multifamily Housing,1,,,,,,,
3523308.0,4005790087,,,4007123,    31-74,  29 STREET         ,QUEENS,11106.0,Yes,In Compliance ,79.6,75.5,106.9,102.6,30.37,Yes,ABS,81,428.5,341.4,87.1,93964,85422,Multifamily Housing,1,,,,,,,
3788161.0,4016320009,,,4040804,   100-30,DITMARS BOULEVARD   ,QUEENS,11369.0,Yes,In Compliance ,117.0,113.8,205.3,202.4,71.74,Yes,ABS,71,491.1,273.7,217.5,66462,66462,Senior Care Community,1,,,,,,,
4030193.0,4098200038,,,4210117,   168-36,  88 AVENUE         ,QUEENS,11432.0,Yes,In Compliance ,122.0,120.2,135.7,133.8,77.28,No,Manual,67,385,366,19,50977,50976,Multifamily Housing,1,,,,,,,
4043176.0,4067977503,,,4147000,   158-13,  72 AVENUE         ,QUEENS,11365.0,Yes,In Compliance ,134.8,131.1,212,208.5,Not Available,Yes,None,6,605.5,398.1,207.4,74178,83763,Multifamily Housing,1,,,,,,,
4364291.0,4096640001,,,4206531,   137-02,  83 AVENUE         ,QUEENS,11435.0,Yes,In Compliance ,62.3,60.9,76.6,75.1,Not Available,No,None,81,621.2,542.1,79.1,179024,179024,K-12 School,1,,,,,,,
4397965.0,4097550006,,,4208829,    89-11, 153 STREET         ,QUEENS,11432.0,Yes,In Compliance ,75.8,74.4,110.6,108.9,Not Available,No,None,95,419.9,304.4,115.6,94000,93480,Multifamily Housing,1,,,,,,,
4397966.0,4098140116,,,4210060,    87-84, 165 STREET         ,QUEENS,11432.0,Yes,In Compliance ,93.6,92,126.3,124.7,Not Available,No,None,84,322.3,255.5,66.8,60000,59470,Multifamily Housing,1,,,,,,,
2689283.0,4019180114,,,4047337,    96-05,HORACE HARDING EXPRE,QUEENS,11368.0,Yes,In Compliance ,67.9,68.2,211.2,212.1,Not Available,No,None,70,1461.4,17.9,1443.5,259938,263927,Office,1,,,,,,,
2789660.0,4018377501,,,4045238,    88-30,  51 AVENUE         ,QUEENS,11373.0,Yes,In Compliance ,111.6,108.5,146.5,142.8,Not Available,No,None,47,414,338.5,75.5,64528,77106,Multifamily Housing,1,,,,,,,
2831128.0,2023900024,,,2091182;2091183,1285,       WASHINGTON ST,BRONX               ,,Yes,In Compliance ,7.8,Not Available,8.2,Not Available,Not Available,No,None,100,80.9,80.9,0,194550,174480,Multifamily Housing,2,,,,,,,
3762090.0,4118860001,,,Not Available,   148-18, 134 STREET         ,QUEENS,11430.0,Yes,In Compliance ,83.5,82.2,178,175.1,58.83,No,Manual,72,482.3,179.9,302.4,84280,75838,Hotel,1,,,,,,,
2704882.0,4050200001,,,4113585,   142-05,ROOSEVELT AVENUE    ,QUEENS,11354.0,Yes,In Compliance ,103.3,97.5,150.6,144.6,84.47,Yes,ABS,Not Available,1250,943.1,306.9,175676,276203,Multifamily Housing,1,,,,,,,
2710657.0,4050227502,,,4446657,   143-51,ROOSEVELT AVENUE    ,QUEENS,11354.0,Yes,In Compliance ,81.9,81.9,156.9,156.9,Not Available,No,None,13,482.4,229.4,253,89960,132930,Multifamily Housing,2,,,,,,,
2726132.0,4023740160,,,4054759,    53-00,  65 PLACE          ,QUEENS,11378.0,Yes,In Compliance ,119.9,115.9,180.8,176.5,81.5,Yes,ABS,4,388.1,272.5,115.7,52800,52800,Multifamily Housing,1,,,,,,,
2721425.0,4065270052,,,4141901,   144-75,MELBOURNE AVENUE    ,QUEENS,11367.0,Yes,In Compliance ,97.9,97.9,139.8,139.8,49.1,Yes,ABS,55,659.6,490.3,169.3,115181,115212,Multifamily Housing,1,,,,,,,
2731801.0,2029910034,,,2010685,1788,HOE AVENUE          ,BRONX               ,10460.0,Yes,In Compliance ,813.2,803.3,1055,1044.5,Not Available,No,None,1,3191.1,2639.9,551.2,68952,58962,Hospital (General Medical & Surgical),1,,,,,,,
3481990.0,4004140041,,,4534978,    41-34,CRESCENT STREET     ,QUEENS,11101.0,Yes,In Compliance ,64.4,64.4,202.3,202.3,Not Available,No,None,20,470.1,0,470.1,88000,80000,Multifamily Housing,1,,,,,,,
