order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
1,13286,201/205,13286,201/205,1013160001.0,1013160001,1037549,201/205  East  42nd  st.,Not Available,10017,675.0,3 AVENUE,Manhattan,289356.0,Office,Office,Office,293447.0,Not Available,Not Available,Not Available,Not Available,1963,2,100,Whole Building,Not Available,Not Available,305.6,303.1,37.8,Not Available,614.2,Not Available,Not Available,Not Available,Not Available,Not Available,5.15506751E7,Not Available,Not Available,38139374.2,1.10827705E7,6962.2,0.0,6962.2,762051,Not Available,Not Available,619.4,2017-05-01T17:32:03.000,No,In Compliance,40.750791,-73.973963,6.0,4.0,88.0,Turtle Bay-East Midtown                                                    
2,28400,NYP Columbia (West Campus),28400,NYP Columbia (West Campus),1021380040.0,1-02138-0040,1084198; 1084387;1084385; 1084386; 1084388; 1084389; 1807867; 1809824,622 168th Street,Not Available,10032,180.0,FT WASHINGTON AVENUE,Manhattan,3693539.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),3889181.0,Not Available,Not Available,Not Available,Not Available,1969,12,100,Whole Building,Whole Building,55,229.8,228.8,24.8,2.4,401.1,Not Available,1.96248472E7,Not Available,Not Available,Not Available,-3.914148026E8,933073441,9330734.4,332365924.0,9.62613121E7,55870.4,51016.4,4854.1,3889181,Not Available,Not Available,404.3,2017-04-27T11:23:27.000,No,In Compliance,40.841402,-73.94256800000001,12.0,10.0,251.0,Washington Heights South                                                   
3,4778226,MSCHoNY North,28400,NYP Columbia (West Campus),1021380030.0,1-02138-0030,1063380,3975 Broadway,Not Available,10032,3975.0,BROADWAY,Manhattan,152765.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,231342,Not Available,Not Available,,2017-04-27T11:23:27.000,No,In Compliance,40.840427000000005,-73.940249,12.0,10.0,251.0,Washington Heights South                                                   
4,4778267,Herbert Irving Pavilion & Millstein Hospital,28400,NYP Columbia (West Campus),1021390001.0,1-02139-0001,1087281; 1076746,161 Fort Washington Ave,177 Fort Washington Ave,10032,161.0,FT WASHINGTON AVENUE,Manhattan,891040.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1305748.0,Not Available,Not Available,Not Available,Not Available,1971,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,1305748,Not Available,Not Available,,2017-04-27T11:23:27.000,No,In Compliance,40.840746,-73.942854,12.0,10.0,255.0,Washington Heights South                                                   
5,4778288,Neuro Institute,28400,NYP Columbia (West Campus),1021390085.0,1-02139-0085,1063403,710 West 168th Street,Not Available,10032,193.0,FT WASHINGTON AVENUE,Manhattan,211400.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694.0,Not Available,Not Available,Not Available,Not Available,1932,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,179694,Not Available,Not Available,,2017-04-27T11:23:27.000,No,In Compliance,40.841559000000004,-73.942528,12.0,10.0,255.0,Washington Heights South                                                   
6,28402,NYP Cornell (East Campus),28402,NYP Cornell (East Campus),1014800001.0,1-01480-0001,1084781; 1084780,525 East 68th Street,Not Available,10021,1176.0,YORK AVENUE,Manhattan,2230742.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),2971874.0,Not Available,Not Available,Not Available,Not Available,1932,12,100,Whole Building,Whole Building,55,359.9,359,8.3,4.8,411.5,Not Available,2.00832154E7,Not Available,Not Available,Not Available,-4.690796909E8,1.4322508769E9,1.43225088E7,86335350.5,2.45508594E7,54429.8,77564.1,-23134.3,2971874,Not Available,Not Available,414.2,2017-04-27T11:23:27.000,No,In Compliance,40.761395,-73.957726,8.0,5.0,116.0,Lenox Hill-Roosevelt Island                                                
7,4778352,Annex Building & Garage,28402,NYP Cornell (East Campus),1014820040.0,1-01482-0040,1081252,523 East 70th St,515 East 70th St,10021,512.0,EAST 71 STREET,Manhattan,245000.0,Mixed Use Property,Other,Other,245000.0,Not Available,Not Available,Not Available,Not Available,1932,1,60,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,245000,Not Available,Not Available,,2017-04-27T11:23:27.000,Yes,In Compliance,40.765949,-73.95375200000001,8.0,5.0,124.0,Lenox Hill-Roosevelt Island                                                
10,2610789,North Shore Towers,2610789,North Shore Towers,4084890001.0,4084890001,4456886;4456885;4453535;4456888,270-10 Grand Central Parkway,269-271-10 Grand Central Parkway,11005,269.0,GRAND CENTRAL PKWY,Queens,3750565.0,Multifamily Housing,"Financial Office, Medical Office, Multifamily Housing, Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Other - Public Services, Other - Recreation, Other - Services, Parking, Restaurant, Retail Store, Social/Meeting Hall, Supermarket/Grocery Store, Swimming Pool",Multifamily Housing,2400000.0,Parking,900000,Other,230200,1974,4,100,Whole Building,Combination of common and tenant areas,Not Available,143974.4,143976,Not Available,1439.7,151174.5,Not Available,1.37367028E7,Not Available,Not Available,Not Available,Not Available,394285242148,3.9428524215E9,,Not Available,20943400.0,20943400.0,0.0,2738875,107151.5,39.13,151172.9,2017-04-28T07:44:37.000,Yes,In Compliance,40.757859,-73.71554300000001,13.0,23.0,155101.0,Glen Oaks-Floral Park-New Hyde Park                                        
11,2611745,Towers Golf Course and Irrigation Wells,2610789,North Shore Towers,4084890001.0,4084890001,4456888,272-86 Grand Central Parkway,Not Available,11005,269.0,GRAND CENTRAL PKWY,Queens,3750565.0,Other,Other,Other,200.0,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,1138.3,1091.5,319.9,Not Available,3427.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,227658.1,63979.9,21.1,0.0,21.1,200,19261.1,96305.69,3574.2,2017-04-28T07:44:37.000,Yes,In Compliance,40.757859,-73.71554300000001,13.0,23.0,155101.0,Glen Oaks-Floral Park-New Hyde Park                                        
166,3618219,430 W 119 ET AL,3618219,430 W 119 ET AL,,Not Available,Not Available,430 west 119th Street,Not Available,10027,,,,,Other,Other,Other,166302.0,Not Available,Not Available,Not Available,Not Available,1910,3,100,Whole Building,Not Available,Not Available,3.8,3.9,0.8,0,9.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,215700,2157,419914.8,125594,50.4,11.5,39.0,166302,Not Available,Not Available,9.3,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
