order,property_id,property_name,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,dof_benchmarking_submission,latitude,longitude,community_board,council_district,census_tract,nta,fuel_oil_2_use_kbtu,_3rd_largest_property_use,_3rd_largest_property_use_1,fuel_oil_4_use_kbtu,parent_property_id,parent_property_name,address_2_self_reported,annual_maximum_demand_kw,annual_maximum_demand_mm,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_chilled_water_use
1,4593574,The Argonaut Building,1010287502,1010287502,1024898,224 West 57th St,10019,Not found,Not found,Manhattan,Not found,169416,Office,"Bank Branch, Office",Office,164754.0,Bank Branch,4662.0,1909,1,95,Whole Building,Whole Building,90.0,138.4,141.0,53.8,56.2,11.3,0.1,1133475.1,1435754.7,16672.2,6551394.1,1920103.6,1920103.6,732.4,76.3,656.1,3635.5,21.46,Not found,2018-02-14T00:00:00.000,Not found,40.765949,-73.981073,105.0,4.0,137.0,Midtown-Midtown South,,,,,,,,,,,,
2,6224375,Operative Cakes,2005600062;2055600062,2-00560-0062;2-05560-0062,2087721;2080293,711-733 Brush Avenue,10465,Not found,Not found,Bronx,Not found,104407,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104407.0,,,1973,2,100,Whole Building,Whole Building,,84.6,,32.0,,7.1,,,,,2564587.1,751637.4,745273.8,284.8,57.4,227.4,116.0,1.11,Not found,2018-02-14T00:00:00.000,Not found,40.821209,-73.837894,210.0,13.0,90.0,Soundview-Castle Hill-Clason Point-Harding Park,773283.0,,,,,,,,,,,
3,2967701,Cathedral Preparatory Seminary,4018720007,4-01872-0007,4046340,56-25 92nd Street,11373,Not found,Not found,Queens,Not found,94380,K-12 School,K-12 School,K-12 School,94380.0,,,1963,1,100,Whole Building,,100.0,43.5,46.8,28.4,31.3,2.0,0.2,,2068300.1,23243.7,616343.7,180640.0,184131.9,164.5,109.9,54.6,102.9,1.09,Not found,2018-02-14T00:00:00.000,Not found,40.736195,-73.869956,404.0,25.0,683.0,Elmhurst,,,,,,,,,,,,
4,4898531,The Nomad Hotel,1008290050,1-00829-0050,1080710,1170 Broadway,10001-7507,Not found,Not found,Manhattan,Not found,125000,Hotel,Hotel,Hotel,125000.0,,,1999,1,85,Whole Building,Whole Building,83.0,271.1,274.7,130.2,133.7,18.8,0.7,,8245445.1,86776.9,8033914.4,2354605.3,2354605.3,1150.2,438.0,712.3,10762.6,86.1,Not found,2018-02-14T00:00:00.000,Not found,40.744996,-73.988773,105.0,2.0,58.0,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,,,,,,,
5,2917939,10 West 27 Street Corp,1008280053,1-00828-0053,1015657,1155 Broadway,10001,Not found,Not found,Manhattan,Not found,50000,Hotel,Hotel,Hotel,50000.0,,,1994,1,100,Whole Building,,27.0,163.0,167.9,76.5,80.8,11.7,0.4,,1848519.4,20520.9,1976691.9,579335.2,582516.1,273.4,98.2,175.3,790.1,15.8,Not found,2018-02-14T00:00:00.000,Not found,40.74431,-73.988924,105.0,3.0,58.0,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,,,,,,,
6,3878205,Westbury Realty,1000650024,1-00065-0024,1001105,24 John Street,10038,Not found,Not found,Manhattan,Not found,50000,Hotel,Hotel,Hotel,50000.0,,,2012,1,0,Whole Building,Whole Building,99.0,64.2,64.2,20.5,20.5,6.0,,,,,1022951.6,299809.9,299809.9,90.7,0.0,90.7,143.0,2.86,Not found,2018-02-14T00:00:00.000,Not found,40.709765,-74.008765,101.0,1.0,1502.0,Battery Park City-Lower Manhattan,,,,,,,,,,,,
7,2920468,Union Temple,3011720006,3-01172-0006,3259310,17 Eastern Parkway,11238,Not found,Not found,Brooklyn,Not found,73144,Worship Facility,"Office, Other, Other - Recreation, Worship Facility",Worship Facility,28086.0,Other - Recreation,28006.0,1925,1,100,Whole Building,,,61.3,,38.9,,,,,,,755416.8,221400.0,,224.5,157.6,67.0,1380.0,18.87,Not found,2018-02-14T00:00:00.000,Not found,40.673063,-73.968071,308.0,35.0,207.0,Prospect Heights,,Office,9134.0,2092618.0,,,,,,,,
8,2645118,155 West 66th Street Condominium,1011387503,1011387503,1028838,155 West 66th Street,10023,Not found,Not found,Manhattan,Not found,142088,Hotel,"Hotel, Non-Refrigerated Warehouse, Other, Supermarket/Grocery Store",Hotel,120780.0,Supermarket/Grocery Store,13799.0,1999,1,100,Whole Building,Tenant areas (all energy loads),,243.4,244.6,117.7,120.1,15.5,0.1,7195772.2,1902140.0,19893.7,7622453.3,2234013.0,2198465.5,1254.6,101.0,1153.6,2641.6,18.59,Not found,2018-02-15T00:00:00.000,Not found,40.774386,-73.983399,107.0,6.0,153.0,Lincoln Square,,Non-Refrigerated Warehouse,4455.0,,,,,,,,,
9,4376215,38-20 Bowne Street Flushing,4050200023,4-05020-0023,4113595,38-20 Bowne Street,11354,Not found,Not found,Queens,Not found,193975,Multifamily Housing,Other - Lodging/Residential,Other - Lodging/Residential,193975.0,,,1975,1,100,Whole Building,Whole Building,,169.1,176.6,53.9,56.2,16.5,,,,,10446179.3,3061599.6,3197137.7,926.2,0.0,926.2,18570.4,95.74,Not found,2018-02-15T00:00:00.000,Not found,40.761944,-73.824863,407.0,20.0,865.0,Flushing,,,,,,,,,,,,
10,2815759,Queens- Queen Grand Realty,4026110106,4026110106,4059001,4710 Grand Ave,11385,Not found,Not found,Queens,Not found,200000,Distribution Center,Distribution Center,Distribution Center,200000.0,,,1950,1,100,Whole Building,Whole Building,37.0,99.2,103.2,42.4,45.4,7.8,0.2,,3243162.2,37728.7,5234449.5,1534129.2,1556499.9,636.3,172.3,464.1,1003.2,5.02,Not found,2018-02-15T00:00:00.000,Not found,40.716883,-73.921193,405.0,30.0,535.0,Maspeth,,,,,,,,,,,,
11,3216420,989 East 149th,2026040500,2026040500,2101594,989 E 149th Street,10454,Not found,Not found,Bronx,Not found,100000,Distribution Center,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,150000.0,,,1977,1,100,Whole Building,Whole Building,100.0,8.9,10.1,8.5,9.6,,0.1,,1277797.0,14365.1,,,,67.9,67.9,0.0,521.6,3.48,Not found,2018-02-15T00:00:00.000,Not found,40.80666,-73.902509,202.0,17.0,93.0,Hunts Point,,,,,62242466224246.0,"955/989, 955/989",,,,,,
12,3878102,955 East 149th,2026040270,2/2604/270,2094275,955 East 149th St.,10455,Not found,Not found,Bronx,Not found,190000,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,190000.0,Refrigerated Warehouse,190000.0,1969,1,100,Whole Building,Whole Building,,10.3,12.0,9.8,11.4,,0.1,,3725146.9,43309.5,,,,197.9,197.9,0.0,404.3,1.06,Not found,2018-02-15T00:00:00.000,Not found,40.807305,-73.902621,202.0,17.0,93.0,Hunts Point,,,,,62242466224246.0,"955/989, 955/989",,,,,,
13,4865941,MBD Brooklyn,3002810001,3002810001,3342913,2 Atlantic Ave,11201,Not found,Not found,Brooklyn,Not found,721396,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,721396.0,,,1931,1,100,Whole Building,Whole Building,97.0,62.1,61.7,53.1,52.7,0.9,0.5,,36084400.2,357799.8,2204474.6,646094.5,646094.5,2112.1,1916.6,195.4,2400.0,3.33,Not found,2018-02-15T00:00:00.000,Not found,40.691963,-74.000411,306.0,39.0,47.0,Carroll Gardens-Columbia Street-Red Hook,,,,,,,Pier 7,,,,,
14,6224246,955/989,2026040500;2026040270,2026040500;2026040270,2101594;2094275,955 East 149th Street,10455,Not found,Not found,Bronx,Not found,340000,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,340000.0,Refrigerated Warehouse,190000.0,1969,2,100,Whole Building,Common areas (all energy loads),,54.2,55.8,23.6,25.1,4.1,0.1,,5002944.0,58194.1,7480042.4,2192274.7,2192274.7,928.9,265.7,663.2,521.6,0.98,Not found,2018-02-15T00:00:00.000,Not found,40.807305,-73.902621,202.0,17.0,93.0,Hunts Point,,,,,6224246.0,955/989,,,,,,
15,4560039,810 Humboldt St.,3026050001,3026050001,3065444,810 Humboldt Street,11222,Not found,Not found,Brooklyn,Not found,80000,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,1963,1,100,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,250272.9,2887.9,844769.9,247587.9,247587.9,88.2,13.3,74.9,1654.6,20.68,Not found,2018-02-15T00:00:00.000,Not found,40.729518,-73.946078,301.0,33.0,579.0,Greenpoint,,,,,,,,,,,,
