order,property_id,property_name,parent_property_id,parent_property_name,city_building,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,address_2_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,_3rd_largest_property_use,_3rd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,kerosene_use_kbtu,propane_use_kbtu,district_steam_use_kbtu,district_hot_water_use_kbtu,district_chilled_water_use,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,annual_maximum_demand_kw,annual_maximum_demand_mm,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,latitude,longitude,community_board,council_district,census_tract,nta
1,7365,1155,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009970029,1009970029,1022631,1155  Avenue  of  the  Americas,Not Available,10036,1155,Avenue of the Americas,Manhattan,734668.0,686838,Office,"Bank Branch, Office",Office,680478.9,Bank Branch,5227,Not Available,Not Available,1982,1,40,Whole Building,Not Available,79,110.9,110.9,45.7,45.8,10.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7360193.3,Not Available,Not Available,Not Available,Not Available,2.39953415E7,7032631.5,7032631.5,Not Available,Not Available,2520.9,0,2520.9,Not Available,Not Available,No,2019-04-30T11:53:26.000,40.756631,-73.982826,105.0,4.0,119.0,Midtown-Midtown South
2,8139,200,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013150001,1013150001,1037545,200  East  42nd  St.,Not Available,10017,200,East 42nd,Manhattan,380000.0,384432,Office,"Bank Branch, Office, Retail Store",Office,366528.0,Retail Store,15789,Bank Branch,2115,1956,1,100,Whole Building,Whole Building,62,193.4,190.6,101,98.9,13.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21525233,Not Available,Not Available,Not Available,Not Available,1.73088981E7,5072947.2,5055495,Not Available,Not Available,2895.1,0,2895.1,7252.6,18.87,Yes,2019-04-30T11:53:27.000,,,,,,
3,8604,114,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009990019,1009990019,1022667,114  West  47th  st,Not Available,10036,114,West 47th,Manhattan,646995.0,577534,Financial Office,Financial Office,Financial Office,577534.0,Not Available,Not Available,Not Available,Not Available,1989,1,95,Whole Building,Not Available,66,155.6,154.6,70.3,70.3,12.9,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.38723262E7,Not Available,Not Available,963227.2,9632.3,2.57830572E7,7556580.9,7446568.4,Not Available,Not Available,3155.8,51.2,3104.7,Not Available,Not Available,No,2019-04-30T11:53:27.000,,,,,,
4,8841,733,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013190047,1013190047,1037596,733  Third  Avenue,Not Available,10017,733,Third Avenue,Manhattan,405399.0,390878,Office,Office,Office,393087.2,Not Available,Not Available,Not Available,Not Available,1961,1,100,Whole Building,Not Available,64,181.5,178.2,97.1,95,11.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.22760592E7,Not Available,Not Available,Not Available,Not Available,1.59062232E7,4661846.8,4612102.7,Not Available,Not Available,2826.2,0,2826.2,Not Available,Not Available,No,2019-04-30T11:53:27.000,40.753074,-73.972753,106.0,4.0,90.0,Turtle Bay-East Midtown
5,11809,Conde Nast Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009950005,1009950005,1085682,4 Times Square,Not Available,10036,4,Times Square,Manhattan,,1601977,Office,"Office, Retail Store",Office,1539113.0,Retail Store,62864,Not Available,Not Available,1999,1,100,Whole Building,Not Available,42,226.1,227.3,100.4,101.5,20,0.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.40737862E7,Not Available,Not Available,3.74985204E7,389906.7,1.092587034E8,3.20218904E7,3.20218904E7,Not Available,Not Available,12179.3,1991.7,10187.6,Not Available,Not Available,,2019-04-30T11:53:27.000,40.756181,-73.986244,105.0,4.0,119.0,Midtown-Midtown South
6,13286,201/205,13286,201/205,No,1013160001,1013160001,1037549,201/205  East  42nd  st.,Not Available,10017,201/205,East 42nd,Manhattan,289356.0,692455,Office,Office,Office,692455.0,Not Available,Not Available,Not Available,Not Available,1963,2,100,Whole Building,Not Available,Not Available,230.9,226.6,125.3,122.2,14.7,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.91775567E7,Not Available,Not Available,2593072.7,25930.7,3.50019397E7,1.02584805E7,1.01811991E7,Not Available,Not Available,6367.4,137.7,6229.6,Not Available,Not Available,No,2019-04-30T11:53:28.000,,,,,,
7,28400,NYP Columbia (West Campus),28400,NYP Columbia (West Campus),No,1021380040; 1021380030; 1021390001; 1021390085; 1021360245,1021380040; 1021380030; 1021390001; 1021390085; 1021360245,1084198; 1084387;1084385; 1084386; 1084388; 1084389; 1807867; 1809824; 1063380; 1087281; 1076746; 1813204; 1063403; 1063347,622 168th Street,Not Available,10032,622,168th Street,Manhattan,,3813938,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),3813938.0,Parking,211980,Not Available,Not Available,1969,12,100,Whole Building,Whole Building,77,391.8,391.8,258.2,258.2,22.9,2.7,Not Available,41032678,Not Available,Not Available,Not Available,Not Available,Not Available,-3.837655662E8,Not Available,Not Available,1030009735,1.03000974E7,297560626,8.72100205E7,8.72100205E7,Not Available,Not Available,57472.7,57753.8,-281.1,412.2,0.11,,2019-05-01T12:54:49.000,,,,,,
8,28402,NYP Cornell (East Campus),28402,NYP Cornell (East Campus),No,1014800001; 1014820040,1014800001; 1014820040,1084781; 1084780; 1081252,525 East 68th Street,Not Available,10021,525,East 68th,Manhattan,,3274756,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Other",Hospital (General Medical & Surgical),2971874.0,Other,302882,Not Available,Not Available,1932,12,100,Whole Building,Whole Building,36,428.1,428.1,379.9,379.9,8.5,4.8,Not Available,4.15585009E7,Not Available,Not Available,Not Available,Not Available,Not Available,-4.514757789E8,Not Available,Not Available,1558592348,1.55859235E7,95260283,2.79191886E7,2.79191886E7,Not Available,Not Available,63958.6,85868.3,-21909.7,99433.3,30.36,,2019-05-01T12:54:49.000,,,,,,
9,28404,The Allen Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1022440100,1-02244-0100,1065045,5141 Broadway,Not Available,10034,5141,Broadway,Manhattan,393924.0,308789,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),308789.0,Not Available,Not Available,Not Available,Not Available,1991,1,100,Whole Building,Whole Building,48,455.8,451.5,245,244.9,32.6,1.3,Not Available,243500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.03874525E7,410791.6,3.50296316E7,1.02665965E7,1.00521213E7,Not Available,Not Available,5129.9,2163.2,2966.7,Not Available,Not Available,No,2019-04-30T17:29:33.000,40.872384999999994,-73.91266800000001,112.0,10.0,297.0,park-cemetery-etc-Manhattan
10,1045358,320 Park Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012860035,1-01286-0035,1035464,320 Park Avenue,Not Available,10022,320,Park Avenue,Manhattan,656436.0,721979,Financial Office,"Bank Branch, Data Center, Financial Office",Financial Office,705197.0,Bank Branch,10462,Data Center,6320,1994,1,95,Whole Building,Whole Building,60,213.6,212.1,88.8,88.3,19.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.57961535E7,Not Available,Not Available,Not Available,Not Available,4.82909907E7,1.41532781E7,1.40280314E7,Not Available,Not Available,5138.6,0,5138.6,21519.6,29.81,No,2019-04-23T14:29:41.000,40.75745,-73.973798,105.0,4.0,102.0,Midtown-Midtown South
