,sampling_location,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,top_salinity_psu,top_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,light_trans_transparency_top_sample,top_sigma_t_kg_m3,top_fluorometer_mg_m3,top_sample_par_ue_s_m2,oxidation_reduction_potential_mv_top_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,top_fecal_coliform_bacteria_cells_100ml,top_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,top_dissolved_organic_carbon_mg_l,long,lat,type,bottom_sample_temperature_c,bottom_salinity_psu,winkler_method_bottom_dissolved_oxygen_mg_l,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,bottom_sample_depth_ft,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_bottom_sample,bottom_sigma_t_kg_m3,bottom_fluorometer_mg_m3,bottom_ph,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,bottom_enterococci_bacteria_cells_100ml,bottom_total_suspended_solid_mg_l,sampling_comment,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,oxidation_reduction_potential_mv_bottom_sample,light_trans_transparency_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,duplicate_sample,bottom_sample_par_ue_s_ue_s_m2,bottom_silica_mg_l,top_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,top_coliform_log_no_ml,bottom_coliform_log_no_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,chlorophyll_top_sample_field_u_l_ysi,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_turbidity_nephelometric_turbidity_units,top_total_organic_carbon_mg_l,chlorophyll_bottom_sample_field_u_l_ysi,bottom_turbidity_ysi_nephelometric_turbidity_units,fecal_coliform_bottom_sample_less_than_or_greater_than_result,bottom_nitrate_nitrite_mg_l,bottom_ammonium_mg_l,bottom_ortho_phosphorus_mg_l,bottom_total_phosphorus_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,bottom_active_chlorophyll_a_g_l
0,BR5,2015-08-17T00:00:00.000,1:07 PM,Dry,24.68,13.0,3.0,25.58,3.98,4.91,68.4,61.56,16.33,3.9804,3791.3,193.099,HW SLK,0,5,S,1,5.17,2.0,7.32,10,3,0.2,0.03,0.124,0.435,2.61,0.188,16.0,8.96,2.39,-73.871333,40.813667,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,K2,1965-07-06T00:00:00.000,9:50 AM,,22.8,21.0,,28.7,,,,,,,,,,SW,,,,3.5,,,,,,,,,,,,,,-74.153,40.641167,Permanent,22.2,28.7,3.4,3500,790,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N8,1909-07-16T00:00:00.000,4:10 PM,,20.0,,1.0,,,,,,,,,,,Flood,,,,4.45,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N9,1972-07-27T00:00:00.000,9:22 AM,,17.2,,,31.1,,,,,,,,,,W,,,,5.9,,,,,,,,,,,,,,-73.983333,40.568333,Permanent,16.1,31.4,5.6,790,490,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NC0,2014-02-26T00:00:00.000,10:45 AM,Dry,2.51,15.0,3.0,21.66,2.02,8.42,71.54,,17.28,65.4767,,,weak,,3,S,1,12.27,3.5,7.46,56,20,0.374,0.718,0.049,1.7,1.55,0.183,11.0,29.9,3.08,-73.931556,40.714961,Permanent,2.46,22.01,9.87,,,,,,,12.0,2.04,7.84,66.7,17.56,19.6969,7.5,56.0,E,E,20.0,9.0,Light snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E3,1968-08-28T00:00:00.000,9:45 AM,,22.8,,,27.6,,,,,,,,,,N,,,,1.5,,,,,,,,,,,,,,-73.966112,40.747499,Permanent,22.2,27.6,2.4,240000,240000,,,3.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,N3A,1957-08-14T00:00:00.000,11:15 AM,,23.3,43.0,,22.05,,,,,,,,,,N,,,,2.8,,,,,,,,,,,,,,-73.992497,40.78333,Permanent,22.8,25.2,1.9,240,240,2.0,2.0,,,,,,,,,,,,,,,,0.147,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,J7,2006-07-18T00:00:00.000,1:45 PM,Dry,26.0,27.0,4.0,25.14,4.03,6.09,86.78,,15.61,,,50.637,0.9,NE,8,NE,1,6.69,3.0,7.87,8,1,0.236,0.402,0.158,1.934,0.833,0.32,45.5,53.23,5.16,-73.820833,40.645333,Permanent,25.74,25.35,6.65,,,,,,,26.0,4.03,5.44,77.18,15.85,,7.86,,,,,3.75,,,,55.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,E5,1968-09-05T00:00:00.000,11:00 AM,,21.7,,,27.3,,,,,,,,,,W,,,,3.7,,,,,,,,,,,,,,-73.886111,40.800833,Permanent,21.7,27.3,3.1,170000,110000,,,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,N7,2011-05-18T00:00:00.000,11:30 AM,Wet,13.9,53.0,3.0,17.4,2.22,7.78,84.0,47.08,12.65,5.3028,,202.156,0.4,S,9,E,1,5.38,2.0,7.2,270,83,0.245,0.317,,0.717,1.715,0.098,14.0,1.4,3.0,-74.053833,40.643833,Permanent,13.8,24.05,7.93,,,,,,,51.0,2.98,7.68,86.12,17.78,4.5096,7.35,,,,,10.0,,,,206.251,64.35,7.7,7.86,1187.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,H2,1992-07-28T00:00:00.000,12:34 PM,,23.1,19.0,1.0,14.43,2.29,,,,8.38,,,,,E,,,,5.22,1.0,7.31,273,,,,,,,,32.0,9.0,,-73.91861,40.858609,Permanent,23.03,14.92,4.89,900,800,,,0.7,0.8,3.0,2.36,,,8.77,,7.4,364.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,N7,1924-06-24T00:00:00.000,2:45 PM,,21.7,47.0,,26.25,,,,,,,,,,N,,,,3.72,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,20.6,28,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GC4,2013-12-10T00:00:00.000,,Wet,,,,,,,,,,,,,,,,,,,,,3000,930,0.448,0.644,0.07,0.99,3.12,0.154,9.0,1.6,4.07,-73.989073,40.678034,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,H4,1994-06-27T00:00:00.000,9:56 AM,,21.73,19.0,1.0,24.02,3.54,,,,15.97,,,,,S,,,,4.56,3.0,7.35,200,,0.37,0.49,0.11,,,0.17,12.0,0.5,,-73.929168,40.803613,Permanent,21.25,24.8,4.53,3000,2200,,,1.3,1.9,6.0,3.61,,,16.69,,7.25,220.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,E1,1995-07-12T00:00:00.000,,,21.94,,3.28,24.64,3.64,,,64.05,16.39,0.96,5.34,,,,,,,3.86,,,240,,0.5,0.49,0.13,,,0.19,48.0,3.4,,-74.006548,40.7,Permanent,21.94,24.65,3.91,800,1100,2.6,2.7,,,45.92,3.64,,,16.39,1.08,,160.0,,,,30.0,,,,,58.63,,,4.45,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,J10,2015-09-03T00:00:00.000,1:19 PM,Dry,25.75,22.0,3.0,29.14,4.57,4.98,71.99,64.1,18.69,14.2423,3223.7,229.335,0.7,SSW,4,NE,1,5.09,3.5,7.63,3,5,0.084,0.23,0.135,0.807,1.55,0.188,12.0,7.27,2.59,-73.894721,40.621667,Permanent,24.55,29.69,5.0,,,,,,,20.0,4.54,4.47,63.48,19.47,12.4746,7.64,,,,,25.0,,,,227.04,68.05,,,,,16.62,1.55,,,,,,,,,,,,,,,,,,,,,,,,,
16,N3A,1956-08-01T00:00:00.000,10:35 AM,,23.3,43.0,,13.65,,,,,,,,,,S,,,,7.0,,,,,,,,,,,,,,-73.992497,40.78333,Permanent,21.7,19.6,4.2,23,93,3.0,2.0,,,,,,,,,,,,,,,,0.025,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,H1,1980-06-10T00:00:00.000,10:55 AM,,18.3,,,15.1,,,,,,,,,,W,,,,5.4,,,,,,,,,,,,,,-73.923884,40.878055,Permanent,18.3,15.1,5.1,17000,24000,,,2.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,H1,1980-06-10T00:00:00.000,10:55 AM,,18.3,,,15.1,,,,,,,,,,W,,,,5.4,,,,,,,,,,,,,,-73.923884,40.878055,Permanent,18.3,15.1,5.1,17000,24000,,,2.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,J11,2007-09-19T00:00:00.000,11:48 AM,Dry,,22.0,,,,,,,,,,,0.6,NW,6,W,1,7.87,7.0,7.65,8,1,0.246,0.269,0.09,0.93,1.298,0.15,7.0,18.71,2.83,-73.931333,40.581667,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,20.3,,,,,,,,,,,,,,,,,,,,,,,
20,K5,1969-06-17T00:00:00.000,11:00 AM,,21.7,,,22.7,,,,,,,,,,N,,,,5.4,,,,,,,,,,,,,,-74.258833,40.508833,Permanent,21.7,22.7,4.2,14000,7900,,,3.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,K1,2000-08-15T00:00:00.000,11:15 AM,Wet,22.56,49.0,3.3,18.15,27.97,5.55,71.47,0.0,11.32,,,,,E,10,NNE,1,6.08,5.5,7.17,440,,0.409,0.338,0.105,0.791,2.13,0.147,3.4,1.38,3.91,-74.081945,40.651112,Permanent,22.1,23.92,5.14,,,,,,,42.6,35.59,6.05,79.87,15.8,,7.31,,,,,1.6,,,,,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,N6,1953-07-28T00:00:00.000,8:30 AM,,24.4,56.0,,25.2,,,,,,,,,,N,,,,1.6,,,,,,,,,,,,,,-74.051333,40.664667,Permanent,24.4,25.9,2.1,25,9,2.0,2.0,,,,,,,,,,,,,,,,0.023,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,N2,1947-06-17T00:00:00.000,11:40 AM,,20.0,44.0,,7.0,,,,,,,,,,S,,,,6.5,,,,,,,,,,,,,,-73.930268,40.879447,Permanent,19.4,10.15,4.8,,,2.0,2.0,,,,,,,,,,,,,,,,0.9,2.4,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
24,E14,2016-09-19T00:00:00.000,1:03 PM,Wet,23.71,24.0,3.0,25.66,3.9,4.75,65.0,68.8,16.67,3.01,313.0,204.56,0.5,W,6.0,S,1,4.83,4.0,7.51,260,108,0.422,0.248,,0.655,2.704,0.201,11.0,5.79,2.45,-73.8645,40.800833,Permanent,23.65,26.02,4.86,,,,,,,22.0,4.0,4.7,64.3,16.95,2.75,7.53,,,,,14.0,,,,201.71,64.5,7.65,7.64,595.0,,1.0,2.704,,,,,,,,,,,,,,,,,,,,,,,,,
25,N3B,2003-04-08T00:00:00.000,12:15 PM,Wet,5.4,70.0,4.0,3.23,0.37,21.22,171.64,,2.53,,,,,SLACK,15,NE,1,12.71,1.5,7.39,,80,0.724,0.192,0.039,1.1,4.22,0.08,8.6,1.01,5.15,-73.965333,40.820833,Permanent,5.27,24.78,11.27,,,,,,,56.0,2.46,15.38,142.85,19.56,,7.94,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,N6,2016-06-21T00:00:00.000,3:00 PM,Dry,19.17,49.0,3.0,24.41,3.4,7.45,93.1,70.2,16.91,3.55,,282.31,1.3,S,4.0,W,1,7.27,4.0,7.7,4,1,0.226,0.225,,0.539,0.978,0.042,19.0,8.3,2.29,-74.051333,40.664667,Permanent,17.64,26.37,7.02,,,,,,,44.0,3.5,7.2,88.5,18.76,3.1,7.71,,<,,,38.0,,,,284.31,67.7,7.72,7.74,,,,0.844,,,,,<,,,,,,,,,,,,,,,,,,,,
