development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_therms,es_commodity,underlying_utility
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),178-14 BAISLEY BOULEVARD,AMR,,209.0,324,Q020900,FEDERAL,NY005012090P,National Grid NYC,8156963,2019-09,2019-08-20T00:00:00.000,2019-09-18T00:00:00.000,29,5474379,N,33.12,T1B TRAN RES HEAT,Yes,11.0,UTILITY GAS,NatGrid NYC
DREW-HAMILTON,MANHATTAN,DREW-HAMILTON,BLD 05,NONE,BLD 1-5,111.0,434,M011100,MIXED FINANCE/LLC1,NY005021110P,CONSOLIDATED EDISON COMPANY OF NY,8171709,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2544078,Y,11705.63,Trans Res MultiDwell Heat Dual,Exception,21679.14,UTILITY GAS,ConEd
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 01,NONE,,356.0,768,B035600,FEDERAL,NY005013420P,CONSOLIDATED EDISON COMPANY OF NY,8155959,2019-09,2019-08-15T00:00:00.000,2019-09-23T00:00:00.000,39,3356582,N,306.16,GS3,Yes,364.0,UTILITY GAS,ConEd
EDENWALD,BRONX,EDENWALD,BLD 20,NONE,,57.0,214,B005700,FEDERAL,NY005000570P,CONSOLIDATED EDISON COMPANY OF NY,8160036,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3893305,N,38329.74,SC9,Yes,72159.0,UTILITY GAS,ConEd
SACK WERN,BRONX,SACK WERN,BLD 06,NONE,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8171896,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3793542,N,553.38,Trans Gen Non-Res,Exception,1128.61,UTILITY GAS,ConEd
SACK WERN,BRONX,SACK WERN,BLD 02,NONE,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8171860,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3515987,N,331.65,Trans Gen Non-Res,Exception,660.8,UTILITY GAS,ConEd
CARLETON MANOR,QUEENS,CARLETON MANOR,BLD 01,NONE,BLD 1,164.0,270,Q016400,FEDERAL,NY005010750P,National Grid LI,8177349,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,06588270,N,2604.6,"158 Del,Com,Multidwel,Heat",Yes,8011.0,UTILITY GAS,NatGrid LI
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),153 BEACH 59TH STREET,NONE,,284.0,521,Q028400,FEDERAL,NY005012090P,National Grid LI,8178637,2019-09,2019-08-21T00:00:00.000,2019-09-19T00:00:00.000,29,1340169,N,61.13,"140 Del&Sup,Res,Home Heat",Yes,32.0,UTILITY GAS,NatGrid LI
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BRONX,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BLD 01,NONE,,246.0,365,B024600,FEDERAL,NY005010450P,CONSOLIDATED EDISON COMPANY OF NY,8166205,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3591924,Y,1409.98,Trans Res MultiDwell Heat,Yes,2141.5,UTILITY GAS,ConEd
HAMMEL,QUEENS,HAMMEL,BLD 05,NONE,BLD 1-14,75.0,226,Q007500,FEDERAL,NY005010750P,National Grid LI,8177352,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,04774936,N,8280.18,"158 Del,Com,Multidwel,Heat",Yes,30440.0,UTILITY GAS,NatGrid LI
SAINT NICHOLAS,MANHATTAN,SAINT NICHOLAS,BLD 01,NONE,BLD 1-13,38.0,211,M003800,FEDERAL,NY005000380P,CONSOLIDATED EDISON COMPANY OF NY,8176315,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2545238,N,23320.33,Trans Res MultiDwell Heat Dual,Yes,43456.0,UTILITY GAS,ConEd
DREW-HAMILTON,MANHATTAN,DREW-HAMILTON,BLD 05,NONE,BLD 1-5,111.0,434,M011100,MIXED FINANCE/LLC1,NY005021110P,CONSOLIDATED EDISON COMPANY OF NY,8171709,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2545244,Y,7201.76,Trans Res MultiDwell Heat Dual,Exception,13337.86,UTILITY GAS,ConEd
MOORE,BRONX,MOORE,BLD 01,NONE,BLD 1-2,129.0,251,B012900,FEDERAL,NY005010930P,CONSOLIDATED EDISON COMPANY OF NY,8164243,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3876029,Y,6090.08,SC9,Yes,10506.0,UTILITY GAS,ConEd
SACK WERN,BRONX,SACK WERN,BLD 02,AMR,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8171860,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3492089,N,339.37,Trans Gen Non-Res,Exception,676.2,UTILITY GAS,ConEd
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 01,NONE,BLD 2-3,516.0,295,M051600,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8156243,2019-09,2019-07-24T00:00:00.000,2019-09-23T00:00:00.000,61,3231392,N,44.59,GS3,Yes,4.0,UTILITY GAS,ConEd
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 07,NONE,BLD 7-9,367.0,806,B036700,FEDERAL,NY005015300P,CONSOLIDATED EDISON COMPANY OF NY,8182148,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3792022,Y,3321.73,GS3,Yes,5212.0,UTILITY GAS,ConEd
HAMMEL,QUEENS,HAMMEL,BLD 08 - Community Center,NONE,,75.0,226,Q207500,FEDERAL,NY005010750P,National Grid LI,8177359,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,05235948,N,42.56,"177 Del,Com,Heat",Yes,0.0,UTILITY GAS,NatGrid LI
SACK WERN,BRONX,SACK WERN,BLD 06,AMR,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8171896,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3492113,Y,297.82,Trans Gen Non-Res,Exception,607.39,UTILITY GAS,ConEd
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BRONX,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BLD 01,NONE,,246.0,365,B024600,FEDERAL,NY005010450P,CONSOLIDATED EDISON COMPANY OF NY,8166205,2019-09,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3591930,Y,1487.68,Trans Res MultiDwell Heat,Yes,2259.5,UTILITY GAS,ConEd
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),458 ATKINS AVENUE,AMR,,283.0,376,Q028300,FEDERAL,NY005012090P,National Grid NYC,8156985,2019-09,2019-08-19T00:00:00.000,2019-09-17T00:00:00.000,29,2446216,N,40.37,T1B TRAN RES HEAT,Yes,17.0,UTILITY GAS,NatGrid NYC
OCEAN BAY APARTMENTS (BAYSIDE),QUEENS,OCEAN BAY APARTMENTS (BAYSIDE),BLD 22,NONE,BLD 1-24,98.0,571,Q009800,FEDERAL,NY005010980P,National Grid LI,8177341,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,06443748,N,579.87,"158 Del,Com,Multidwel,Heat",Yes,1108.0,UTILITY GAS,NatGrid LI
BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BLD 01,NONE,BLD 1-4,165.0,282,Q016500,FEDERAL,NY005001650P,National Grid LI,8177355,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,00759533,N,5031.72,"158 Del,Com,Multidwel,Heat",Yes,18066.0,UTILITY GAS,NatGrid LI
REDFERN,QUEENS,REDFERN,BLD 02,NONE,BLD 1-9,55.0,525,Q005500,FEDERAL,NY005000550P,National Grid LI,8177361,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,05205881,N,7801.71,"158 Del,Com,Multidwel,Heat",Yes,28618.0,UTILITY GAS,NatGrid LI
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 04,NONE,BLD 1-7,51.0,573,Q005100,FEDERAL,NY005010980P,National Grid LI,8177346,2019-09,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,04984016,N,4142.84,"158 Del,Com,Multidwel,Heat",Yes,14680.0,UTILITY GAS,NatGrid LI
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 01,Not Applicable,,366.0,801,K036600,FEDERAL,NY005013510P,DIRECT ENERGY BUSINESS (32179),8114420,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00305335001,N,287.02,,Exception,708.0,BROKERED GAS,NatGrid NYC
SAMUEL (MHOP) II,MANHATTAN,SAMUEL (MHOP) II,BLD 46,Not Applicable,,398.0,871,M039800,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186933,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416036531002,N,46.96,,Yes,116.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 44,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8072780,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3591297,N,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
SAMUEL (MHOP) III,MANHATTAN,SAMUEL (MHOP) III,BLD 47,NONE,,399.0,483,M039900,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8076483,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3329592,N,77.84,Trans Res MultiDwell Heat,Yes,63.0,UTILITY GAS,ConEd
SOUTH JAMAICA I,QUEENS,SOUTH JAMAICA II/SOUTH JAMAICA I,SOUTH JAMAICA II BLD 19,AMR,,8.0,206,Q000800,FEDERAL,NY005010080P,National Grid NYC,8107329,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,09972048-65.9%,N,9460.13,T3 TRAN MULT FAM,Yes,29039.49,UTILITY GAS,NatGrid NYC
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 05,Not Applicable,,366.0,801,K036600,FEDERAL,NY005013510P,DIRECT ENERGY BUSINESS (32179),8114415,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00304960801,N,204.73,,Yes,505.0,BROKERED GAS,NatGrid NYC
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 02,Not Applicable,,366.0,801,K036600,FEDERAL,NY005013510P,DIRECT ENERGY BUSINESS (32179),8114421,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00305341693,N,165.0,,Yes,407.0,BROKERED GAS,NatGrid NYC
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 21,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186900,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416031931009,N,69.63,,Yes,172.0,BROKERED GAS,ConEd
SACK WERN,BRONX,SACK WERN,BLD 07,NONE,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8078646,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3512701,Y,1196.6,Trans Res MultiDwell Heat,Yes,1662.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 16,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075346,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3192703,N,21.96,Trans Res MultiDwell Heat,Yes,0.0,UTILITY GAS,ConEd
