violationid,buildingid,registrationid,boroid,boro,housenumber,lowhousenumber,highhousenumber,streetname,streetcode,zip,story,block,lot,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,latitude,longitude,communityboard,councildistrict,censustract,bin,bbl,nta,apartment,certifieddate,newcertifybydate,newcorrectbydate
10000009,265980,301467,3,BROOKLYN,355,355,355,EAST 48 STREET,36930,11203,2,4674,64,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,508,4705852,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WALLS AND  CEILING  .  AT PUBLIC HALL, 2nd STORY",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2015-03-31T00:00:00.000,Original,Close,40.653217,-73.93248,17,41,870,3102071,3046740064,East Flatbush-Farragut,,,,
10000011,73852,226626,2,BRONX,1123,1123,1123,EAST TREMONT AVENUE,29620,10460,,4004,9,B,2013-10-09T00:00:00.000,2013-10-15T00:00:00.000,2013-12-04T00:00:00.000,2013-11-20T00:00:00.000,686,4708486,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.,2013-10-16T00:00:00.000,19,VIOLATION CLOSED,2015-09-15T00:00:00.000,Original,Close,40.839954,-73.876599,6,15,220,2042428,2040040009,East Tremont,,,,
10000012,80102,211704,2,BRONX,751,751,751,GERARD AVENUE,35020,10451,3,2482,30,B,2013-10-08T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,501,4706454,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE ELECTRIC OUTLET AT EAST WALL ,  IN THE KITCHEN  LOCATED AT APT 3L, 3rd STORY, 8th APARTMENT FROM NORTH AT EAST",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2014-10-17T00:00:00.000,Original,Close,40.824692,-73.926605,4,8,63,2002971,2024820030,West Concourse,3L,,,
10000014,268639,350942,3,BROOKLYN,54,54,54,EAST 52 STREET,37080,11203,Yards / Courts,4605,19,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,686,4706684,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT),2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-08-16T00:00:00.000,Original,Close,40.659731,-73.929295,17,41,878,3099672,3046050019,Prospect Lefferts Gardens-Wingate,,,,
10000017,268167,300713,3,BROOKLYN,146,146,146,EAST 52 STREET,37080,11203,Yards / Courts,4621,21,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,686,4706680,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT),2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2014-09-30T00:00:00.000,Original,Close,40.657615,-73.929067,17,41,878,3100214,3046210021,Prospect Lefferts Gardens-Wingate,,,,
10000019,268443,314037,3,BROOKLYN,197,197,197,EAST 52 STREET,37080,11203,Yards / Courts,4639,40,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,686,4706681,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT),2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-04-11T00:00:00.000,Original,Close,40.656237,-73.928899,17,41,868,3100912,3046390040,Rugby-Remsen Village,,,,
10000022,265980,301467,3,BROOKLYN,355,355,355,EAST 48 STREET,36930,11203,1,4674,64,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,502,4705852,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD  FLOORING AND VINYL TIES .  AT PUBLIC HALL, 1st STORY",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2015-03-31T00:00:00.000,Original,Close,40.653217,-73.93248,17,41,870,3102071,3046740064,East Flatbush-Farragut,,,,
10000024,97795,220733,2,BRONX,608,608,608,MORRIS PARK AVENUE,52220,10460,,4029,4,B,2013-10-09T00:00:00.000,2013-10-15T00:00:00.000,2013-12-04T00:00:00.000,2013-11-20T00:00:00.000,686,4708525,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.,2013-10-16T00:00:00.000,19,VIOLATION CLOSED,2015-08-26T00:00:00.000,Original,Close,40.844148,-73.869304,11,15,240,2042905,2040290004,Van Nest-Morris Park-Westchester Square,,,,
10000026,97799,210701,2,BRONX,619,619,619,MORRIS PARK AVENUE,52220,10460,,4011,35,B,2013-10-09T00:00:00.000,2013-10-15T00:00:00.000,2013-12-04T00:00:00.000,2013-11-20T00:00:00.000,686,4708526,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.,2013-10-16T00:00:00.000,19,VIOLATION CLOSED,2014-08-15T00:00:00.000,Original,Close,40.84435,-73.869004,11,15,220,2042501,2040110035,East Tremont,,,,
10000029,220506,325404,3,BROOKLYN,5206,5206,5206,CHURCH AVENUE,26230,11203,Yards / Courts,4700,3,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,686,4706661,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT),2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2015-11-24T00:00:00.000,Original,Close,40.652196,-73.928287,17,41,862,3102928,3047000003,Rugby-Remsen Village,,,,
10000035,265980,301467,3,BROOKLYN,355,355,355,EAST 48 STREET,36930,11203,1,4674,64,C,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-10-23T00:00:00.000,2013-10-18T00:00:00.000,526,4705853,"SECTION 27-2005, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING DOUBLE  CYLINDER  KEY OPERATED LOCK AT  BUILDING  METAL  SECURITY  DOOR .  AT PUBLIC HALL, 1st STORY",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2015-03-31T00:00:00.000,Original,Close,40.653217,-73.93248,17,41,870,3102071,3046740064,East Flatbush-Farragut,,,,
10000036,220512,331531,3,BROOKLYN,5214,5214,5214,CHURCH AVENUE,26230,11203,Yards / Courts,4700,6,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,686,4706664,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT),2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2015-03-01T00:00:00.000,Original,Close,40.652204,-73.928233,17,41,862,3102931,3047000006,Rugby-Remsen Village,,,,
10000040,95815,210942,2,BRONX,1138,1138,1138,METCALF AVENUE,50720,10472,Cellar,3747,109,C,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-10-23T00:00:00.000,2013-10-18T00:00:00.000,672,4705695,SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM BOILER ROOM DOOR LOCKED  AT CELLAR,2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2015-04-19T00:00:00.000,Original,Close,40.828402,-73.872349,9,18,68,2024076,2037470109,Soundview-Bruckner,,,,
10000050,92689,204906,2,BRONX,2280,2280,2280,LORING PLACE NORTH,47020,10468,,3225,15,B,2013-10-09T00:00:00.000,2013-10-15T00:00:00.000,2013-12-04T00:00:00.000,2013-11-20T00:00:00.000,686,4708517,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 200 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.,2013-10-16T00:00:00.000,19,VIOLATION CLOSED,2014-09-15T00:00:00.000,Original,Close,40.861277,-73.908723,7,14,255,2014918,2032250015,Kingsbridge Heights,,,,
10000058,367812,363511,3,BROOKLYN,213,213,213,SCHENECTADY AVENUE,75430,11213,Cellar,1378,12,C,2013-10-08T00:00:00.000,2013-10-10T00:00:00.000,2013-10-24T00:00:00.000,2013-10-19T00:00:00.000,672,4706795,SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM NO KEY TO BOILER ROOM  AT CELLAR,2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2017-06-26T00:00:00.000,Original,Close,40.671492,-73.933637,8,36,351,3036795,3013780012,Crown Heights North,,2013-10-24T00:00:00.000,,
11332260,28166,114068,1,MANHATTAN,67,67,69,ST NICHOLAS AVENUE,31190,10026,5,1823,56,A,2016-07-29T00:00:00.000,2016-07-29T00:00:00.000,2016-11-18T00:00:00.000,2016-11-04T00:00:00.000,502,5482713,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 5th ROOM  FROM EAST AT SOUTH LOCATED AT APT 15, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",2016-08-01T00:00:00.000,19,VIOLATION CLOSED,2018-10-05T00:00:00.000,Original,Close,40.801076,-73.952539,10,9,216,1055031,1018230056,Central Harlem South,15,,,
10000070,349658,317925,3,BROOKLYN,1509,,1509,PACIFIC STREET,68930,11213,1,1204,77,C,2013-10-08T00:00:00.000,2013-10-10T00:00:00.000,2013-10-20T00:00:00.000,2013-10-09T00:00:00.000,670,4706997,"SECTION 27-2031 ADM CODE  PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT  LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-09-22T00:00:00.000,Original,Close,40.677181,-73.940936,8,36,311,3029950,3012040077,Crown Heights North,1L,,,
10000074,116656,200683,2,BRONX,1980,1980,1980,UNIONPORT ROAD,70520,10462,4,4256,14,A,2013-07-30T00:00:00.000,2013-10-09T00:00:00.000,2014-01-27T00:00:00.000,2014-01-13T00:00:00.000,554,4705746,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RISER  FROM EAST AT SOUTH WALL IN THE BATHROOM  LOCATED AT APT A32, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''A''",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2014-11-07T00:00:00.000,Original,Close,40.850388,-73.86853,11,15,230,2047876,2042560014,Van Nest-Morris Park-Westchester Square,A32,,,
10000078,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,742,4705878,"SECTION 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES ..  IN THE KITCHEN  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2017-07-28T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000082,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,502,4705878,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE  WOOD FLOOR   IN THE KITCHEN  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2017-04-04T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000084,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,C,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-10-23T00:00:00.000,2013-10-18T00:00:00.000,526,4705879,"SECTION 27-2005, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING PADLOCK AT GATE   IN THE KITCHEN  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2017-04-04T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000085,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,521,4705878,"SECTION 27-2005, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE ..  IN THE KITCHEN  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2017-04-04T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000087,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,1503,4705878,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING   IN THE ENTIRE APARTMENT  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,9,VIOLATION DISMISSED,2017-04-04T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000088,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,702,4705878,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR  MISSING   IN THE ENTIRE APARTMENT  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,9,VIOLATION DISMISSED,2017-04-04T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000089,306728,357205,3,BROOKLYN,1351,1351,1351,HANCOCK STREET,47030,11237,3,3392,57,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,568,4705878,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 3L, 3rd STORY, APARTMENT AT  NORTH",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2017-05-17T00:00:00.000,Original,Close,40.694658,-73.908807,4,37,437,3078076,3033920057,Bushwick North,3L,,,
10000091,28098,111925,1,MANHATTAN,348,348,348,ST NICHOLAS AVENUE,31190,10027,5,1954,43,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,742,4705531,"SECTION 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES ..  IN THE ENTIRE APARTMENT  LOCATED AT APT 5N, 5th STORY, 1st APARTMENT FROM WEST AT NORTH",2013-10-10T00:00:00.000,21,NOT COMPLIED WITH,2014-10-07T00:00:00.000,Original,Open,40.812285,-73.951209,10,9,215,1059389,1019540043,Central Harlem North-Polo Grounds,5N,,,
10000071,349658,317925,3,BROOKLYN,1509,,1509,PACIFIC STREET,68930,11213,1,1204,77,C,2013-10-08T00:00:00.000,2013-10-11T00:00:00.000,2013-10-28T00:00:00.000,2013-10-23T00:00:00.000,672,4707583,"SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED BOILER ROOM  IN THE ENTIRE APARTMENT  LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2016-09-22T00:00:00.000,Original,Close,40.677181,-73.940936,8,36,311,3029950,3012040077,Crown Heights North,1L,,,
