project_id,project_name,program_group,project_start_date,project_completion_date,building_id,house_number,street_name,borough,postcode,bbl,bin,community_board,council_district,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units
68894,HP HUTCHINSON RIVER PARKWAY HDFC.HPO.FY20,Multifamily Finance Program,2019-12-31T00:00:00.000,2019-12-31T00:00:00.000,942897.0,1632,HUTCHINSON RIVER PARKWAY,Bronx,10461.0,2041530008.0,2045760.0,BX-10,13.0,26601.0,BX10,40.844284,-73.836606,40.84434,-73.836284,2019-12-31T00:00:00.000,Preservation,Yes,Non Prevailing Wage,0,0,44,0,0,0,2,12,30,0,0,0,0,0,44,0,44,44
67286,ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE),Multifamily Finance Program,2019-12-30T00:00:00.000,,986841.0,20-52,MOTT AVENUE,Queens,11691.0,4155370001.0,4458300.0,QN-14,31.0,103202.0,QN15,40.604427,-73.753203,40.60571,-73.753022,,New Construction,No,Non Prevailing Wage,24,92,114,0,0,1,19,77,102,33,0,0,0,0,231,0,231,231
67286,ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE),Multifamily Finance Program,2019-12-30T00:00:00.000,,989998.0,20-10,MOTT AVENUE,Queens,11691.0,4155370005.0,4297950.0,QN-14,31.0,103202.0,QN15,40.604334,-73.752998,40.60461,-73.75303,,New Construction,No,Non Prevailing Wage,8,34,43,0,0,0,13,22,37,13,0,0,0,0,85,0,85,85
67693,680 ST. NICHOLAS AVENUE,Multifamily Finance Program,2019-12-30T00:00:00.000,2019-12-30T00:00:00.000,28170.0,680,ST NICHOLAS AVENUE,Manhattan,10030.0,1020510054.0,1079811.0,MN-09,9.0,227.0,MN04,40.823321,-73.945088,40.82356,-73.944639,2019-12-30T00:00:00.000,Preservation,Yes,Non Prevailing Wage,49,8,2,1,0,0,11,16,32,1,0,0,0,0,60,0,60,60
67693,680 ST. NICHOLAS AVENUE,Multifamily Finance Program,2019-12-30T00:00:00.000,2019-12-30T00:00:00.000,805979.0,356,WEST 145 STREET,Manhattan,10039.0,1020510054.0,1079813.0,MN-09,9.0,227.0,MN04,40.823823,-73.944289,40.82356,-73.944639,2019-12-30T00:00:00.000,Preservation,Yes,Non Prevailing Wage,36,8,3,4,0,1,0,30,15,7,0,0,0,0,52,0,52,52
68188,WEST 141ST STREET CLUSTER.PILLARS.FY20,Multifamily Finance Program,2019-12-30T00:00:00.000,,41491.0,111,WEST 141 STREET,Manhattan,10030.0,1020100021.0,1060088.0,MN-10,9.0,230.0,MN03,40.818153,-73.938661,40.8185,-73.938939,,Preservation,No,Non Prevailing Wage,0,4,47,7,0,1,38,5,16,0,0,0,0,0,59,0,59,59
68188,WEST 141ST STREET CLUSTER.PILLARS.FY20,Multifamily Finance Program,2019-12-30T00:00:00.000,,41496.0,148,WEST 141 STREET,Manhattan,10030.0,1020090045.0,1060070.0,MN-10,9.0,230.0,MN03,40.818488,-73.939502,40.8182,-73.93942,,Preservation,No,Non Prevailing Wage,2,2,18,8,0,0,0,30,0,0,0,0,0,0,30,0,30,30
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,2019-12-27T00:00:00.000,,288856.0,750,ELDERT LANE,Brooklyn,11208.0,3042719001.0,3343249.0,BK-05,42.0,1208.0,BK82,40.671982,-73.863456,,,,Preservation,No,Non Prevailing Wage,0,25,7,0,0,0,1,0,24,7,0,0,0,0,32,0,32,32
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,2019-12-27T00:00:00.000,,288857.0,760,ELDERT LANE,Brooklyn,11208.0,3042719001.0,3343250.0,BK-05,42.0,1208.0,BK82,40.671675,-73.863381,,,,Preservation,No,Non Prevailing Wage,0,46,248,0,0,0,32,115,97,50,0,0,0,0,294,0,294,294
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,2019-12-27T00:00:00.000,,326066.0,675,LINCOLN AVENUE,Brooklyn,11208.0,3042710005.0,3095889.0,BK-05,42.0,1208.0,BK82,40.672675,-73.866436,40.67288,-73.865945,,Preservation,No,Non Prevailing Wage,3,50,265,0,0,1,35,124,107,53,0,0,0,0,319,0,319,319
