project_id,project_name,project_start_date,project_completion_date,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income,low_income_units,moderate_income,middle_income,other,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,senior_units,planned_tax_benefit
68894,HP HUTCHINSON RIVER PARKWAY HDFC.HPO.FY20,2019-12-31T00:00:00.000,2019-12-31T00:00:00.000,Yes,Non Prevailing Wage,0,0,44,0,0,0,44,0,44,44,1,
67286,ROCKAWAY VILLAGE PHASE 1B (RITA STARK SITE),2019-12-30T00:00:00.000,,No,Non Prevailing Wage,32,126,157,0,0,1,316,0,316,316,0,
67693,680 ST. NICHOLAS AVENUE,2019-12-30T00:00:00.000,2019-12-30T00:00:00.000,Yes,Non Prevailing Wage,85,16,5,5,0,1,112,0,112,112,0,
68188,WEST 141ST STREET CLUSTER.PILLARS.FY20,2019-12-30T00:00:00.000,,No,Non Prevailing Wage,2,6,65,15,0,1,89,0,89,89,0,
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,2019-12-27T00:00:00.000,,No,Non Prevailing Wage,6,228,1291,0,0,2,1527,0,1527,1527,0,
69399,179 NORTH 7TH STREET APARTMENTS,2019-12-27T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,9,0,
66720,J2,2019-12-24T00:00:00.000,,No,Non Prevailing Wage,53,163,0,190,0,2,408,0,408,543,0,
69397,254 EAST 28TH STREET,2019-12-24T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
69398,FENIMORE STREET APARTMENTS,2019-12-24T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,22,0,
69355,GOODWILL TERRACE,2019-12-23T00:00:00.000,,No,Non Prevailing Wage,0,0,0,201,0,1,202,0,202,202,0,
69395,114 JEFFERSON STREET,2019-12-23T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,
69396,HALSEY STREET APARTMENTS,2019-12-23T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,20,0,
51582,425 GRAND CONCOURSE,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,56,55,96,69,0,1,277,0,277,277,0,
58780,DINSMORE CHESTNUT,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,104,115,55,0,0,1,275,0,275,275,0,
64232,RADROC,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,25,101,126,0,0,1,253,0,253,253,0,
66102,1613 REALTY LTD.GHPP.FY20,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,1,9,21,0,0,1,32,0,32,32,0,
66970,HUNTERS POINT SOUTH PARCELS F AND G,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,170,111,57,227,282,2,849,0,849,1132,98,
67367,BEACH 21ST STREET,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,23,88,112,0,0,1,224,0,224,224,0,
68080,980 WESTCHESTER AVE.,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,51,40,59,0,0,1,151,0,151,151,0,
69339,CONFIDENTIAL,2019-12-20T00:00:00.000,2019-12-20T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69392,1266 OCEAN PARKWAY APARTMENTS,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
69393,1266 PACIFIC STREET APARTMENTS,2019-12-20T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
49713,SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA,2019-12-19T00:00:00.000,,No,Non Prevailing Wage,57,0,37,0,0,1,95,0,95,95,0,
65563,LES 278 HDFC.PLP.FY20 (278 EAST 7 STREET),2019-12-19T00:00:00.000,,No,Non Prevailing Wage,1,14,2,0,0,0,0,17,17,17,0,
68157,GREENPOINT LANDING D2,2019-12-19T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,83,0,83,0,83,302,0,
68158,GREENPOINT LANDING D3,2019-12-19T00:00:00.000,,No,Non Prevailing Wage,0,0,76,0,32,0,108,0,108,108,0,
69394,103-43 120TH STREET APARTMENTS,2019-12-19T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,2019-12-18T00:00:00.000,,No,Non Prevailing Wage,0,0,10,0,11,0,11,10,21,21,0,
65306,MARCUS GARVEY PHASE I-BUILDING B + D,2019-12-18T00:00:00.000,,No,Non Prevailing Wage,10,76,87,0,0,0,173,0,173,174,0,
67130,COMMUNITY ACCESS. 1159 RIVER AVENUE,2019-12-18T00:00:00.000,,No,Non Prevailing Wage,148,0,96,0,0,1,245,0,245,245,0,
68210,COMUNILIFE. 3395-3401 THIRD AVENUE,2019-12-18T00:00:00.000,,No,Non Prevailing Wage,90,29,28,0,0,1,148,0,148,148,29,
69184,MARCUS GARVEY PHASE I- BUILDING F,2019-12-18T00:00:00.000,,No,Non Prevailing Wage,9,80,84,0,0,0,173,0,173,174,0,
69338,CONFIDENTIAL,2019-12-17T00:00:00.000,2019-12-17T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69391,753 ELTON AVENUE APARTMENTS,2019-12-17T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,
65582,4697 THIRD AVENUE,2019-12-12T00:00:00.000,,No,Non Prevailing Wage,12,12,28,0,0,1,53,0,53,53,0,
68542,CHATTERTON.HRP.FY20,2019-12-12T00:00:00.000,,No,Non Prevailing Wage,6,126,0,0,0,1,0,133,133,133,0,
68267,SUNSET GARDENS HDFC.HUDMF,2019-12-11T00:00:00.000,2019-12-11T00:00:00.000,Yes,Non Prevailing Wage,80,1,0,0,0,0,81,0,81,81,80,
69390,177-14 WEXFORD TERRACE,2019-12-11T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,12,0,12,0,12,39,0,
69389,1613 BROOKLYN AVENUE APARTMENTS,2019-12-10T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,11,0,11,0,11,35,0,
68526,PLAZA APARTMENTS,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,Yes,Non Prevailing Wage,58,8,6,3,0,1,76,0,76,76,16,
