generating_project_id,floor_area_generated,generating_building_id
23221,14620.0,578
23186,8743.0,715
23200,19700.0,1090
23269,53204.0,1101
23263,22626.1,1105
23226,34773.0,2231
51918,75656.0,2325
23243,10291.0,3310
55593,3849.0,4501
8109,17327.53,5171
23275,14632.0,9854
62045,16794.28,10442
48543,31223.19,10700
53551,12117.0,11564
65541,98820.0,12002
23265,18019.4,12044
23195,17640.0,12607
58945,184939.0,12812
23216,12030.81,12903
48535,168706.0,12907
53518,66216.49,13694
23223,56901.5,14827
23211,14304.0,16394
23273,8622.0,17748
61021,22966.0,18219
23220,15377.0,18687
28969,28172.65,21867
54494,24563.39,31902
64796,112097.0,32960
23237,19916.0,34480
67134,49380.0,34782
23267,22570.4,37470
23204,10071.0,37530
23262,42341.0,37664
7215,5170.0,146010
53483,15823.0,292318
37648,8579.11,301957
31622,42021.27,313517
37649,10917.3,314904
64037,4347.2,340323
33638,5772.0,340387
61655,17880.04,363424
67723,3750.0,368730
61802,23285.4,372078
33540,29196.72,372538
33522,24013.3,372565
31636,20866.0,382917
28681,31778.0,808434
67723,11976.0,810123
67723,10008.0,810124
67723,10038.0,810125
67723,11976.0,810143
43566,7096.5,812676
23234,27746.19,812678
58667,24777.0,822620
23217,10832.97,824086
23196,9830.0,824656
23182,2514.05,825972
23198,40932.0,829977
23232,18531.08,834569
54807,10061.21,836062
64376,58090.7,847142
23238,10320.0,853383
24035,11317.0,855180
23222,8400.0,863075
7805,82837.0,870229
7806,26373.0,871831
27756,28231.0,872747
7989,75551.0,873649
23202,6300.0,875696
24032,92508.0,876221
30473,40662.21,876325
24033,45920.0,877756
29593,74499.0,878402
26994,36314.0,881603
26249,22501.0,882154
30801,102555.0,882537
25126,22626.0,883823
26937,53193.0,883824
31318,19521.0,883936
31848,163494.0,884830
28580,38107.0,885833
26525,23909.0,886367
33568,138595.0,887693
33792,33662.95,887965
27154,120224.0,889579
27804,11155.0,890509
28109,31464.0,891792
38517,35209.0,892604
29660,63091.0,895812
44507,59640.13,900252
30825,52992.0,901403
30825,101424.0,905166
33680,114450.1,906562
30303,11401.0,906574
28606,951.0,907917
29083,197290.0,913517
29480,64486.0,914056
29083,79584.0,925159
53334,119053.0,926996
52272,40667.0,927008
52287,165261.89,927015
63761,106192.0,927041
52053,62959.28,927213
44324,103509.0,927213
32109,12553.0,928419
44807,16135.43,930774
23218,3941.0,932427
46063,77470.0,933500
45078,32128.0,933500
37739,6967.85,934313
44365,12171.0,937290
47477,18889.0,939251
48068,38113.0,939350
48086,13340.0,939397
48555,37777.0,940434
48579,22312.0,940495
46262,4780.0,941223
