,project_id,project_name,administering_agent,project_status,total_ih_floor_area,transferred_ih_floor_area,remaining_ih_floor_area
0,7215,FIFTH AVENUE,Not Available,In-Construction,5170.0,5170.0,0.0
1,7805,521 WEST 42ND STREET,Not Available,Completed,82837.0,82837.0,0.0
2,7806,417 AND 438 EAST 76TH STREET,Not Available,Completed,26373.0,24132.25,2240.75
3,7989,33 WEST END AVENUE,Not Available,Completed,75551.0,37443.0,38108.0
4,8109,501 WEST 51ST STREET,Not Available,Completed,17327.53,14233.0,3094.53
5,23182,10 E 29 ST,Not Available,Completed,2514.05,2514.05,0.0
6,23186,1034 SECOND AVE,Not Available,Completed,8743.0,8743.0,0.0
7,23195,141 E 23 ST,Not Available,Completed,17640.0,17486.75,153.25
8,23196,160 E 100 S,Not Available,Completed,9830.0,9830.0,0.0
9,23198,171 LEXGTN A,Not Available,Completed,40932.0,0.0,0.0
10,23200,1831 2 AVE,Not Available,Completed,19700.0,19700.0,0.0
11,23202,202 WEST 108 ST,Not Available,Completed,6300.0,1227.0,5073.0
12,23204,211 W 105 ST,Not Available,Completed,10071.0,10071.0,0.0
13,23211,246 E 77 S,Not Available,Completed,14304.0,0.0,0.0
14,23216,28 E 29 ST,Not Available,Completed,12030.81,12013.51,17.3
15,23217,300 E 39 S (MN),Not Available,Completed,10832.97,10650.0,182.97
16,23218,306-8 E 38 S,Not Available,Completed,3941.0,3941.0,0.0
17,23220,334 EAST 96 ST,Not Available,Completed,15377.0,1753.78,13623.22
18,23221,346-8 E 21 ST,Not Available,Completed,14620.0,0.0,0.0
19,23222,351 E 54 S,Not Available,Completed,8400.0,7775.5,624.5
20,23223,351 E 61 S_RPT1,Not Available,Completed,56901.5,9841.0,47060.5
21,23226,400 THIRD AVE,Not Available,Completed,34773.0,11265.75,23507.25
22,23232,501 W 41 S^-,Not Available,Completed,18531.08,18531.08,0.0
23,23234,501 W 52 S,Not Available,Completed,27746.19,0.0,0.0
24,23237,5-15 W 63 S,Not Available,Completed,19916.0,16997.57,2918.43
25,23238,58 W 109 ST,Not Available,Completed,10320.0,0.0,0.0
26,23243,800 AVE OF AMER,Not Available,Completed,10291.0,10291.0,0.0
27,23262,171 West 107th Street,Not Available,Completed,42341.0,42341.0,0.0
28,23263,1865 Second Avenue,Not Available,Completed,22626.1,22619.75,6.35
29,23265,235 East 14th Street- Blum Apts,Not Available,Completed,18019.4,18019.4,0.0
30,23267,123-131 West 104th Street- Grace Church,Not Available,Completed,22570.4,22570.4,0.0
31,23269,1850 Second Avenue,Not Available,Completed,53204.0,33438.94,19765.06
32,23273,206 East 87th Street,Not Available,Completed,8622.0,8622.0,0.0
33,23275,965 Columbus Avenue,Not Available,Completed,14632.0,14632.0,0.0
34,24032,1 EAST 35 STREET,Not Available,Completed,92508.0,90385.25,2122.75
35,24033,1115 FIRST AVENUE,Not Available,Completed,45920.0,45920.0,0.0
36,24035,231 EAST 77 STREET,Not Available,Completed,11317.0,11317.0,0.0
37,25126,334 EAST 92ND STREET,Not Available,Completed,22626.0,22626.0,0.0
38,26249,321 EAST 21 STREET,Not Available,Completed,22501.0,22501.0,0.0
39,26525,89-91 CARLTON AVE,Not Available,Completed,23909.0,23909.0,0.0
40,26937,385 THIRD AVENUE,Not Available,Completed,53193.0,52943.75,249.25
41,26994,250 EAST 60TH STREET,Not Available,Completed,36314.0,36134.0,180.0
42,27154,20 N 5TH STREET,Not Available,Completed,120224.0,120224.0,0.0
43,27756,ROOSEVELT ISLAND RELATED,Not Available,Completed,28231.0,28231.0,0.0
44,27804,1330 FIRST AVENUE,Not Available,Completed,11155.0,11155.0,0.0
45,28109,210 WEST 102ND ST SETTLEMENT,Not Available,Completed,31464.0,19644.0,11820.0
46,28580,QUINCY 15,Not Available,Completed,38107.0,38107.0,0.0
47,28606,96 ROCKWELL,Not Available,Completed,951.0,951.0,0.0
48,28681,157 GRAHAM AVE,Not Available,Completed,31778.0,28903.0,2875.0
49,28969,110 FULTON STREET,Not Available,Completed,28172.65,28172.65,0.0
50,29083,WILLIAMSBURG EDGE,Not Available,Completed,276874.0,221499.0,55375.0
51,29480,316 11TH AVENUE,Not Available,Completed,64486.0,64486.0,0.0
52,29593,RIVER PLACE II (A),Not Available,Completed,74499.0,74499.0,0.0
53,29660,455 WEST 37TH STREET,Not Available,Completed,63091.0,63091.0,0.0
54,30303,"332 EAST 22ND STREET, MANHATTAN",Not Available,Completed,11401.0,11401.0,0.0
55,30473,CALADONIA,Not Available,Completed,40662.21,40662.21,0.0
56,30801,440 WEST 42ND STREET,Not Available,Completed,102555.0,95114.37,7440.63
57,30825,COOK STREET APARTMENTS,Not Available,Completed,154416.0,154416.0,0.0
58,31318,228 EAST 46TH STREET,Not Available,Completed,19521.0,19460.5,60.5
59,31622,HOOPER STREET,Not Available,Completed,42021.27,42021.27,0.0
60,31636,UNION COURT,Not Available,Completed,20866.0,20866.0,0.0
61,31848,RIVER PLACE II,Not Available,Completed,163494.0,86164.0,77330.0
62,32109,303 TENTH AVENUE,Not Available,Completed,12553.0,12553.0,0.0
63,33522,176 SOUTH 8TH STREET,Not Available,Completed,24013.3,24013.3,0.0
64,33540,101-105 SOUTH EIGHTH STREET,Not Available,Completed,29196.72,29196.72,0.0
65,33568,505 WEST 37TH STREET,Not Available,Completed,138595.0,138595.0,0.0
66,33638,586A MORGAN AVENUE,Not Available,Completed,5772.0,5772.0,0.0
67,33680,320 WEST 38TH STREET,Not Available,Completed,114450.1,114450.1,0.0
