no,applicant_name,address,zip_code,emp,total,savings_annual,investment,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
1,The Dime Savings Bank of Williamsburg,"300 Cadman Plaza West, Brooklyn, NY",11201,151,,7354.0,,BROOKLYN,40.695198,-73.99086899999999,302.0,33.0,502.0,3001937.0,3002390001.0,Brooklyn Heights-Cobble Hill
2,VaynerMedia LLC,"21-09 Borden Avenue, Queens, NY",11101,100,,11462.0,,QUEENS,40.740383,-73.949562,402.0,26.0,1.0,4000531.0,4000690004.0,Hunters Point-Sunnyside-West Maspeth
3,"Wild Edibles, Inc.","740 Barry Street, Bronx, NY",10474,28,279.0,16293.0,"$1,343,000.00",BRONX,40.812618,-73.894712,202.0,17.0,93.0,2005902.0,2027360115.0,Hunts Point
4,"North Brooklyn Industrial Center aka Evergreen, Inc. @ 164 Cook Street","164 Cook Street, Brooklyn, NY",11206,0,,,"$230,237.00",BROOKLYN,40.70288,-73.93640500000001,301.0,34.0,485.0,3071626.0,3031230015.0,Bushwick South
5,Allison Eden Studios (164) Tenant in SEP,"164 Cook Street, Brooklyn, NY",11206,6,,1221.0,,BROOKLYN,40.70288,-73.93640500000001,301.0,34.0,485.0,3071626.0,3031230015.0,Bushwick South
6,Treasure Asset StorageLLC,"122 West 146th St., New York, NY",10039,4,,,"$938,321.00",MANHATTAN,40.821456,-73.936588,110.0,9.0,232.0,1000000.0,1020140045.0,Central Harlem North-Polo Grounds
7,"J&B Realty, LLC  dba Gallant & Wein Corp.","11-20 43rd Road, Queens, NY",11101,30,40.0,17843.0,"$133,046.00",QUEENS,40.750848,-73.948587,402.0,26.0,19.0,4005214.0,4004450001.0,Hunters Point-Sunnyside-West Maspeth
8,"Kickstarter, Inc.","58 Kent Street, Brooklyn, NY",1222,123,,16013.0,"$4,275,000.00",,,,,,,,,
9,"Evergreen, Inc. (162)","162 Cook Street, Brookyn, NY",11206,0,,,"$230,237.00",BROOKLYN,40.702869,-73.93646600000001,301.0,34.0,485.0,3071625.0,3031230014.0,Bushwick South
10,Wood Works (162),"162 Cook Street, Brookyn, NY",11206,2,,615.0,,BROOKLYN,40.702869,-73.93646600000001,301.0,34.0,485.0,3071625.0,3031230014.0,Bushwick South
11,Rufus Corporation,"1545 Dean Street, Brooklyn, NY",11213,2,,1144.0,"$150,000.00",BROOKLYN,40.676173999999996,-73.93681600000001,308.0,36.0,311.0,3035656.0,3013400051.0,Crown Heights North
12,Threefold Holding LLC,"209 Third Avenue, Brooklyn, NY",11217,6,133.0,4992.0,"$42,655.00",BROOKLYN,40.679704,-73.98449699999999,306.0,33.0,119.0,3006987.0,3004270010.0,Park Slope-Gowanus
13,"Global Container Terminal New York, LP","300 Western Avenue, State Island, NY",10303,292,,308631.0,"$13,203,502.00",STATEN IS,40.633645,-74.182637,501.0,49.0,323.0,5000000.0,5014100250.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville
14,"Evergreen, Inc. (158)","158 Cook Street, Brooklyn, NY",11206,0,292.0,,"$460,475.00",BROOKLYN,40.702845,-73.936589,301.0,34.0,485.0,3071624.0,3031230012.0,Bushwick South
15,NR Wood (158),"158 Cook Street, Brooklyn, NY",11206,6,,2113.0,,BROOKLYN,40.702845,-73.936589,301.0,34.0,485.0,3071624.0,3031230012.0,Bushwick South
16,Charles H Greenthal Management Corp.,"30-30 Northern Blvd, Suite 400, Queens, NY",11101,91,,6104.0,,QUEENS,40.751201,-73.934402,401.0,26.0,171.0,4003411.0,4002390060.0,Hunters Point-Sunnyside-West Maspeth
17,Brooklyn Wholesale Bakery LLC,"828 /east 144th Street, Queens, NY",11378,252,,12184.0,,,,,,,,,,
18,"New Palace Painters Supply Co., Inc.","528-540 E 180th Street, Bronx, NY",10457,15,364.0,3342.0,"$995,000.00",BRONX,40.850637,-73.89394,206.0,15.0,37504.0,,,East Tremont
19,"Presentation Products, Inc.","30-02 48th Avenue, Queens, NY",11101,25,,4395.0,,QUEENS,40.741426000000004,-73.937833,402.0,26.0,199.0,4003546.0,4002870011.0,Hunters Point-Sunnyside-West Maspeth
20,"Harry Brainum, Jr., Inc.","360 McGuinness Blvd. Brooklyn, NY",11364,21,,6522.0,"$168,000.00",,,,,,,,,
21,"Klienberg Electric, Inc.","850 Third Avenue, Brooklyn, Ny",11232,93,,4570.0,,BROOKLYN,40.658518,-74.003327,307.0,38.0,18.0,3009889.0,3006710001.0,Sunset Park West
