applicant_name,address,zip_code,emp,investment,savings_annual,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
"Computer Services Group, Inc.","37-24 24th Street, Suite 340, Queens, NY",10018,21,,"$2,994.22 ",,,,,,,,,
"Gotham Greens Gowanus, LLC","184-60 Jamaica Avenue, Queens, NY",11423,33,"$3,357,824.00 ","$54,545.00 ",QUEENS   ,40.709522,-73.774514,12.0,27.0,444.0,4220567.0,4103520089.0,Jamaica                                                                    
New York Fragrance,"600 Gulf Avenue, Staten Island",10314,7,"$2,215,900.00 ", TBD ,STATEN IS,40.614257,-74.179839,2.0,50.0,29102.0,5000000.0,5017600115.0,New Springville-Bloomfield-Travis                                          
"Chelsea Craft Brewing Co., Inc.","463 E. 173rd Street, Bronx, NY",10457,10,"$1,620,000.00 ","$4,848.00 ",BRONX    ,40.841778000000005,-73.901638,3.0,15.0,165.0,2124550.0,2029060093.0,Claremont-Bathgate                                                         
"S & L Aerospace Metals, LLC","120-12 28th Avenue, Queens, NY",11354,87,"$827,511.00 ","$27,471.00 ",QUEENS   ,40.773145,-73.84764799999999,7.0,19.0,907.0,4100711.0,4043170041.0,College Point                                                              
"Silvercup Studios Associates, LP","295 Locust Avenue, Bronx, NY",10454,47,"$17,543,167.00 ","$50,325.00 ",BRONX    ,40.80323,-73.90620200000001,1.0,17.0,19.0,2004039.0,2025980046.0,Mott Haven-Port Morris                                                     
Tectonic Engineering & Surveying,"118-35 Queens Blvd., Queens, NY",11375,76,,"$6,075.00 ",QUEENS   ,40.71513,-73.830545,6.0,29.0,75701.0,4052811.0,4022700041.0,Forest Hills                                                               
Daniel Scuderi,"4715 Barnett Avenue, Queens, NY",11101,5,,"$2,180.00 ",QUEENS   ,40.750033,-73.915867,2.0,26.0,171.0,4001325.0,4001420227.0,Hunters Point-Sunnyside-West Maspeth                                       
"IRX Therapeutics, Inc.","140 58th Street, Blgd.A, Unit 8D, Brooklyn, NY",11220,24,,"$17,500.00 ",BROOKLYN ,40.645338,-74.022864,7.0,38.0,18.0,3257058.0,3057780001.0,Sunset Park West                                                           
"Arista Coffee, Inc.","59-01 55th Street, Queens, NY",11378,40,"$278,070.00 ","$5,437.00 ",QUEENS   ,40.716759,-73.913146,5.0,30.0,535.0,4059082.0,4026300001.0,Maspeth                                                                    
