row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
659,Religious powder,Gulal powder,Lead,10.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-12-03T00:00:00.000,No
1316,Dietary Supplement/Medications/Remedy,Brahmi Bati (Ayurvedic),Mercury,2.7,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
1374,Dietary Supplement/Medications/Remedy,Chitrakadi Bati (Yavachar & Hing) (Ayurvedic),Mercury,3.1,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,2015-02-25T00:00:00.000,No
1188,Food-Candy,Duvalin candy,Lead,0.5,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2014-08-21T00:00:00.000,No
274,Dietary Supplement/Medications/Remedy,Ovarin (Ayurvedic),Arsenic,5.2,ppm,Ban Labs Ltd.,INDIA,2011-08-25T00:00:00.000,No
307,Food-Spice,Red Chili Powder,Lead,3.7,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-10-18T00:00:00.000,No
1193,Food-Spice,Unlabeled spice - brown seeds,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-08-22T00:00:00.000,No
1365,Dietary Supplement/Medications/Remedy,Sariwadi Bati (Ayurvedic),Mercury,120.0,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,2015-02-25T00:00:00.000,No
860,Other,Cardboard,Lead,3.8,ppm,General Mills,UNKNOWN OR NOT STATED,2013-07-19T00:00:00.000,No
643,Religious powder,Sindoor,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-11-21T00:00:00.000,No
691,Jewelry,Earring,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-12-20T00:00:00.000,No
1486,Tableware/Pottery,Kansa Bowl and Spoon Set,Lead,9.9,MG/CM^2,UNKNOWN OR NOT STATED,INDIA,2015-04-16T00:00:00.000,No
670,Dietary Supplement/Medications/Remedy,Abhrak Bhasma (Ayurvedic),Lead,81.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2012-12-03T00:00:00.000,No
1185,Food-Spice,Saffron,Lead,1.2,ppm,Ltd 'Tiemti',GEORGIA,2014-08-14T00:00:00.000,No
116,Food Other,Ambroxol Hydrochloride BP,Lead,-1.0,ppm,Square Pharmacuetical,BANGLADESH,2011-04-18T00:00:00.000,No
414,Food-Spice,Cumin,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-04-05T00:00:00.000,No
585,Food Other,Baby tea,Lead,-1.0,ppm,GL for Nuki Infant,ISRAEL,2012-09-07T00:00:00.000,No
1436,Food-Spice,Coriander,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-03-03T00:00:00.000,No
1090,Cosmetics,Dermaline Skin Lighting Cream,Mercury,-1.0,ppm,"Leivon Cosmetics,Inc Division",DOMINICAN REPUBLIC,2014-04-01T00:00:00.000,No
595,Food-Spice,Tunisian spice mixture,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,TUNISIA,2012-09-12T00:00:00.000,No
1307,Dietary Supplement/Medications/Remedy,Rajahpravartini Bati (Ayurvedic),Lead,35.0,ppm,Shree Baidyanath Ayurved Bahwan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
565,Food Other,Luxury tea,Lead,0.74,ppm,Chai Bora Limited,TANZANIA - UNITED REPUBLIC OF,2012-08-20T00:00:00.000,No
1173,Cosmetics,Yoko Whitening Cream,Lead,-1.0,ppm,Siam Yoko Ltd,THAILAND,2014-08-06T00:00:00.000,No
136,Food Other,Cordyceps,Lead,-1.0,ppm,Yiyuan,UNKNOWN OR NOT STATED,2011-04-26T00:00:00.000,No
1377,Dietary Supplement/Medications/Remedy,Chandraprabha Bati (Loha & Shilajeet) (Ayurvedic),Arsenic,5.1,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,2015-02-25T00:00:00.000,No
1347,Religious powder,Kumkuman,Lead,2.5,ppm,Y.V.S.,INDIA,2015-02-25T00:00:00.000,No
202,Food-Spice,Chili powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-06-02T00:00:00.000,No
1016,Toys/Children's Products,2006  Ford Mustang  Toy car,Lead,-1.0,ppm,Kinsmart,CHINA,2013-12-27T00:00:00.000,No
114,Food-Spice,Chili powder,Lead,-1.0,ppm,Radhuni,BANGLADESH,2011-04-18T00:00:00.000,No
360,Dietary Supplement/Medications/Remedy,Laxmana Louh (Ayurvedic),Mercury,120.0,ppm,Vyas Pharmaceuticals,INDIA,2012-01-23T00:00:00.000,No
364,Dietary Supplement/Medications/Remedy,Ovarin (Ayurvedic),Arsenic,100.0,ppm,Ban Labs Ltd.,INDIA,2012-01-23T00:00:00.000,No
853,Dietary Supplement/Medications/Remedy,Dhanwanthari Gulika (Ayurvedic),Mercury,15.0,ppm,Ashtavaidyan Thaikkattu Mooss Vaidyaratnam Oushad,INDIA,2013-07-17T00:00:00.000,No
511,Food-Spice,Georgian spice,Lead,11.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2012-06-15T00:00:00.000,No
6,Food-Candy,Lucas Muecas candy,Lead,-1.0,ppm,Lucas Muecas,MEXICO,2011-01-06T00:00:00.000,No
770,Food-Spice,Asafoetida (Hing),Lead,1.7,ppm,UNKNOWN OR NOT STATED,INDIA,2013-03-29T00:00:00.000,No
1214,Toys/Children's Products,Painted metal car,Lead,0.81,ppm,Mattel,THAILAND,2014-09-11T00:00:00.000,No
444,Food-Candy,CarlosV candy bar,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2012-04-30T00:00:00.000,No
493,Dietary Supplement/Medications/Remedy,Ras Raj Gutica (Ayurvedic),Lead,8.4,ppm,UNKNOWN OR NOT STATED,INDIA,2012-06-07T00:00:00.000,No
1445,Cosmetics,Kajal,Lead,5.8,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-03-16T00:00:00.000,No
395,Food-Spice,Orange powder,Lead,9.8,ppm,UNKNOWN OR NOT STATED,GEORGIA,2012-03-09T00:00:00.000,No
598,Dietary Supplement/Medications/Remedy,Unlabeled powder (Ayurvedic),Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-09-20T00:00:00.000,No
830,Food-Spice,Turmeric powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2013-06-27T00:00:00.000,No
814,Food-Spice,Orange powder,Lead,0.98,ppm,UNKNOWN OR NOT STATED,TOGO,2013-06-17T00:00:00.000,No
330,Food Other,Breakfast cereal,Lead,0.72,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-12-05T00:00:00.000,No
1598,Food-Spice,Chili powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2015-12-11T00:00:00.000,No
224,Religious powder,Incense stick,Lead,14.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-06-13T00:00:00.000,No
1503,Jewelry,Hand Bracelet,Lead,17.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2015-06-10T00:00:00.000,No
21,Food Other,Cheetos Crunchy,Lead,-1.0,ppm,Frito Lays,DOMINICAN REPUBLIC,2011-02-07T00:00:00.000,No
245,Food-Spice,Chili powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2011-07-14T00:00:00.000,No
436,Toys/Children's Products,Wooden block,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BRAZIL,2012-04-23T00:00:00.000,No
282,Food-Spice,Spice,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UZBEKISTAN,2011-08-26T00:00:00.000,No
725,Food-Spice,Xarcho,Lead,1.1,ppm,UNKNOWN OR NOT STATED,GEORGIA,2013-02-21T00:00:00.000,No
