family_size,income_more_than,income_less_than,hhc_options_reduced_fee_level
1,0,16335.0,1
2,0,22065.0,1
3,0,27795.0,1
4,0,33525.0,1
5,0,39255.0,1
6,0,44985.0,1
7,0,50715.0,1
1,16336,21780.0,2
2,22066,29420.0,2
3,27796,37060.0,2
4,33526,44700.0,2
5,39256,52340.0,2
6,44986,59980.0,2
7,50716,67620.0,2
1,21781,27225.0,3
2,29421,36775.0,3
3,37061,46325.0,3
4,44701,55875.0,3
5,52341,65425.0,3
6,59981,74975.0,3
7,67621,84525.0,3
1,27226,32670.0,4
2,36776,44130.0,4
3,46326,55590.0,4
4,55876,67050.0,4
5,65426,78510.0,4
6,74976,89970.0,4
7,84526,101430.0,4
1,32671,38115.0,5
2,44131,51485.0,5
3,55591,64855.0,5
4,67051,78225.0,5
5,78511,91595.0,5
6,89971,104965.0,5
7,101431,118335.0,5
1,38116,43560.0,6
2,51486,58840.0,6
3,64856,74120.0,6
4,78226,89400.0,6
5,91596,104680.0,6
6,104966,119960.0,6
7,118336,135240.0,6
1,43561,,7
2,58841,,7
3,74121,,7
4,89401,,7
5,104681,,7
6,119961,,7
7,135241,,7
