service,hhc_options_reduced_fee_level,fee
Clinic or emergency room visit for adults,1,15.0
Clinic or emergency room visit for adults,2,20.0
Clinic or emergency room visit for adults,3,30.0
Clinic or emergency room visit for adults,4,40.0
Clinic or emergency room visit for adults,5,50.0
Clinic or emergency room visit for adults,6,60.0
Clinic or emergency room visit for adults,7,
Clinic or emergency room visit for children or pregnant women,1,0.0
Clinic or emergency room visit for children or pregnant women,2,0.0
Clinic or emergency room visit for children or pregnant women,3,0.0
Clinic or emergency room visit for children or pregnant women,4,15.0
Clinic or emergency room visit for children or pregnant women,5,20.0
Clinic or emergency room visit for children or pregnant women,6,30.0
Clinic or emergency room visit for children or pregnant women,7,
Patient co-pays and deductibles,1,0.0
Patient co-pays and deductibles,2,0.0
Patient co-pays and deductibles,3,10.0
Patient co-pays and deductibles,4,12.0
Patient co-pays and deductibles,5,15.0
Patient co-pays and deductibles,6,18.0
Patient co-pays and deductibles,7,
Prescription Drugs or Pharmacy co-pays per prescription,1,2.0
Prescription Drugs or Pharmacy co-pays per prescription,2,6.0
Prescription Drugs or Pharmacy co-pays per prescription,3,10.0
Prescription Drugs or Pharmacy co-pays per prescription,4,14.0
Prescription Drugs or Pharmacy co-pays per prescription,5,18.0
Prescription Drugs or Pharmacy co-pays per prescription,6,22.0
Prescription Drugs or Pharmacy co-pays per prescription,7,
Ambulatory Surgery and MRI testing for adults and children,1,150.0
Ambulatory Surgery and MRI testing for adults and children,2,250.0
Ambulatory Surgery and MRI testing for adults and children,3,350.0
Ambulatory Surgery and MRI testing for adults and children,4,450.0
Ambulatory Surgery and MRI testing for adults and children,5,550.0
Ambulatory Surgery and MRI testing for adults and children,6,650.0
Ambulatory Surgery and MRI testing for adults and children,7,
"Hospital Stays, if your savings are less than $8,000.",1,150.0
"Hospital Stays, if your savings are less than $8,000.",2,300.0
"Hospital Stays, if your savings are less than $8,000.",3,800.0
"Hospital Stays, if your savings are less than $8,000.",4,1800.0
"Hospital Stays, if your savings are less than $8,000.",5,3000.0
"Hospital Stays, if your savings are less than $8,000.",6,5000.0
"Hospital Stays, if your savings are less than $8,000.",7,
