borough,block,lot,bin,agency,building,rating,current_source_energy_intensity_kbtu_sq_ft,current_total_ghg_emissions_mtco2e,rating_2,source_energy_intensity_kbtu_sq_ft,total_ghg_emissions_mtco2e,address,city,state,zip,gross_sq_ft,year_built,epapmbenchmarkedas,campus_name
2,2383,12,2001505,1332 Fulton Ave D C C Inc,ACS, N/A , 180.6 ,4.9,,155.9,4.3,, 157.7 ,4.3,,164.8,4.5,Individual building,
1,93,1,1062652,ACS Administrative Site,ACS, 57 , 239.0 ,6.2,55,242.1,6.3,59, 228.3 ,5.9,64.0,217.9,5.6,Individual building,
3,4484,13,3098733,ACS Administrative Site,ACS, 16 , 286.6 ,8.6,19,268.3,7.9,20, 258.6 ,7.6,24.0,252.1,7.5,Space within building,
2,4101,1,2044743,ACS Bronx Field Office,ACS, 7 , 316.2 ,8.9,14,269.6,7.2,12, 273.0 ,7.4,12.0,282.8,7.9,Individual building,
3,2022,18,3057913,Administration Site,ACS, 21 , 313.6 ,9.8,31,272.4,8.4,35, 257.9 ,7.5,37.0,256.1,7.6,Individual building,
3,1230,44,3031082,Albany Day Care and Senior Center,ACS, N/A , 137.8 ,4.0,,143.0,4.1,, 131.5 ,3.7,,158.6,4.5,Individual building,
3,1420,51,3038317,All My Children Daycare and Nursery School,ACS, N/A , 177.2 ,4.6,,218.7,5.7,, 170.4 ,4.4,,161.7,4.2,Individual building,
4,12022,20,4260903,All My Children Daycare and Nursery School,ACS, N/A , 192.1 ,5.2,,201.3,5.4,, 205.7 ,5.5,,196.3,5.2,Individual building,
4,10193,1,4216947,All My Children Daycare and Nursery School,ACS, N/A , 136.0 ,3.7,,128.0,3.4,, 151.1 ,4.1,,133.4,3.6,Individual building,
4,12062,51,4261925,Alpha Kappa Alpha Sorority Child Care Center,ACS, N/A , 144.5 ,3.7,,128.4,3.3,, 120.9 ,3.1,,135.6,3.5,Individual building,
2,2861,129,2109470,Babove Worldwide Institute Inc,ACS, N/A , 160.7 ,5.1,,149.8,4.8,, 143.2 ,4.7,,135.4,4.6,Individual building,
4,12599,8,4271346,Babove Worldwide Institute Inc,ACS, N/A , 137.5 ,5.4,,123.5,4.5,, 117.0 ,4.0,,115.8,4.1,Individual building,
1,962,100,1069579,Bellevue Hospital Center (Space),ACS, 96 , 343.5 ,11.3,97,329.6,10.9,99, 302.9 ,9.9,99.0,306.5,10.4,Individual building,
2,3089,24,2012517,Belmont Community Day Care Center,ACS, N/A , 204.0 ,5.3,,162.0,4.2,, 181.9 ,4.7,,196.0,5.1,Individual building,
4,10941,206,4234212,Blanche Day Care Center,ACS, N/A , 162.8 ,5.6,,171.0,5.8,, 158.7 ,5.3,,188.7,6.6,Individual building,
2,2738,35,2005938,Bridges Juvenile Center Intake & Admissions,ACS, N/A , 28.7 ,0.8,,14.6,0.4,, 10.8 ,0.3,,8.1,0.2,Individual building,
2,3748,15,2024083,Bronxdale Tenants League DDC Inc,ACS, N/A , 103.3 ,2.8,,105.1,2.9,, 114.8 ,3.1,,121.3,3.3,Individual building,
3,3023,32,3070819,Bushwick Improvement Society Inc,ACS, N/A , 138.4 ,3.6,,128.2,3.3,, 97.4 ,2.5,,127.4,3.3,Individual building,
3,3227,10,3073394,Bushwick United Housing Development Fund Corp,ACS, N/A , 131.0 ,3.4,,139.9,3.6,, 121.2 ,3.1,,125.7,3.3,Individual building,
3,3043,1,3070967,Bushwick United Housing Development Fund Corp,ACS, N/A , 75.0 ,2.2,,77.2,2.3,, 81.7 ,2.4,,90.3,2.7,Individual building,
3,3228,20,3073408,Bushwick United Housing Development Fund Corp,ACS, N/A , 135.1 ,4.4,,111.8,3.7,, 106.6 ,3.4,,121.4,3.8,Individual building,
2,3125,1,2013174,Cardinal Day Care Center #2,ACS, N/A , 108.1 ,2.8,,131.2,3.4,, 135.1 ,3.5,,123.3,3.2,Individual building,
4,386,7,4004679,Catholic Charities Neighborhood Services Inc,ACS, N/A , 119.8 ,4.0,,115.6,3.9,, 100.8 ,3.3,,139.2,4.4,Individual building,
4,10917,29,4233644,Charles R Drew Early Learning Center,ACS, N/A , 182.7 ,5.0,,188.7,5.0,, 186.7 ,5.0,,180.5,4.8,Individual building,
