,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
0,"First Saturday in October, Inc.",N,Y,N,N,N,7185905814.0,7185907789.0,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"198 East 161st St, Ste. 201",Bronx,,,,,,,,,,,,,,,,,,,,,,
1,Supportive Childrens Advocacy Network (SCAN),N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,207 215 E 27th Street,New York,N,10016.0,,,,,,,,,,,,,,,,,,,,
2,Sjogren's Syndrome Foundation,N,N,Y,N,N,,2127247110.0,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,109 East 50 Street,New York,,,http://www.sjogrens.org/,New York City Support Group,,,,,,,,,,,,,,,,,,
3,"Guardians of the Sick, Inc.",Y,N,N,N,N,,7184382020.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,5216 11th Avenue,Brooklyn,,11219.0,,,"{'latitude': '40.635862', 'longitude': '-73.998429'}",BROOKLYN ,40.635862,-73.998429,12.0,44.0,218.0,3138585.0,3056600050.0,Borough Park                                                               ,17621.0,2.0,2.0,18.0,39.0,,,
4,Latin Media and Entertainment Commission,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/lmec/html/home/home.shtml,The Commission advises the Mayor on business development and retention strategies for the Latin media and entertainment industry.,,,,,,,,,,,,,,,,N,,
5,Japanese American Association of New York,Y,Y,Y,Y,Y,2128400616.0,2128406942.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,New York,N,10036.0,http://www.jaany.org,,,,,,,,,,,,,,,,,N,,
6,"Sexuality Information & Education Council of the U.S., Inc.",N,N,Y,N,N,,2128199770.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"130 West 42 St., Suite 350",New York,,,http://www.siecus.org/,,,,,,,,,,,,,,,,,,,
7,Workers Awaaz,N,N,N,Y,N,7185650836.0,7185650801.0,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Jackson Heights,N,11372.0,,,,,,,,,,,,,,,,,,,P.O. Box 471,
8,"Identity House, Inc.",N,N,Y,N,N,,2122438181.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"P.O.Box 572, Old Chelsea Station",New York,,10011.0,http://www.identityhouse.org/,,,,,,,,,,,,,,,,,,,
9,NYC TV,Y,Y,Y,Y,Y,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/nycmg/nyctv/html/home/home.shtml,,,,,,,,,,,,,,,,,N,,
