cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,parks_nm,station_name,transit_district,housing_psa,hadevelopt
314773184,48,BRONX,2019-12-31T00:00:00.000,18:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,105,FELONY,ROBBERY,PATROL BORO BRONX,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,2019-12-31T00:00:00.000,UNKNOWN,UNKNOWN,U,45-64,WHITE HISPANIC,F,1016990,244612,40.838026269000075,-73.88168118799997,"{'latitude': '40.838026269000075', 'longitude': '-73.88168118799997'}",11269.0,35.0,5.0,43.0,31.0,,,,,,,,
289837961,25,MANHATTAN,2019-12-30T00:00:00.000,20:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO MAN NORTH,338.0,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,2019-12-31T00:00:00.000,,,,25-44,WHITE HISPANIC,F,999296,230862,40.800334261000046,-73.94565697199994,"{'latitude': '40.800334261000046', 'longitude': '-73.94565697199994'}",13093.0,7.0,4.0,36.0,16.0,2019-12-31T00:00:00.000,10:00:00,INSIDE,,,,,
535744284,77,BROOKLYN,2019-12-24T00:00:00.000,16:55:00,COMPLETED,0.0,N.Y. POLICE DEPT,106,FELONY,FELONY ASSAULT,PATROL BORO BKLYN NORTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",STREET,2019-12-31T00:00:00.000,UNKNOWN,BLACK,M,18-24,WHITE,M,1001068,183317,40.66983179600004,-73.93937555099996,"{'latitude': '40.66983179600004', 'longitude': '-73.93937555099996'}",17615.0,16.0,2.0,48.0,49.0,2019-12-24T00:00:00.000,17:00:00,,,,,,
895678119,52,BRONX,2019-12-30T00:00:00.000,19:32:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,333.0,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,2019-12-30T00:00:00.000,25-44,WHITE,F,UNKNOWN,UNKNOWN,D,1009690,257590,40.87367103500002,-73.90801364899994,"{'latitude': '40.87367103500002', 'longitude': '-73.90801364899994'}",11272.0,48.0,4.0,39.0,33.0,,,INSIDE,,,,,
299841674,18,MANHATTAN,2019-12-30T00:00:00.000,15:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO MAN SOUTH,301.0,"LARCENY,PETIT BY ACQUIRING LOS",STREET,2019-12-30T00:00:00.000,,,,25-44,WHITE HISPANIC,M,985766,216503,40.76093528000007,-73.99452906599998,"{'latitude': '40.76093528000007', 'longitude': '-73.99452906599998'}",13094.0,12.0,4.0,10.0,10.0,2019-12-30T00:00:00.000,16:50:00,,,,,,
136697381,94,BROOKLYN,2019-12-28T00:00:00.000,13:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BKLYN NORTH,349.0,"LARCENY,PETIT OF LICENSE PLATE",STREET,2019-12-30T00:00:00.000,,,,UNKNOWN,UNKNOWN,D,997964,205703,40.73128148300003,-73.95051933399996,"{'latitude': '40.73128148300003', 'longitude': '-73.95051933399996'}",18182.0,36.0,2.0,38.0,57.0,2019-12-29T00:00:00.000,08:30:00,INSIDE,,,,,
628084657,69,BROOKLYN,2019-12-22T00:00:00.000,16:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BKLYN SOUTH,101.0,ASSAULT 3,STREET,2019-12-30T00:00:00.000,25-44,BLACK,M,25-44,BLACK,M,1010537,168507,40.629158526000026,-73.90529923099997,"{'latitude': '40.629158526000026', 'longitude': '-73.90529923099997'}",13827.0,5.0,2.0,8.0,42.0,,,FRONT OF,,,,,
487138011,43,BRONX,2019-12-29T00:00:00.000,17:20:00,COMPLETED,0.0,N.Y. POLICE DEPT,105,FELONY,ROBBERY,PATROL BORO BRONX,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,2019-12-29T00:00:00.000,UNKNOWN,WHITE HISPANIC,M,25-44,BLACK,M,1018876,241924,40.83064129700006,-73.87487918899996,"{'latitude': '40.83064129700006', 'longitude': '-73.87487918899996'}",11610.0,58.0,5.0,31.0,26.0,,,FRONT OF,,,,,
227601821,18,MANHATTAN,2019-12-29T00:00:00.000,12:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,SEX CRIMES,PATROL BORO MAN SOUTH,175.0,"SEXUAL ABUSE 3,2",STREET,2019-12-29T00:00:00.000,UNKNOWN,WHITE,M,25-44,WHITE,F,988353,217918,40.764818269000045,-73.98518977299993,"{'latitude': '40.764818269000045', 'longitude': '-73.98518977299993'}",12081.0,12.0,4.0,10.0,10.0,2019-12-29T00:00:00.000,13:30:00,,,,,,
536304115,13,MANHATTAN,2019-12-28T00:00:00.000,15:05:00,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO MAN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,2019-12-28T00:00:00.000,65+,WHITE,F,18-24,ASIAN / PACIFIC ISLANDER,F,985850,210155,40.74351160900005,-73.99422735499998,"{'latitude': '40.74351160900005', 'longitude': '-73.99422735499998'}",12074.0,12.0,4.0,10.0,7.0,2019-12-28T00:00:00.000,15:10:00,INSIDE,,,,,
