cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,susp_race,susp_sex,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,susp_age_group,hadevelopt,transit_district,station_name
522575447,2006-08-29T00:00:00.000,13:00:00,43,2006-08-30T00:00:00.000,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,1018029.0,240747.0,UNKNOWN,M,40.827414051,-73.877945775,"{'latitude': '40.827414051', 'longitude': '-73.877945775'}",PATROL BORO BRONX,25-44,BLACK HISPANIC,F,11610.0,58.0,5.0,31.0,26.0,,,,,,
403507361,2006-11-05T00:00:00.000,11:00:00,66,2006-11-05T00:00:00.000,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,982556.0,171385.0,,,40.637096864,-74.006105014,"{'latitude': '40.637096864', 'longitude': '-74.006105014'}",PATROL BORO BKLYN SOUTH,45-64,ASIAN / PACIFIC ISLANDER,F,18180.0,2.0,2.0,7.0,39.0,2006-11-05T00:00:00.000,17:40:00,,,,
631420068,2006-09-08T00:00:00.000,23:30:00,106,2006-09-09T00:00:00.000,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1028213.0,186786.0,,,40.679260229,-73.841500185,"{'latitude': '40.679260229', 'longitude': '-73.841500185'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,E,24013.0,62.0,3.0,41.0,64.0,2006-09-09T00:00:00.000,00:01:00,,,,
995609899,2011-12-13T00:00:00.000,18:40:00,79,2011-12-13T00:00:00.000,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,NA,NA,1000788.0,189718.0,,,40.687401619,-73.940369194,"{'latitude': '40.687401619', 'longitude': '-73.940369194'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,18181.0,69.0,2.0,49.0,51.0,2011-12-13T00:00:00.000,18:49:00,,,,
480667624,2009-08-14T00:00:00.000,04:20:00,30,2009-08-14T00:00:00.000,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,NA,1000029.0,242245.0,,,40.831576128,-73.942982699,"{'latitude': '40.831576128', 'longitude': '-73.942982699'}",PATROL BORO MAN NORTH,,UNKNOWN,E,13090.0,47.0,4.0,23.0,21.0,,,,,,
605915885,2009-10-27T00:00:00.000,21:10:00,69,2009-10-29T00:00:00.000,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1010598.0,173684.0,BLACK,M,40.643368102,-73.905059257,"{'latitude': '40.643368102', 'longitude': '-73.905059257'}",PATROL BORO BKLYN SOUTH,18-24,BLACK,M,13827.0,5.0,2.0,8.0,42.0,,,,,,
820084484,2006-12-16T00:00:00.000,20:00:00,40,2006-12-16T00:00:00.000,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,1007115.0,237715.0,,,40.819127068,-73.917392286,"{'latitude': '40.819127068', 'longitude': '-73.917392286'}",PATROL BORO BRONX,,UNKNOWN,E,10933.0,49.0,5.0,43.0,23.0,2006-12-16T00:00:00.000,20:05:00,,,,
799044409,2007-07-21T00:00:00.000,23:15:00,75,2007-07-22T00:00:00.000,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1018297.0,184609.0,,,40.673328553,-73.877261612,"{'latitude': '40.673328553', 'longitude': '-73.877261612'}",PATROL BORO BKLYN NORTH,25-44,BLACK,M,17215.0,45.0,2.0,37.0,47.0,2007-07-21T00:00:00.000,23:45:00,,,,
211477358,2008-07-07T00:00:00.000,21:30:00,34,2008-07-08T00:00:00.000,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,NA,1001009.0,248745.0,,,40.849414928,-73.939425145,"{'latitude': '40.849414928', 'longitude': '-73.939425145'}",PATROL BORO MAN NORTH,25-44,WHITE,M,13091.0,47.0,4.0,39.0,22.0,2008-07-08T00:00:00.000,11:45:00,,,,
986887005,2007-09-17T00:00:00.000,16:00:00,48,2007-09-19T00:00:00.000,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,NA,1014683.0,253122.0,BLACK HISPANIC,M,40.861391939,-73.889979903,"{'latitude': '40.861391939', 'longitude': '-73.889979903'}",PATROL BORO BRONX,<18,BLACK,M,10936.0,35.0,5.0,22.0,31.0,,,<18,,,
207970722,2007-01-06T00:00:00.000,16:00:00,68,2007-02-26T00:00:00.000,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,NA,974642.0,172052.0,UNKNOWN,,40.638922587,-74.034620525,"{'latitude': '40.638922587', 'longitude': '-74.034620525'}",PATROL BORO BKLYN SOUTH,45-64,WHITE,M,18180.0,10.0,2.0,44.0,41.0,2007-02-26T00:00:00.000,12:00:00,,,,
537893224,2009-04-26T00:00:00.000,23:00:00,122,2009-04-27T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,OTHER,N.Y. POLICE DEPT,0,NA,NA,960358.0,154920.0,,,40.591871791,-74.086027298,"{'latitude': '40.591871791', 'longitude': '-74.086027298'}",PATROL BORO STATEN ISLAND,45-64,AMERICAN INDIAN/ALASKAN NATIVE,M,10692.0,30.0,1.0,14.0,76.0,2009-04-27T00:00:00.000,11:30:00,,,,
924188035,2010-01-08T00:00:00.000,22:00:00,75,2010-01-11T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,OTHER,N.Y. POLICE DEPT,0,NA,NA,1011975.0,185903.0,BLACK,M,40.676902346,-73.900047151,"{'latitude': '40.676902346', 'longitude': '-73.900047151'}",PATROL BORO BKLYN NORTH,18-24,BLACK,F,17214.0,45.0,2.0,37.0,47.0,,,,,,
321158154,2007-11-02T00:00:00.000,11:55:00,71,2007-11-02T00:00:00.000,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,NA,1000111.0,180775.0,,,40.662856338,-73.942831345,"{'latitude': '40.662856338', 'longitude': '-73.942831345'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,E,13509.0,17.0,2.0,11.0,44.0,2007-11-02T00:00:00.000,11:56:00,,,,
103912654,2009-08-30T00:00:00.000,01:00:00,109,2009-08-30T00:00:00.000,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,NA,NA,1031613.0,227025.0,,,40.78968863,-73.828958816,"{'latitude': '40.78968863', 'longitude': '-73.828958816'}",PATROL BORO QUEENS NORTH,25-44,WHITE,M,14192.0,22.0,3.0,20.0,67.0,2009-08-30T00:00:00.000,01:01:00,,,,
591753685,2008-12-09T00:00:00.000,15:10:00,110,2008-12-09T00:00:00.000,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",ATTEMPTED,FELONY,QUEENS,,FOOD SUPERMARKET,N.Y. POLICE DEPT,0,NA,NA,1017225.0,209572.0,WHITE HISPANIC,M,40.741850091,-73.881003933,"{'latitude': '40.741850091', 'longitude': '-73.881003933'}",PATROL BORO QUEENS NORTH,45-64,WHITE HISPANIC,F,14784.0,66.0,3.0,5.0,68.0,2008-12-09T00:00:00.000,15:14:00,18-24,,,
289318739,2007-07-18T00:00:00.000,07:00:00,23,2007-11-30T00:00:00.000,341,PETIT LARCENY,313,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,OTHER,N.Y. POLICE DEPT,0,NA,NA,1000900.0,228610.0,WHITE HISPANIC,M,40.794150256,-73.939869087,"{'latitude': '40.794150256', 'longitude': '-73.939869087'}",PATROL BORO MAN NORTH,,UNKNOWN,D,12426.0,7.0,4.0,35.0,14.0,2007-11-30T00:00:00.000,12:00:00,25-44,,,
