summons_key,summons_date,offense_description,law_section_number,law_description,summons_category_type,age_group,sex,race,jurisdiction_code,boro,precinct_of_occur,x_coordinate_cd,y_coordinate_cd,latitude,longitude
207586976,2019-12-31T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,<18,M,UNKNOWN,0,BROOKLYN,63,1000176,167802,40.62724813400007,-73.94262768099996
206922457,2019-12-31T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,WHITE HISPANIC,0,BRONX,44,1004756,242415,40.83203302000004,-73.92590076999993
206890037,2019-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,45-64,M,WHITE HISPANIC,0,BROOKLYN,73,1008957,185699,40.67635134900007,-73.91092839799995
206889520,2019-12-31T00:00:00.000,"PISTOL, TOY/IMITATION; UNLAWFUL SALE, USE, ETC.",10-131(G),,,45-64,M,BLACK,0,BROOKLYN,75,1022239,184994,40.674369253000066,-73.86304850799998
206885897,2019-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
206885899,2019-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BRONX,45,1032091,241976,40.83072232800004,-73.82712605899997
206890677,2019-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,18-24,M,WHITE HISPANIC,0,QUEENS,114,1004897,220004,40.77052064100008,-73.925460162
206890943,2019-12-31T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BROOKLYN,71,997631,178916,40.65775788800004,-73.95177405399994
206891054,2019-12-31T00:00:00.000,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,<18,F,BLACK HISPANIC,0,BROOKLYN,71,997674,181717,40.66544594900005,-73.95161349899996
206901583,2019-12-31T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,NEW YORK,26,997415,235558,40.813226488000055,-73.95244172599996
206882606,2019-12-31T00:00:00.000,CREATES A HAZARDOUS OR PHYSICALLY OFFENSIVE CONDITION WITHOUT A LEGITIMATE PURPO,240.20(7),,,25-44,M,BLACK,0,BRONX,43,1018703,241414,40.82924217100003,-73.87550694899994
206886539,2019-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
206885906,2019-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BRONX,45,1032091,241976,40.83072232800004,-73.82712605899997
206885886,2019-12-31T00:00:00.000,SMOKING IN TRAIN STATION,1050.7,,,25-44,M,WHITE HISPANIC,1,NEW YORK,7,986967,199425,40.71406010100003,-73.99020064699994
206904168,2019-12-31T00:00:00.000,PUBLIC URINATION,153.09,Health Code,URINATING,18-24,M,BLACK,0,BROOKLYN,76,987146,188460,40.68396367200007,-73.98955966899997
206894687,2019-12-31T00:00:00.000,FAIL TO DISPLAY BARBERS/BARBERSHOPS LICENSE,439-3,General Business Law,BUSINESS,25-44,M,BLACK HISPANIC,0,NEW YORK,30,999453,241204,40.82871989100005,-73.94506648099998
206894685,2019-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,18-24,M,BLACK,0,QUEENS,110,1023083,210412,40.74413189800004,-73.85985923999993
206891032,2019-12-31T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,71,997674,181717,40.66544594900005,-73.95161349899996
206890942,2019-12-31T00:00:00.000,POSS. OF KNIFE,10-133,Administrative Code,KNIFE,18-24,M,BLACK,0,BROOKLYN,69,1009531,174738,40.646264213000045,-73.90890012499993
