,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,location_desc,perp_age_group,perp_sex,perp_race
0,169180023,2017-09-09T00:00:00.000,2019-12-24 03:57:00,STATEN ISLAND,120,0,False,25-44,M,BLACK,959975,171772,40.63812599100004,-74.08746692099999,,,,
1,169180027,2017-09-09T00:00:00.000,2019-12-24 22:15:00,BRONX,50,0,False,25-44,M,BLACK HISPANIC,1011288,255912,40.869060690000026,-73.90224225899993,,,,
2,169180025,2017-09-09T00:00:00.000,2019-12-24 18:35:00,BROOKLYN,79,2,False,18-24,M,BLACK,999888,193014,40.69645001400005,-73.94360673699998,MULTI DWELL - PUBLIC HOUS,,,
3,169180024,2017-09-09T00:00:00.000,2019-12-24 15:20:00,BROOKLYN,67,0,False,18-24,M,BLACK,997784,172132,40.63913704300006,-73.951236227,,18-24,M,BLACK
4,169180022,2017-09-09T00:00:00.000,2019-12-24 00:20:00,BROOKLYN,61,2,False,25-44,M,ASIAN / PACIFIC ISLANDER,1001019,156467,40.59613433800007,-73.93961890199995,MULTI DWELL - PUBLIC HOUS,,,
5,156603440,2016-09-09T00:00:00.000,2019-12-24 20:58:00,BROOKLYN,67,0,False,<18,M,BLACK,1003592,176432,40.65092883700004,-73.93029673299998,MULTI DWELL - APT BUILD,25-44,M,BLACK
6,156603439,2016-09-09T00:00:00.000,2019-12-24 20:43:00,BRONX,41,0,False,25-44,M,WHITE HISPANIC,1011370,235889,40.81410317400002,-73.90202674799998,,,,
7,156603438,2016-09-09T00:00:00.000,2019-12-24 11:50:00,MANHATTAN,32,0,False,<18,M,BLACK,1001664,239682,40.82453835300004,-73.93708114099996,,,,
8,156552658,2016-09-09T00:00:00.000,2019-12-24 00:18:00,QUEENS,113,0,False,25-44,M,BLACK,1044416,183458,40.670030345000036,-73.78311288699997,,,,
9,146014287,2015-09-09T00:00:00.000,2019-12-24 23:08:00,BRONX,47,2,False,25-44,M,BLACK,1026323,261252,40.883658466000036,-73.847847932,MULTI DWELL - PUBLIC HOUS,,,
10,146014286,2015-09-09T00:00:00.000,2019-12-24 23:00:00,MANHATTAN,28,0,False,25-44,M,BLACK,998318,231726,40.80270731500008,-73.94918758799997,,,,
11,146013532,2015-09-09T00:00:00.000,2019-12-24 19:03:00,BROOKLYN,77,0,True,18-24,M,BLACK,1001196,185003,40.67445924500004,-73.93890989599998,,25-44,M,BLACK
12,145992814,2015-09-09T00:00:00.000,2019-12-24 11:54:00,BROOKLYN,70,0,False,<18,M,WHITE HISPANIC,994904,167484,40.62638319900003,-73.96162067399997,MULTI DWELL - APT BUILD,<18,M,WHITE HISPANIC
13,138627598,2014-09-09T00:00:00.000,2019-12-24 17:36:00,BROOKLYN,73,0,False,18-24,M,BLACK,1006587,182075,40.66641058000005,-73.91948466499997,,,,
14,92525610,2013-09-09T00:00:00.000,2019-12-24 05:26:00,BROOKLYN,75,0,True,18-24,M,BLACK,1015537,178639,40.65695242200008,-73.88723913599993,MULTI DWELL - PUBLIC HOUS,,,
15,92507649,2013-09-09T00:00:00.000,2019-12-24 04:35:00,BROOKLYN,79,0,False,25-44,M,BLACK,995342,191876,40.693333333000055,-73.96000266999994,,,,
16,92507648,2013-09-09T00:00:00.000,2019-12-24 03:55:00,MANHATTAN,17,0,False,25-44,M,BLACK,991876,214311,40.754915640000036,-73.97247596599993,BAR/NIGHT CLUB,25-44,M,BLACK
17,92525805,2013-09-09T00:00:00.000,2019-12-24 15:14:00,QUEENS,113,0,False,25-44,M,BLACK,1050964,189413,40.686328495000055,-73.75944958499997,,25-44,M,BLACK
18,86650273,2012-09-09T00:00:00.000,2019-12-24 02:15:00,QUEENS,113,0,False,18-24,M,BLACK,1051505,190826,40.69020274700006,-73.75748479699998,,,,
19,86650272,2012-09-09T00:00:00.000,2019-12-24 02:01:00,MANHATTAN,28,0,False,25-44,M,BLACK,997995,230064,40.79814608700008,-73.95035767199995,,,,
20,86664788,2012-09-09T00:00:00.000,2019-12-24 23:22:00,STATEN ISLAND,120,0,True,18-24,M,BLACK,951991,171198,40.63652500300003,-74.11623137199997,,25-44,M,BLACK
