zip_code,building_type_service_class,_consumption_therms_,_consumption_gj_,utility_data_source
"
,  10300",Commercial,470.0,50.0,National Grid
"
,  10335",Commercial,647.0,68.0,National Grid
"
,  10360",Large residential,33762.0,3562.0,National Grid
"
,  11200",Commercial,32125.0,3389.0,National Grid
"
,  11200",Institutional,3605.0,380.0,National Grid
"
,  11200",Small residential,3960.0,418.0,National Grid
"
,  11254",Small residential,1896.0,200.0,National Grid
"
,  11274",Commercial,8364.0,882.0,National Grid
"
,  11279",Commercial,2579.0,272.0,National Grid
"
,  11279",Large residential,301.0,32.0,National Grid
"
,  11303",Commercial,13039.0,1376.0,National Grid
"
,  11303",Small residential,3009.0,317.0,National Grid
"
,  11313",Small residential,3488.0,368.0,National Grid
"
,  11314",Small residential,6011.0,634.0,National Grid
"
,  11315",Commercial,8520.0,899.0,National Grid
"
,  11315",Institutional,339.0,36.0,National Grid
"
,  11315",Large residential,335091.0,35354.0,National Grid
"
,  11315",Small residential,4458.0,470.0,National Grid
"
,  11323",Commercial,3637.0,384.0,National Grid
"
,  11332",Commercial,3795.0,400.0,National Grid
"
,  11335",Large residential,,,National Grid
"
,  11337",Commercial,4928.0,520.0,National Grid
"
,  11343",Small residential,2454.0,259.0,National Grid
"
,  11350",Commercial,10048.0,1060.0,National Grid
"
,  11388",Commercial,823.0,87.0,National Grid
"
,  11400",Commercial,21866.0,2307.0,National Grid
"
,  11400",Industrial,275.0,29.0,National Grid
"
,  11400",Institutional,93140.0,9827.0,National Grid
"
,  11400",Large residential,280.0,30.0,National Grid
"
,  11400",Small residential,51072.0,5388.0,National Grid
"
,  11402",Commercial,65.0,7.0,National Grid
"
,  11403",Small residential,1127.0,119.0,National Grid
"
,  11438",Institutional,1770.0,187.0,National Grid
"
,  11441",Small residential,1126.0,119.0,National Grid
"
,  11446",Small residential,604.0,64.0,National Grid
"
,  11450",Commercial,455.0,48.0,National Grid
"
,  11468",Institutional,49184.0,5189.0,National Grid
"
,  11468",Small residential,1601.0,169.0,National Grid
"
,  11469",Commercial,151.0,16.0,National Grid
"
,  11469",Institutional,41819.0,4412.0,National Grid
"
,  11472",Institutional,7869.0,830.0,National Grid
"
,  11473",Institutional,40595.0,4283.0,National Grid
"
,  11473",Small residential,7335.0,774.0,National Grid
"
,  11474",Large residential,2223970.0,234641.0,National Grid
"
,  11475",Institutional,8503.0,897.0,National Grid
"
,  11477",Institutional,22660.0,2391.0,National Grid
"
,  11477",Large residential,493904.0,52110.0,National Grid
"
,  11478",Institutional,19018.0,2007.0,National Grid
"
,  11479",Institutional,21169.0,2233.0,National Grid
"
,  11485",Institutional,10790.0,1138.0,National Grid
"
,  11696",Small residential,5218.0,551.0,National Grid
"
,  11109
(40.744414792409, -73.957702346686)",Commercial,45899.0,4843.0,ConEd
"
,  11429
(40.709913120494, -73.738640316098)",Commercial,755.0,80.0,ConEd
"
,  11226
(40.646505002304, -73.957190099144)",Industrial,65835.0,6946.0,National Grid
"
,  10314
(40.596490302985, -74.165991118795)",Institutional,2294516.0,242084.0,National Grid
"
,  11223
(40.596939623165, -73.973311472047)",Commercial,2376036.0,250685.0,National Grid
"
,  10467
(40.877047912132, -73.871532500824)",Large Residential,4811979.0,507691.0,ConEd
"
,  11212
(40.662797169953, -73.912984894337)",Commercial,1796469.0,189538.0,National Grid
"
,  11207
(40.670802431187, -73.893841150049)",Commercial,3104972.0,327592.0,National Grid
"
,  10003
(40.731943947555, -73.98887214913)",Residential,3229606.0,340742.0,ConEd
"
,  11226
(40.646505002304, -73.957190099144)",Small residential,6406707.0,675943.0,National Grid
"
,  10451
(40.820696407114, -73.923841367985)",Commercial,8071587.0,851598.0,ConEd
"
,  10468
(40.869693003729, -73.898926992487)",Residential,907812.0,95779.0,ConEd
"
,  11212
(40.662797169953, -73.912984894337)",Institutional,1441719.0,152109.0,National Grid
"
,  11420
(40.673345242689, -73.817707171649)",Small residential,9694601.0,1022835.0,National Grid
"
,  11694
(40.576578305644, -73.850777000558)",Commercial,2058660.0,217200.0,National Grid
"
,  11210
(40.627722263871, -73.946537919989)",Industrial,63151.0,6663.0,National Grid
"
,  10309
(40.530393118348, -74.218938614326)",Small residential,8086128.0,853132.0,National Grid
"
,  10034
(40.870617109292, -73.924223258796)",Residential,226754.0,23924.0,ConEd
"
,  11422
(40.661613493968, -73.736051726406)",Commercial,295.0,31.0,ConEd
"
,  10044
(40.761976486226, -73.949999674945)",Residential,93171.0,9830.0,ConEd
"
,  10010
(40.739140782121, -73.982898456399)",Large Residential,212584.0,22429.0,ConEd
"
,  11358
(40.760350968822, -73.796326458199)",Residential,405678.0,42801.0,ConEd
"
,  11426
(40.737041384952, -73.724156998946)",Commercial,1380.0,146.0,National Grid
"
,  11432
(40.71311535449, -73.792820999789)",Commercial,1433501.0,151242.0,ConEd
"
,  11237
(40.704095739827, -73.920994233997)",Institutional,809265.0,85382.0,National Grid
"
,  11220
(40.641184928741, -74.016764726711)",Large residential,6756193.0,712816.0,National Grid
"
,  11362
(40.759074216602, -73.734300177111)",Large Residential,36526.0,3854.0,ConEd
"
,  11101
(40.745702449808, -73.938669029252)",Residential,182865.0,19293.0,ConEd
"
,  11206
(40.701912016826, -73.942379198541)",Small residential,5252607.0,554179.0,National Grid
"
,  10039
(40.826681928628, -73.937770907801)",Residential,471926.0,49791.0,ConEd
"
,  10022
(40.758630224006, -73.96809182218)",Residential,981692.0,103574.0,ConEd
"
,  10314
(40.596490302985, -74.165991118795)",Industrial,441639.0,46595.0,National Grid
"
,  11420
(40.673345242689, -73.817707171649)",Industrial,8901.0,939.0,National Grid
"
,  11426
(40.737041384952, -73.724156998946)",Small residential,2754.0,291.0,National Grid
"
,  10454
(40.805846930092, -73.916285046518)",Residential,151124.0,15944.0,ConEd
"
,  10002
(40.716121467931, -73.985831470246)",Commercial,4230121.0,446301.0,ConEd
"
,  11429
(40.709913120494, -73.738640316098)",Commercial,717488.0,75699.0,National Grid
"
,  11377
(40.745193764481, -73.90484714408)",Residential,366911.0,38711.0,ConEd
"
,  11211
(40.711589765256, -73.958176750756)",Institutional,1200176.0,126625.0,National Grid
"
,  10017
(40.752456527447, -73.97297648088)",Commercial,2506308.0,264430.0,ConEd
"
,  10457
(40.845798371298, -73.898324186812)",Residential,1697773.0,179125.0,ConEd
"
,  10012
(40.725538020863, -73.997896410591)",Large Residential,7190053.0,758591.0,ConEd
"
,  11360
(40.780701334399, -73.782267336868)",Commercial,17858.0,1884.0,ConEd
"
,  11365
(40.739871843711, -73.794621535156)",Commercial,1336553.0,141014.0,ConEd
"
,  11436
(40.675718209128, -73.796465014948)",Large residential,225350.0,23776.0,National Grid
"
,  11209
(40.623387097237, -74.030652953471)",Commercial,2452630.0,258766.0,National Grid
"
,  11223
(40.596939623165, -73.973311472047)",Small residential,14240984.0,1502504.0,National Grid
"
,  10006
(40.708256140309, -74.013553569641)",Residential,15601.0,1646.0,ConEd
"
,  10002
(40.716121467931, -73.985831470246)",Residential,4509087.0,475734.0,ConEd
"
,  10463
(40.881871962821, -73.911207480541)",Commercial,7214349.0,761154.0,ConEd
"
,  10065
(40.764301213031, -73.963039935445)",Residential,1795744.0,189461.0,ConEd
"
,  10006
(40.708256140309, -74.013553569641)",Commercial,235511.0,24848.0,ConEd
"
,  11365
(40.739871843711, -73.794621535156)",Small residential,3378.0,356.0,National Grid
"
,  10467
(40.877047912132, -73.871532500824)",Commercial,14662.0,1547.0,ConEd
"
,  11104
(40.744893366636, -73.920541345307)",Commercial,1399157.0,147619.0,ConEd
"
,  10466
(40.890809730185, -73.846009063068)",Residential,6056272.0,638971.0,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Commercial,29295.0,3091.0,ConEd
"
,  10451
(40.820696407114, -73.923841367985)",Commercial,2168883.0,228829.0,ConEd
"
,  10065
(40.764301213031, -73.963039935445)",Residential,156086.0,16468.0,ConEd
"
,  11367
(40.730323085042, -73.82610630716)",Commercial,6820750.0,719627.0,ConEd
"
,  11693
(40.618303604728, -73.824955315236)",Small residential,948328.0,100054.0,National Grid
"
,  11379
(40.71679766548, -73.879334213103)",Small residential,6789947.0,716377.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Residential,261189.0,27557.0,ConEd
"
,  10021
(40.769205327664, -73.959183941086)",Residential,2002900.0,211317.0,ConEd
"
,  10025
(40.796850127631, -73.963725810598)",Commercial,8752223.0,923409.0,ConEd
"
,  11373
(40.738710402563, -73.878351155182)",Residential,5089.0,537.0,ConEd
"
,  11210
(40.627722263871, -73.946537919989)",Institutional,1837588.0,193876.0,National Grid
"
,  10302
(40.630833311108, -74.137734298699)",Institutional,644313.0,67979.0,National Grid
"
,  11221
(40.691288039511, -73.927617927925)",Industrial,50866.0,5367.0,National Grid
"
,  10459
(40.825526216162, -73.893131067844)",Residential,2246422.0,237010.0,ConEd
"
,  11231
(40.677554311782, -74.004676704366)",Small residential,5330545.0,562402.0,National Grid
"
,  10471
(40.901994423104, -73.903626500562)",Residential,2226655.0,234925.0,ConEd
