bin_number,building,sqft,electric,natural_gas_usage_1,fuel_oil_2_delivery_1,fuel_oil_4_delivery_1,fuel_oil_6_delivery_1,steam_usage_1,electric_usage,natural_gas_usage_2,fuel_oil_2_b5_delivery,fuel_oil_2_delivery_2,fuel_oil_4_delivery_2,fuel_oil_6_delivery_2,steam_usage_2,types
2009911,Bronx Bergen Building,"* 90,000",,,,,,,,,,,1740.0,,,Gas Primary/FO Secondary
1001289,Office Building 100 Gold St,"* 594,000",,,,,,,,,4660.0,1497.0,,,,Gas Primary/FO Secondary
1001835,Clocktower Building,"* 369,376",,,,,,,,,,,,,,ConEd Steam
2099027,Bronx Concourse Plaza,"* 231,190",,,,,,,,,,,,,,Gas Only
1078613,City Planning Building,"* 101,150",,,,,,,,,,,,,,ConEd Steam
3392969,Office Building (345 Adams Street),"* 333,652",,,,,,,,,511.0,,,,,Gas Primary/FO Secondary
5000085,Office Building (130 Stuyvesant Place SI),"* 333,652",,,,,,,,,,,,,,"No boilers, Heated with Gas Fired Chillers"
1079215,Sun Building,"* 242,962",,,,,,,,,,,,,,ConEd Steam
1002358,Excelsior Building,"* 59,000",,,,,,,,,,1957.0,,,,Gas Primary/FO Secondary
1001830,Louis J Lefkowitz Building,"* 474,150",,,,,,,,,,,,,,ConEd Steam
1001831,Health Building,"* 406,109",,,,,,,,,,,,,,ConEd Steam
1082757,Home Life Building,"* 272,616",,,,,,,,,,,,,,ConEd Steam
1001672,Court Square Building,"* 364,802",,,,,,,,,,1731.0,,,,Gas Primary/FO Secondary
1079216,Emigrant Savings Building,"* 286,000",,,,,,,,,,,,,,ConEd Steam
2113095,Bronx Hall of Justice,"* 784,000",,,,,,,,,,7810.0,,,,Gas Primary/FO Secondary
3000534,Brooklyn Criminal Court,"* 264,100",,,,,,,,,,,1205.0,,,"Gas Primary/FO Secondary, also feeds Brooklyn House of Detention"
1016743,Manhattan Appellate Court,"* 54,300",,,,,,,,,,,,,,ConEd Steam
1085748,Manhattan Supreme Court,"* 322,300",,,,,,,,,,,,,,ConEd Steam
1054382,Harlem Courthouse,"* 25,988",,,,,,,,,,3102.0,,,,Gas Primary/FO Secondary
2002704,Bronx Family and Criminal Court,"* 490,000",,,,,,,,,,5007.0,,,,Gas Primary/FO Secondary
3331865,Red Hook Community Court,"* 32,820",,,,,,,,,,,,,,Leased Space for Which DCAS pays the energy bill
4438731,Queens Family Court,"* 300,150",,,,,,,,,,464.0,,,,Gas Primary/FO Secondary
2101266,Bronx Housing Court,"* 99,504",,,,,,,,,,263.0,,,,Gas Primary/FO Secondary
4000698,Long Island City Courthouse,"* 59,540",,,,,,,,,,850.0,,,,Gas Primary/FO Secondary
4207071,Queens Supreme Court,"* 308,200",,,,,,,,,662.0,,,,,Gas Primary/FO Secondary
1001842,Manhattan Family Court,"* 491,000",,,,,,,,,,,,,,ConEd Steam
