,district,five_year_housing_units,ten_year_housing_units
0,1,7377,7377
1,2,24672,24941
2,3,2861,2922
3,4,3146,3770
4,5,5970,7221
5,6,2941,2941
6,7,7012,7055
7,8,4937,5040
8,9,4719,5229
9,10,6571,6779
10,11,1483,1550
11,12,3643,3643
12,13,6940,7360
13,14,13124,13124
14,15,6816,8521
15,16,1745,1755
16,17,6194,6895
17,18,86,86
18,19,7377,8283
19,20,1660,1660
20,21,4198,4295
21,22,1755,1781
22,23,2215,2577
23,24,3636,3868
24,25,3124,3274
25,26,290,290
26,27,4541,4983
27,28,3840,3840
28,29,1155,1168
29,30,19703,21502
30,31,4137,4137
31,32,4471,4471
32,Totals,172336,182336
