,_zone,district,fiscal_month_number,fiscal_year,month_name,diversion_rate_total_total_recycling_total_waste_,capture_rate_paper_total_paper_max_paper_,capture_rate_mgp_total_mgp_max_mgp_,capture_rate_total_total_recycling_leaves_recycling_max_paper_max_mgp_x100
0,Brooklyn North,BKN01,10,2019,April,14.6870926033314,44.9091597758182,43.0340618265488,44.1467643388238
1,Brooklyn North,BKN02,10,2019,April,19.9501814568266,34.1940201111571,57.9470313498761,41.213699926973
2,Brooklyn North,BKN03,10,2019,April,12.1641613296565,33.5215567195417,44.919731104756,38.1559365633997
3,Brooklyn North,BKN04,10,2019,April,15.5418031271589,35.2113607057133,68.5112600518364,48.7507554470644
4,Brooklyn North,BKN05,10,2019,April,10.051845414852,22.2654301541493,45.0517913754661,31.5301290076712
5,Brooklyn North,BKN08,10,2019,April,16.4483838242055,44.484992204247,59.4027885400769,50.5504139390847
6,Brooklyn North,BKN09,10,2019,April,13.9656800914806,33.9518221951978,47.8644158129745,39.2362901346726
7,Brooklyn North,BKN16,10,2019,April,9.303515787382,20.289998943493,35.2459666814707,26.3709407757381
8,Brooklyn North,BKN17,10,2019,April,13.3531840029145,28.4479528872541,60.7536281944672,40.7187278494377
9,Brooklyn South,BKS06,10,2019,April,28.9512974587036,46.4422853330655,82.993231353806,57.2441131708991
10,Brooklyn South,BKS07,10,2019,April,20.378483421032,48.0276667391936,72.4576707842008,57.3069985937605
11,Brooklyn South,BKS10,10,2019,April,23.7688290120229,52.5835044935037,75.4481820754518,61.2682730526777
12,Brooklyn South,BKS11,10,2019,April,18.3833471388244,45.001264833647,64.7665287947237,52.5087725340162
13,Brooklyn South,BKS12,10,2019,April,14.9388304014584,47.6229343057927,41.9659630240944,45.3228682777457
14,Brooklyn South,BKS13,10,2019,April,14.3481741742713,40.9647454848785,51.48861387367,45.5607691296216
15,Brooklyn South,BKS14,10,2019,April,14.9961678861179,38.5903135709367,57.626600455098,45.1165255200942
16,Brooklyn South,BKS15,10,2019,April,18.6553042325098,46.5980802597452,63.1177888614012,52.8728175857441
17,Brooklyn South,BKS18,10,2019,April,14.7319554977648,38.5354037311603,71.6319087956526,50.3033786294573
18,Bronx,BX01,10,2019,April,7.1464990151248,19.6327943968858,27.8922603271498,23.2398996272091
19,Bronx,BX02,10,2019,April,13.3878358065643,33.1647144930365,60.1846909898583,44.9649809228277
20,Bronx,BX03,10,2019,April,9.8046733167751,25.0216907033105,43.1308973312207,32.9304119809407
21,Bronx,BX04,10,2019,April,12.2530409793966,29.9790744520861,53.2875564742574,40.158442963675
22,Bronx,BX05,10,2019,April,11.4152622851406,27.3160009788883,52.5580581279462,38.3398077401538
23,Bronx,BX06,10,2019,April,14.1283180397505,36.4236717742056,51.858331725698,43.1643549018265
24,Bronx,BX07,10,2019,April,14.6308704394292,33.421222805122,69.4134678876227,49.139892339487
25,Bronx,BX08,10,2019,April,21.1617848842312,43.7302702602203,84.1009509793499,57.57055437172
26,Bronx,BX09,10,2019,April,10.0878444009675,21.9875628430182,45.7350580527526,31.6430488377641
27,Bronx,BX10,10,2019,April,20.9783161039449,38.1144795711735,84.7950658486253,55.8453260514362
28,Bronx,BX11,10,2019,April,16.6594704269834,34.5644296863595,61.0905141686753,44.6399229306593
29,Bronx,BX12,10,2019,April,20.5839049211805,34.0133936224882,82.4112548741432,52.3965185199716
30,Manhattan,MN01,10,2019,April,28.0246416680049,46.1858392969374,78.9318355113946,54.0724968095967
31,Manhattan,MN02,10,2019,April,26.7143806048852,39.8908921878368,88.1873316223417,51.5227715298576
