development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_mlbs
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8135037,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321136,N,5228.78,SC3,Yes,183.38
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134840,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321022,N,345.8,SC3,Yes,12.39
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134952,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321021,N,7640.15,SC3,Yes,384.17
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8135096,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,62368-544,N,3853.0,SC3,Yes,198.27
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,8135394,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,331153,N,12864.13,SC3,Yes,849.9
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,8135407,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,24012,N,24.11,SC3,Yes,2.0
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,8135018,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,621398,N,4863.68,SC4,Yes,156.86
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134840,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,322040,N,5921.65,SC3,Yes,212.17
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8135096,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,63121-593,N,0.0,SC3,Yes,0.0
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,8135081,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321108,N,8569.4,SC3,Yes,449.09
