development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_hcf,water_sewer_charges,other_charges
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 27,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8215878,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V31847574,N,2304.5,Basic Water and Sewer,Exception,223,2304.5,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 32,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191812,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,G13023666,N,496.04,Basic Water and Sewer,Exception,48,496.04,0.0
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 10,AMR,,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8191823,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78997343,N,3461.92,Basic Water and Sewer,Yes,335,3461.92,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),191-18 120TH AVENUE,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8193643,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20280839,N,62.0,Basic Water and Sewer,Exception,6,62.0,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 14,AMR,BLD 14,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8190767,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,G13013630,N,0.0,Basic Water and Sewer,Yes,114,0.0,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),115-27 208TH STREET,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191535,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19370659,N,39.34,Basic Water and Sewer,Yes,1,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),163-34 CLAUDE AVENUE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191462,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48012858,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 02,AMR,BLD 02,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8190748,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E19234608,Y,3895.96,Basic Water and Sewer,Yes,377,3895.96,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),104-10 212TH STREET,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191775,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20226414,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
STUYVESANT GARDENS II,BROOKLYN,STUYVESANT GARDENS II,BLD 01,AMR,,333,755,K033300,FEDERAL,NY005012210P,NEW YORK CITY WATER BOARD,8190901,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78778150,N,7698.9,Basic Water and Sewer,Yes,745,7698.9,0.0
