bbl,benchmarking_submission,bin,block,borough,borough_number,building_address,building_name,census_tract,community_board,community_council,council_district,energy_star_score,entry_number,fy15_energy_usage_mmbtu_utility_energy_excluding_fuel_oil,ghg,indoor_water_intensity_all_water_sources_gal_ft2,latitude,longitude,lot,nta,number_of_buildings,primary_property_type_self_selected,property_floor_area_buildngs_and_parking_ft2,reported_bins,reported_building_square_footage,reported_facility_type,reported_water_method,site_eui,site_eui_kbtu_ft2,state,street_name,street_number,total_ghg_emissions_mtco2e,water_per_square_foot,weather_normalized_source_eui,weather_normalized_source_eui_kbtu_ft2,zip,zip_code
1001840005.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,MARGINAL STREET     ,,,,,,10013.0,
1001840008.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,MARGINAL STREET     ,,,,,,10013.0,
1000160150.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,VESEY PLACE         ,250,,,,,10282.0,
1000360012.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,PIER 9              ,,,,,,0.0,
1000360018.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH STREET        ,   PIER11,,,,,0.0,
1000360025.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH STREET        ,   PIER13,,,,,0.0,
1000360030.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH STREET        ,   PIER14,,,,,0.0,
1000730002.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH STREET        ,  PIER-15,,,,,10038.0,
1001610003.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK ROW            ,,,,,,0.0,
1005540035.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK AVENUE SOUTH   ,45,,,,,10003.0,
1006510011.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,MARGINAL STREET     ,46,,,,,10014.0,
1006620002.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,MARGINAL STREET     ,,,,,,0.0,
1006620011.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,  11 AVENUE         ,     111A,,,,,10011.0,
1006620016.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,  11 AVENUE         ,     111B,,,,,10011.0,
1006620019.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,  11 AVENUE         ,     111C,,,,,10011.0,
1006650010.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,MARGINAL STREET     ,,,,,,0.0,
1007060013.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST 35 STREET      ,,,,,,10001.0,
1009910050.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,MARGINAL STREET     ,,,,,,0.0,
1009910059.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,F D R DRIVE         ,    24-50,,,,,10010.0,
1011070012.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST 48 STREET      ,,,,,,0.0,
1011090100.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,PIER                ,,,,,,0.0,
1011660135.0,Yes,,,MANHATTAN,,,,,,,,,638.0,,620.76,,,,,,1.0,,,1030727.0,57422.0,Other,,124.3,,,WEST 75 STREET,,,,279.0,,0.0,
1014809001.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,F D R DRIVE         ,,,,,,0.0,
1014829020.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,F D R DRIVE         ,,,,,,0.0,
