,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,most_recent_quality_review_score,_state_accountability_status
0,01M015,1.0,P.S. 015 ROBERTO CLEMENTE,Thomas Staebell,ICI,ESMS,Elementary,63.28,B,57.4,8.3,B,11.7,C,35.1,B,2.3,D,Proficient (2008-09),In Good Standing
1,01M019,1.0,P.S. 019 ASHER LEVY,Ivan Kushner,ESO,ESMS,Elementary,50.39,A,88.0,8.6,B,19.7,A,56.7,A,3.0,B,Well Developed (2007-08),In Good Standing
2,01M020,1.0,P.S. 020 ANNA SILVER,James Lee,ICI,ESMS,Elementary,57.37,A,89.7,11.9,A,21.1,A,54.4,A,2.3,A,Proficient (2008-09),In Good Standing
3,01M034,1.0,P.S. 034 FRANKLIN D. ROOSEVELT,Joyce Stallings Harte,ICI,ESMS,K-8,58.96,A,73.3,7.6,C,16.7,B,43.0,A,6.0,B,Well Developed (2007-08),In Good Standing
4,01M063,1.0,P.S. 063 WILLIAM MCKINLEY,Darlene Despeignes,ICI,ESMS,Elementary,53.0,B,67.8,10.0,B,14.9,B,40.6,B,2.3,F,Proficient (2008-09),In Good Standing
5,01M064,1.0,P.S. 064 ROBERT SIMON,Marlon L. Hosang,ESO,ESMS,Elementary,60.63,A,96.3,14.0,A,20.8,A,60.0,A,1.5,A,Proficient (2008-09),In Good Standing
6,01M110,1.0,P.S. 110 FLORENCE NIGHTINGALE,Karen Feuer,ESO,ESMS,Elementary,42.56,B,65.0,9.0,B,19.8,A,34.7,B,1.5,C,Well Developed (2008-09),In Good Standing
7,01M134,1.0,P.S. 134 HENRIETTA SZOLD,Loretta Caputo,ICI,ESMS,Elementary,54.03,B,67.0,9.2,B,16.6,B,39.7,B,1.5,B,Proficient (2007-08),In Good Standing
8,01M137,1.0,P.S. 137 JOHN L. BERNSTEIN,Melissa Rodriguez,ICI,ESMS,Elementary,61.63,A,82.0,10.7,A,18.0,A,50.3,A,3.0,B,Proficient (2007-08),In Good Standing
9,01M140,1.0,P.S. 140 NATHAN STRAUS,Esteban Barrientos,ESO,ESMS,K-8,62.46,A,75.1,9.9,B,19.1,A,39.3,B,6.8,B,Proficient (2007-08),Improvement (year 2) -  Basic
10,01M142,1.0,P.S. 142 AMALIA CASTRO,Rhonda Levy,ICI,ESMS,Elementary,65.14,A,86.1,10.1,B,19.1,A,49.4,A,7.5,A,Well Developed (2007-08),In Good Standing
11,01M184,1.0,P.S. 184M SHUANG WEN,Ling Ling Chou,New Visions,ESMS,K-8,27.1,A,92.8,13.0,A,24.3,A,55.5,A,0.0,A,Proficient (2007-08),In Good Standing
12,01M188,1.0,P.S. 188 THE ISLAND SCHOOL,Barbara Slatin,ESO,ESMS,K-8,64.92,A,89.6,5.8,D,23.6,A,55.7,A,4.5,A,Well Developed (2007-08),In Good Standing
13,01M292,1.0,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Erin Balet,"Replications, Inc.",ESMS,Middle,2.98,B,62.7,6.0,D,18.5,A,32.2,C,6.0,C,Proficient (2008-09),Improvement (year 2) -  Focused
14,01M292,1.0,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Erin Balet,"Replications, Inc.",HS,High School,2.07,B,63.9,7.1,C,16.5,B,35.3,B,5.0,B,Proficient (2008-09),Improvement (year 2) -  Focused
15,01M301,1.0,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",George Morgan,ESO,ESMS,Middle,3.0,A,89.1,9.5,B,23.0,A,47.6,A,9.0,C,Underdeveloped with Proficient Features (2008-09),In Good Standing
16,01M315,1.0,THE EAST VILLAGE COMMUNITY SCHOOL,Robin Williams,ESO,ESMS,Elementary,34.21,A,80.8,7.7,C,13.9,B,59.2,A,0.0,B,Proficient (2007-08),In Good Standing
