,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_15_16_june_and_august,of_15_16_june_and_august_1,__1
0,2015-16,01M292,1.0,1.0,Orchard Collegiate Academy,129,100,77.50%,s,s,s
1,2015-16,01M448,1.0,1.0,University Neighborhood High School,328,204,62.20%,51,51,100.00%
2,2015-16,01M450,1.0,2.0,East Side Community School,379,379,100.00%,78,78,100.00%
3,2015-16,01M458,1.0,1.0,Forsyth Satellite Academy,205,180,87.80%,37,37,100.00%
4,2015-16,01M509,1.0,1.0,Marta Valle High School,260,166,63.80%,49,49,100.00%
5,2015-16,01M515,1.0,1.0,Lower East Side Preparatory High School,555,378,68.10%,123,123,100.00%
6,2015-16,01M539,1.0,2.0,"New Explorations into Science, Technology and Math High School",646,463,71.70%,189,189,100.00%
7,2015-16,01M650,1.0,1.0,Cascades High School,219,199,90.90%,81,80,98.80%
8,2015-16,01M696,1.0,2.0,Bard High School Early College,533,509,95.50%,130,130,100.00%
9,2015-16,02M047,2.0,2.0,47 The American Sign Language and English Secondary School,185,82,44.30%,52,52,100.00%
10,2015-16,02M135,2.0,1.0,The Urban Assembly School for Emergency Management,246,127,51.60%,s,s,s
11,2015-16,02M139,2.0,3.0,Stephen T. Mather Building Arts & Craftsmanship High School,275,80,29.10%,s,s,s
12,2015-16,02M260,2.0,2.0,M.S. 260 Clinton School Writers & Artists,92,91,98.90%,s,s,s
13,2015-16,02M280,2.0,1.0,Manhattan Early College School for Advertising,183,s,s,s,s,s
14,2015-16,02M282,2.0,1.0,Urban Assembly Maker Academy,194,191,98.40%,s,s,s
15,2015-16,02M288,2.0,3.0,Food and Finance High School,392,122,31.10%,87,87,100.00%
16,2015-16,02M294,2.0,1.0,Essex Street Academy,333,87,26.10%,72,72,100.00%
17,2015-16,02M296,2.0,3.0,High School of Hospitality Management,388,345,88.90%,81,81,100.00%
18,2015-16,02M298,2.0,1.0,Pace High School,468,378,80.80%,103,103,100.00%
19,2015-16,02M300,2.0,3.0,"Urban Assembly School of Design and Construction, The",377,143,37.90%,58,58,100.00%
20,2015-16,02M303,2.0,3.0,"Facing History School, The",382,373,97.60%,63,63,100.00%
21,2015-16,02M305,2.0,1.0,"Urban Assembly Academy of Government and Law, The",305,298,97.70%,59,59,100.00%
22,2015-16,02M308,2.0,1.0,Lower Manhattan Arts Academy,339,85,25.10%,59,59,100.00%
23,2015-16,02M313,2.0,3.0,"James Baldwin School, The: A School for Expeditionary Learning",228,172,75.40%,42,42,100.00%
24,2015-16,02M316,2.0,1.0,"Urban Assembly School of Business for Young Women, the",328,251,76.50%,71,71,100.00%
25,2015-16,02M374,2.0,2.0,Gramercy Arts High School,506,301,59.50%,83,83,100.00%
26,2015-16,02M376,2.0,3.0,NYC iSchool,453,244,53.90%,104,104,100.00%
27,2015-16,02M392,2.0,3.0,MANHATTAN BUSINESS ACADEMY,413,202,48.90%,88,88,100.00%
28,2015-16,02M393,2.0,3.0,Business Of Sports School,435,297,68.30%,69,69,100.00%
29,2015-16,02M394,2.0,1.0,Emma Lazarus High School,259,160,61.80%,41,41,100.00%
30,2015-16,02M399,2.0,2.0,The High School For Language And Diplomacy,433,237,54.70%,86,86,100.00%
31,2015-16,02M400,2.0,3.0,High School for Environmental Studies,"1,215",830,68.30%,265,265,100.00%
32,2015-16,02M407,2.0,2.0,Institute for Collaborative Education,279,206,73.80%,69,68,98.50%
33,2015-16,02M408,2.0,3.0,Professional Performing Arts High School,442,420,95.00%,112,111,99.10%
34,2015-16,02M411,2.0,2.0,Baruch College Campus High School,446,439,98.40%,107,107,100.00%
35,2015-16,02M412,2.0,3.0,N.Y.C. Lab School for Collaborative Studies,530,381,71.90%,130,130,100.00%
36,2015-16,02M413,2.0,2.0,School of the Future High School,432,309,71.50%,84,84,100.00%
37,2015-16,02M414,2.0,3.0,N.Y.C. Museum School,449,434,96.70%,119,119,100.00%
38,2015-16,02M416,2.0,5.0,Eleanor Roosevelt High School,551,517,93.80%,137,137,100.00%
39,2015-16,02M418,2.0,1.0,Millennium High School,636,632,99.40%,170,170,100.00%
40,2015-16,02M419,2.0,3.0,Landmark High School,342,329,96.20%,57,57,100.00%
41,2015-16,02M420,2.0,2.0,High School for Health Professions and Human Services,"1,645","1,535",93.30%,347,347,100.00%
42,2015-16,02M422,2.0,3.0,Quest to Learn,342,135,39.50%,59,59,100.00%
43,2015-16,02M425,2.0,1.0,Leadership and Public Service High School,619,573,92.60%,121,121,100.00%
44,2015-16,02M427,2.0,2.0,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,292,191,65.40%,52,52,100.00%
45,2015-16,02M432,2.0,2.0,Murray Hill Academy,275,186,67.60%,63,63,100.00%
46,2015-16,02M437,2.0,3.0,Hudson High School of Learning Technologies,490,354,72.20%,104,104,100.00%
47,2015-16,02M438,2.0,2.0,International High School at Union Square,344,240,69.80%,69,69,100.00%
48,2015-16,02M439,2.0,3.0,Manhattan Village Academy,436,429,98.40%,96,96,100.00%
49,2015-16,02M449,2.0,5.0,Vanguard High School,435,76,17.50%,77,32,41.60%
50,2015-16,02M459,2.0,5.0,Manhattan International High School,329,187,56.80%,74,74,100.00%
51,2015-16,02M475,2.0,1.0,Stuyvesant High School,"3,315","1,640",49.50%,790,790,100.00%
52,2015-16,02M489,2.0,1.0,High School of Economics and Finance,718,696,96.90%,146,146,100.00%
53,2015-16,02M500,2.0,2.0,Unity Center for Urban Technologies,273,198,72.50%,67,67,100.00%
54,2015-16,02M507,2.0,3.0,Urban Assembly Gateway School for Technology,466,342,73.40%,109,109,100.00%
55,2015-16,02M519,2.0,5.0,Talent Unlimited High School,498,256,51.40%,125,125,100.00%
56,2015-16,02M520,2.0,1.0,Murry Bergtraum High School for Business Careers,514,385,74.90%,160,160,100.00%
57,2015-16,02M529,2.0,4.0,Jacqueline Kennedy Onassis High School,635,474,74.70%,115,115,100.00%
58,2015-16,02M531,2.0,4.0,Repertory Company High School for Theatre Arts,244,s,s,s,s,s
