,school_year,school_dbn,community_school_district,city_council_district,school_name,of_teachers_assigned_to_teach
0,2015-16,01M015,1,2,P.S. 015 Roberto Clemente,1
1,2015-16,01M019,1,2,P.S. 019 Asher Levy,28
2,2015-16,01M020,1,1,P.S. 020 Anna Silver,1
3,2015-16,01M034,1,2,P.S. 034 Franklin D. Roosevelt,18
4,2015-16,01M063,1,2,The STAR Academy - P.S.63,1
5,2015-16,01M064,1,2,P.S. 064 Robert Simon,0
6,2015-16,01M110,1,1,P.S. 110 Florence Nightingale,0
7,2015-16,01M134,1,1,P.S. 134 Henrietta Szold,3
8,2015-16,01M137,1,1,P.S. 137 John L. Bernstein,10
9,2015-16,01M140,1,1,P.S. 140 Nathan Straus,11
10,2015-16,01M142,1,1,P.S. 142 Amalia Castro,0
11,2015-16,01M184,1,1,P.S. 184m Shuang Wen,2
12,2015-16,01M188,1,2,P.S. 188 The Island School,0
13,2015-16,01M292,1,1,Orchard Collegiate Academy,1
14,2015-16,01M301,1,2,"Technology, Arts, and Sciences Studio",1
15,2015-16,01M315,1,2,The East Village Community School,20
16,2015-16,01M332,1,1,University Neighborhood Middle School,0
17,2015-16,01M345,1,1,"Collaborative Academy of Science, Technology, & Language-Arts Education",1
18,2015-16,01M361,1,2,The Children's Workshop School,12
19,2015-16,01M363,1,2,Neighborhood School,0
20,2015-16,01M364,1,2,Earth School,1
21,2015-16,01M378,1,1,School for Global Leaders,1
22,2015-16,01M448,1,1,University Neighborhood High School,2
23,2015-16,01M450,1,2,East Side Community School,16
24,2015-16,01M458,1,1,Forsyth Satellite Academy,1
25,2015-16,01M509,1,1,Marta Valle High School,4
26,2015-16,01M515,1,1,Lower East Side Preparatory High School,3
27,2015-16,01M539,1,2,"New Explorations into Science, Technology and Math High School",3
28,2015-16,01M650,1,1,Cascades High School,2
29,2015-16,01M696,1,2,Bard High School Early College,2
30,2015-16,01M839,1,2,Tompkins Square Middle School,0
31,2015-16,02M001,2,1,P.S. 001 Alfred E. Smith,26
32,2015-16,02M002,2,1,P.S. 002 Meyer London,38
33,2015-16,02M003,2,3,P.S. 003 Charrette School,39
34,2015-16,02M006,2,4,P.S. 006 Lillie D. Blake,30
35,2015-16,02M011,2,3,P.S. 011 William T. Harris,43
36,2015-16,02M033,2,3,P.S. 033 Chelsea Prep,27
37,2015-16,02M040,2,2,P.S. 040 Augustus Saint-Gaudens,27
38,2015-16,02M041,2,3,P.S. 041 Greenwich Village,35
39,2015-16,02M042,2,1,P.S. 042 Benjamin Altman,39
40,2015-16,02M047,2,2,47 The American Sign Language and English Secondary School,1
41,2015-16,02M051,2,3,P.S. 051 Elias Howe,19
42,2015-16,02M059,2,4,P.S. 059 Beekman Hill International,28
43,2015-16,02M077,2,5,P.S. 77 Lower Lab School,13
44,2015-16,02M089,2,1,P.S. 89,22
45,2015-16,02M104,2,2,J.H.S. 104 Simon Baruch,2
46,2015-16,02M111,2,3,P.S. 111 Adolph S. Ochs,0
47,2015-16,02M114,2,5,East Side Middle School,1
48,2015-16,02M116,2,2,P.S. 116 Mary Lindley Murray,31
49,2015-16,02M124,2,1,P.S. 124 Yung Wing,35
50,2015-16,02M126,2,1,P.S. 126 Jacob August Riis,3
51,2015-16,02M130,2,1,P.S. 130 Hernando De Soto,37
52,2015-16,02M131,2,1,M.S. 131,1
53,2015-16,02M135,2,1,The Urban Assembly School for Emergency Management,2
54,2015-16,02M139,2,3,Stephen T. Mather Building Arts & Craftsmanship High School,0
55,2015-16,02M150,2,1,P.S. 150,6
56,2015-16,02M151,2,5,Yorkville Community School,31
57,2015-16,02M158,2,5,P.S. 158 Bayard Taylor,32
58,2015-16,02M167,2,4,J.H.S. 167 Robert F. Wagner,1
59,2015-16,02M177,2,5,Yorkville East Middle School,0
60,2015-16,02M183,2,5,P.S. 183 Robert L. Stevenson,24
61,2015-16,02M198,2,5,P.S. 198 Isador E. Ida Straus,26
62,2015-16,02M212,2,3,P.S. 212 Midtown West,3
63,2015-16,02M217,2,5,P.S./I.S. 217 Roosevelt Island,21
64,2015-16,02M225,2,5,Ella Baker School,1
65,2015-16,02M234,2,1,P.S. 234 Independence School,38
66,2015-16,02M255,2,2,M.S. 255 Salk School of Science,0
67,2015-16,02M260,2,2,M.S. 260 Clinton School Writers & Artists,2
68,2015-16,02M267,2,4,"East Side Elementary School, PS 267",22
69,2015-16,02M276,2,1,Battery Park City School,1
70,2015-16,02M280,2,1,Manhattan Early College School for Advertising,1
71,2015-16,02M281,2,4,The River School,10
72,2015-16,02M282,2,1,Urban Assembly Maker Academy,2
73,2015-16,02M288,2,3,Food and Finance High School,3
74,2015-16,02M289,2,1,I.S. 289,0
75,2015-16,02M290,2,5,P.S. 290 Manhattan New School,1
76,2015-16,02M294,2,1,Essex Street Academy,8
77,2015-16,02M296,2,3,High School of Hospitality Management,7
