,school_year,school_dbn,community_school_district,city_council_district,school_level,full_time_health_teachers,f_status_health_teachers,itinerant_health_teachers,sum_of_f_status_and_itinerant,total_part_time_and_full
0,2015-16,01M015,1,2,Elementary,0,0,0,0,0
1,2015-16,01M019,1,2,Elementary,0,0,0,0,0
2,2015-16,01M020,1,1,Elementary,0,0,0,0,0
3,2015-16,01M034,1,2,K-8,0,0,0,0,0
4,2015-16,01M063,1,2,Elementary,0,0,0,0,0
5,2015-16,01M064,1,2,Elementary,0,0,0,0,0
6,2015-16,01M110,1,1,Elementary,0,0,0,0,0
7,2015-16,01M134,1,1,Elementary,0,0,0,0,0
8,2015-16,01M137,1,1,Elementary,0,0,0,0,0
9,2015-16,01M140,1,1,K-8,0,0,0,0,0
10,2015-16,01M142,1,1,Elementary,0,0,0,0,0
11,2015-16,01M184,1,1,K-8,0,0,0,0,0
12,2015-16,01M188,1,2,K-8,0,0,0,0,0
13,2015-16,01M292,1,1,Secondary School,0,0,0,0,0
14,2015-16,01M301,1,2,Junior High-Intermediate-Middle,0,0,0,0,0
15,2015-16,01M315,1,2,Elementary,0,0,0,0,0
16,2015-16,01M332,1,1,Junior High-Intermediate-Middle,0,0,0,0,0
17,2015-16,01M345,1,1,Junior High-Intermediate-Middle,0,0,0,0,0
18,2015-16,01M361,1,2,Elementary,0,0,0,0,0
19,2015-16,01M363,1,2,Elementary,0,0,0,0,0
20,2015-16,01M364,1,2,Elementary,0,0,0,0,0
21,2015-16,01M378,1,1,Junior High-Intermediate-Middle,0,0,0,0,0
22,2015-16,01M448,1,1,High School,0,0,0,0,0
23,2015-16,01M450,1,2,Secondary School,0,0,0,0,0
24,2015-16,01M458,1,1,High School,0,0,0,0,0
25,2015-16,01M509,1,1,High School,0,0,0,0,0
26,2015-16,01M515,1,1,High School,0,0,0,0,0
27,2015-16,01M539,1,2,K-12 All Grades,1,0,0,0,1
28,2015-16,01M650,1,1,High School,0,0,0,0,0
29,2015-16,01M696,1,2,High School,0,0,0,0,0
30,2015-16,01M839,1,2,Junior High-Intermediate-Middle,0,0,0,0,0
31,2015-16,02M001,2,1,Elementary,0,0,0,0,0
32,2015-16,02M002,2,1,Elementary,0,0,0,0,0
33,2015-16,02M003,2,3,Elementary,0,0,0,0,0
34,2015-16,02M006,2,4,Elementary,0,0,0,0,0
35,2015-16,02M011,2,3,Elementary,0,0,0,0,0
36,2015-16,02M033,2,3,Elementary,0,0,0,0,0
37,2015-16,02M040,2,2,Elementary,0,0,0,0,0
38,2015-16,02M041,2,3,Elementary,0,0,0,0,0
39,2015-16,02M042,2,1,Elementary,0,0,0,0,0
40,2015-16,02M047,2,2,High School,0,0,0,0,0
41,2015-16,02M051,2,3,Elementary,0,0,0,0,0
42,2015-16,02M059,2,4,Elementary,0,0,0,0,0
43,2015-16,02M077,2,5,Elementary,1,0,0,0,1
