,city_council_district,of_teachers_assigned_to_teach_health
0,1,370
1,2,229
2,3,412
3,4,97
4,5,166
5,6,272
6,7,191
7,8,483
8,9,202
9,10,155
10,11,305
11,12,265
12,13,263
13,14,230
14,15,426
15,16,297
16,17,612
17,18,449
18,19,492
19,20,314
20,21,187
21,22,201
22,23,552
23,24,353
24,25,359
25,26,269
26,27,300
27,28,282
28,29,190
29,30,227
30,31,384
31,32,276
32,33,341
33,34,341
34,35,209
35,36,267
36,37,219
37,38,446
38,39,353
39,40,241
40,41,262
41,42,268
42,43,321
43,44,238
44,45,129
45,46,345
46,47,403
47,48,363
48,49,283
49,50,246
50,51,312
