,community_school_district,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_15_16_june_and_august,of_15_16_june_and_august_1,_2
0,1,3254,2578,0.7922557,766,765,0.9986945
1,2,34521,24742,0.7167231,7374,7324,0.9932194
2,3,8651,4380,0.5062999,1874,1874,1.0
3,4,3632,2116,0.5825991,790,789,0.9987342
4,5,3621,1907,0.5266501,712,707,0.9929775
5,6,5205,2732,0.5248799,938,936,0.9978678
6,7,6818,4737,0.6947785,1152,1147,0.9956597
7,8,7060,4793,0.6788952,1143,1138,0.9956256
8,9,8210,5337,0.6500609,1543,1543,1.0
9,10,15196,9198,0.6052909,3134,3133,0.9996809
10,11,8946,5420,0.6058574,1728,1728,1.0
11,12,6107,4324,0.7080399,1044,1042,0.9980843
12,13,11103,7171,0.6458615,2627,2621,0.997716
13,14,6590,4763,0.7227618,1414,1412,0.9985856
14,15,5802,3527,0.6078938,1099,1082,0.9845314
15,16,1743,1006,0.5771658,282,281,0.9964539
16,17,7677,4920,0.6408753,1568,1567,0.9993622
17,18,4344,3041,0.7000461,808,808,1.0
18,19,4919,3423,0.6958731,928,928,1.0
19,20,12575,6332,0.5035388,2327,2326,0.9995703
20,21,11314,7639,0.6751812,2115,2114,0.9995272
21,22,9348,6456,0.690629,2111,2107,0.9981052
22,23,1674,1359,0.811828,376,375,0.9973404
23,24,13212,7930,0.6002119,2651,2650,0.9996228
24,25,9675,5777,0.5971059,1880,1880,1.0
25,26,13622,9119,0.6694318,3031,3028,0.9990102
26,27,9528,5240,0.549958,1995,1994,0.9994987
27,28,14832,10051,0.6776564,3177,3146,0.9902424
28,29,4353,2917,0.6701126,809,808,0.9987639
29,30,9365,4628,0.4941805,1806,1806,1.0
30,31,17324,10421,0.6015354,3705,3687,0.9951417
31,32,2351,1579,0.6716291,499,499,1.0
32,75,8358,1204,0.1440536,112,110,0.9821429
