,x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,age,primary_fur_color,highlight_fur_color,location,above_ground_sighter,other_interactions,other_activities,color_notes,specific_location,:@computed_region_efsh_h5xi
0,-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,10142018,3,+,False,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9561344937861, 40.7940823884086]}",19,4,19,13,,,,,,,,,,
1,-73.9570437717691,40.7948509408039,37E-PM-1006-03,37E,PM,10062018,3,Gray+Cinnamon,True,False,False,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9570437717691, 40.794850940803904]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,me,,,,
2,-73.9768311751004,40.7667178072558,2E-AM-1010-03,02E,AM,10102018,3,Cinnamon+,False,False,True,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9768311751004, 40.76671780725581]}",19,4,19,13,Adult,Cinnamon,,Above Ground,4,,,,,
3,-73.9757249834141,40.7697032606755,5D-PM-1018-05,05D,PM,10182018,5,Gray+,False,False,True,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9757249834141, 40.7697032606755]}",19,4,19,13,Juvenile,Gray,,Above Ground,3,,,,,
4,-73.9593126695714,40.797533370163,39B-AM-1018-01,39B,AM,10182018,1,+,False,False,False,False,False,True,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9593126695714, 40.797533370163]}",19,4,19,13,,,,Above Ground,,,unknown,,,
5,-73.9565700386162,40.7902561000937,33H-AM-1019-02,33H,AM,10192018,2,Gray+Cinnamon,False,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9565700386162, 40.7902561000937]}",19,4,19,13,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,,wrestling with mother,,,
6,-73.9719735582476,40.7693045133578,6G-PM-1020-02,06G,PM,10202018,2,Gray+,True,True,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9719735582476, 40.7693045133578]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
7,-73.9602609920814,40.7942883045566,35C-PM-1013-03,35C,PM,10132018,3,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9602609920814, 40.79428830455661]}",19,4,19,13,,Gray,Cinnamon,Ground Plane,FALSE,,,,,
8,-73.9770718586754,40.7729752391435,7B-AM-1008-09,07B,AM,10082018,9,Gray+,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9770718586754, 40.7729752391435]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
9,-73.9596413903948,40.7903128889029,32E-PM-1017-14,32E,PM,10172018,14,Gray+,False,False,False,True,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9596413903948, 40.7903128889029]}",19,4,19,13,Adult,Gray,,,,,,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,
10,-73.9702676472613,40.7762126854894,13E-AM-1017-05,13E,AM,10172018,5,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9702676472613, 40.7762126854894]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,,,,,on tree stump,
11,-73.9683613516225,40.7725908847499,11H-AM-1010-03,11H,AM,10102018,3,Cinnamon+White,False,False,False,False,True,False,False,False,False,True,False,True,False,"{'type': 'Point', 'coordinates': [-73.9683613516225, 40.7725908847499]}",19,4,19,13,Adult,Cinnamon,White,,,,,,,
12,-73.9541201789795,40.7931811701082,36H-AM-1010-02,36H,AM,10102018,2,Gray+,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9541201789795, 40.7931811701082]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,just outside hectare,,
13,-73.9582694312289,40.7917367820255,33F-AM-1008-02,33F,AM,10082018,2,Gray+,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9582694312289, 40.7917367820255]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
14,-73.9674285955293,40.7829723919744,21C-PM-1006-01,21C,PM,10062018,1,Gray+,False,False,False,False,False,False,False,False,True,True,False,False,False,"{'type': 'Point', 'coordinates': [-73.9674285955293, 40.7829723919744]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
15,-73.9722500196844,40.7742879599026,11D-AM-1010-03,11D,AM,10102018,3,Gray+Cinnamon,False,False,True,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9722500196844, 40.7742879599026]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,30,,grooming,,,
16,-73.9695063535333,40.7823507678183,20B-PM-1013-05,20B,PM,10132018,5,Gray+White,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9695063535333, 40.7823507678183]}",19,4,19,13,Adult,Gray,White,Ground Plane,FALSE,,,,,
17,-73.9532170504865,40.7919669739962,36I-PM-1007-01,36I,PM,10072018,1,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9532170504865, 40.7919669739962]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
18,-73.9768603630674,40.7702795904962,5C-PM-1010-09,05C,PM,10102018,9,Cinnamon+Gray,True,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9768603630674, 40.7702795904962]}",19,4,19,13,Adult,Cinnamon,Gray,Ground Plane,FALSE,,,,,
19,-73.9706105896967,40.7698124821507,7H-AM-1006-05,07H,AM,10062018,5,Gray+Cinnamon,False,True,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9706105896967, 40.7698124821507]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,10,,,,,
20,-73.9703781726172,40.7787526130321,16C-PM-1018-03,16C,PM,10182018,3,"Gray+Cinnamon, White",True,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9703781726172, 40.7787526130321]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Above Ground,6,,,,,
21,-73.9703925210471,40.7765032004992,14E-AM-1008-23,14E,AM,10082018,23,Gray+,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9703925210471, 40.7765032004992]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,walking,,,
22,-73.9638179439747,40.7924173263904,32A-PM-1013-03,32A,PM,10132018,3,Gray+Cinnamon,False,False,False,True,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9638179439747, 40.7924173263904]}",19,4,19,13,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,,,,,
23,-73.9584070974734,40.7913812490557,33F-AM-1008-01,33F,AM,10082018,1,Gray+,False,False,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9584070974734, 40.7913812490557]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,moving slowly,,,
24,-73.9671130680114,40.7784859700171,17F-AM-1007-07,17F,AM,10072018,7,Gray+White,True,False,False,False,False,False,False,False,True,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9671130680114, 40.7784859700171]}",19,4,19,13,Adult,Gray,White,Above Ground,24,,,,,
25,-73.9649866016038,40.7764929694457,16I-AM-1008-01,16I,AM,10082018,1,"Cinnamon+Gray, White",False,False,False,False,True,False,False,False,False,True,False,True,False,"{'type': 'Point', 'coordinates': [-73.9649866016038, 40.7764929694457]}",19,4,19,13,Adult,Cinnamon,"Gray, White",Ground Plane,FALSE,,,,,
26,-73.9670628558161,40.7734991420941,12I-AM-1013-01,12I,AM,10132018,1,Cinnamon+White,False,False,False,False,False,False,False,False,False,True,False,False,True,"{'type': 'Point', 'coordinates': [-73.9670628558161, 40.77349914209411]}",19,4,19,13,Adult,Cinnamon,White,Ground Plane,FALSE,,sitting,,on tree roots,
27,-73.958736593111,40.7908524370626,32F-PM-1008-07,32F,PM,10082018,7,Gray+,True,True,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.958736593111, 40.7908524370626]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
28,-73.9671786715256,40.7867352791232,25A-AM-1013-04,25A,AM,10132018,4,Gray+White,False,False,False,False,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9671786715256, 40.7867352791232]}",19,4,19,13,,Gray,White,Ground Plane,FALSE,,,,,
29,-73.9692943291611,40.7769536102488,15E-AM-1013-01,15E,AM,10132018,1,Gray+White,True,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9692943291611, 40.7769536102488]}",19,4,19,13,Adult,Gray,White,Ground Plane,FALSE,,,,,
30,-73.9540054100539,40.7952445999836,39G-PM-1013-06,39G,PM,10132018,6,Gray+Cinnamon,True,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9540054100539, 40.7952445999836]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
31,-73.9576530157255,40.7868659490397,29I-PM-1007-01,29I,PM,10072018,1,Gray+Cinnamon,False,False,False,True,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9576530157255, 40.7868659490397]}",19,4,19,13,,Gray,Cinnamon,Ground Plane,FALSE,,,,,
32,-73.9738033257473,40.7711846894166,7E-AM-1006-02,07E,AM,10062018,2,Gray+,False,False,False,True,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9738033257473, 40.7711846894166]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,under a tree,
33,-73.9704402681017,40.7798965621203,17C-PM-1013-05,17C,PM,10132018,5,Gray+,False,False,False,True,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9704402681017, 40.77989656212031]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,eating (ate upside down on a tree — #jealous),,,
