,street_1,street_2,curb_cut,slope_inch,ramp_width,lip_bump_measurement_in_inches,object_barriers,barriers_above,crumbling_concrete,center_cut,detectable_warnings,no_curb_cut,led_to_pot_hole
0,Broadway,14th ,NW1,1,59.0,0.5,NO,NO,,,,,
1,Broadway,14th ,NW2,1.5,58.0,0.5,NO,NO,,,,,
2,Broadway,14th ,NE1,2.3,44.0,NO,NO,NO,YES,,,,
3,Broadway,14th ,NE2,2,45.0,NO,NO,NO,,,,,
4,Broadway,14th ,SW1,1,104.0,4.5,NO,DRAINAGE,,YES,,,
5,Broadway,14th ,SW2,CENTER CUT,,,,,,,,,
6,Broadway,14th ,SE1,2.2,58.0,0.5,NO,NO,YES,,,,
7,Broadway,14th ,SE2,2,97.0,,NO,NO,YES,,,,
8,Broadway,15th ,NW1,1,60.0,1,BROKEN CONCRETE,NO,YES,,YES,,
9,Broadway,15th ,NW2,,,,,,,,,,
10,Broadway,15th ,NE1,NO CURB CUT,,,,,YES,,YES,,
11,Broadway,15th ,NE2,NO CURB CUT,,,,NO,,,,,
12,Broadway,15th ,SW1,1,60.0,0.5,,,,,YES,,
13,Broadway,15th ,SW2,,,,,NO,,,,,
14,Broadway,15th ,SE1,1,53.0,0.5,,NO,YES,,YES,,
15,Broadway,15th ,SE2,2,57.0,0.5,UNEVEN CURB CUT ,NO,YES,,YES,,
16,Broadway,16th ,NW1,2,72.0,0,NO,NO,,,TARNISHED,,
17,Broadway,16th ,NW2,,,,,,,,,,
18,Broadway,16th ,NE1,1,50.0,0.5,NO,NO,,,YES ,,
19,Broadway,16th ,NE2,0.5,55.0,0,NO,NO,,,YES ,,
20,Broadway,16th ,SW1,2.5,71.0,0.5,NO,NO,,,TARNISED ,,
21,Broadway,16th ,SW2,,,,,,,,,,
22,Broadway,16th ,SE1,3.5,43.0,0.5,NO,NO,,,YES,,
23,Broadway,16th ,SE2,4.5,35.0,0.5,NO,NO,,,YES,,
24,Broadway,17th ,NW1,1.5,56.5,1.5,,,Y,,,,
25,Broadway,17th ,NW2,2.1,74.5,,,,,,,,
26,Broadway,17th ,NE1,2.1,48.0,,,,Y,,,,
27,Broadway,17th ,NE2,2.1,47.5,,,,,,,,
28,Broadway,17th ,SW1,1.8,69.5,0.5,,,,,NO,,
29,Broadway,17th ,SW2,1.7,55.0,0.5,,,,,,,
30,Broadway,17th ,SE1,2.7,72.0,,,,,,YES,,
31,Broadway,17th ,SE2,2.7,72.0,,,,,,YES,,
32,Broadway,18th ,NW1,,61.0,1,,,,,,,
33,Broadway,18th ,NW2,,,,,,,,,Yes,
34,Broadway,18th ,NE1,,,,,,,,,Yes,
35,Broadway,18th ,NE2,3.1,83.0,2,,,,,,,
36,Broadway,18th ,SW1,4,59.0,,,,,,,,
37,Broadway,18th ,SW2,4,59.0,,,,,,,,
38,Broadway,18th ,SE1,2.5,57.0,,,,,,,,
39,Broadway,18th ,SE2,2.5,57.0,,,,,,NO,,
40,Broadway,19th ,NW1,,,,POLE,,,,,YES,
41,Broadway,19th ,NW2,,,,POLE,,,,,YES,
42,Broadway,19th ,NE1,,,,,,,,,YES,
43,Broadway,19th ,NE2,,,,,,,,,YES,
44,Broadway,19th ,SW1,3.8,54.0,2,,,,YES,,,
45,Broadway,19th ,SW2,,,,,,,,,,
46,Broadway,19th ,SE1,,,,,,,,,YES,
47,Broadway,19th ,SE2,,,,,,,,,YES,
48,Broadway,20th ,NW1,1.5,79.0,1,,,,,NO,,
49,Broadway,20th ,NW2,3.1,81.0,2,,,,,NO,,
50,Broadway,20th ,NE1,,,,,,,,,YES,
51,Broadway,20th ,NE2,,,,,,,,,Yes,
52,Broadway,20th ,SW1,,,,,,,,,Yes,
53,Broadway,20th ,SW2,,,,,,,,,Yes,
54,Broadway,20th ,SE1,,,,,,,,,Yes,
55,Broadway,20th ,SE2,,,,,,,,,Yes,
56,Broadway,21st ,NW1,3.5,80.0,,,,,YES,NO,,YES
57,Broadway,21st ,NW2,,,,,,,,,,
58,Broadway,21st ,NE1,2.9,86.0,,,,,,,,
59,Broadway,21st ,NE2,2.9,86.0,1,,,,,,,
60,Broadway,21st ,SW1,2.3,75.0,,,,YES,,,,
61,Broadway,21st ,SW2,2.3,75.0,,,,,,,,
62,Broadway,21st ,SE1,3.7,69.0,2,POLE,,YES,,,,
63,Broadway,21st ,SE2,2.8,102.0,1,,,,,,,
64,Broadway,22nd ,NW1,2.8,48.0,,,,,,,,
65,Broadway,22nd ,NW2,2.8,48.0,,,,,,NO,,
66,Broadway,22nd ,NE1,2.6,70.0,,,,,,,,
67,Broadway,22nd ,NE2,2.6,70.0,,,,,,,,
68,Broadway,22nd ,SW1,1.9,65.5,,,,,,,,
69,Broadway,22nd ,SW2,1.9,65.5,,,,1,,,,YES
70,Broadway,22nd ,SE1,1.6,52.0,,,,2,,,,
71,Broadway,22nd ,SE2,1.6,52.0,,,,,,,,YES
72,Broadway,23rd ,NW1,3,48.0,0.2,,,YES,,NO,,
73,Broadway,23rd ,NW2,3,48.0,,,,,,NO,,
74,Broadway,23rd ,NE1,3,48.0,,,,,,NO,,
75,Broadway,23rd ,NE2,3,48.0,,,,,,NO,,
76,Broadway,23rd ,SW1,3,48.0,,,,,,NO,,
77,Broadway,23rd ,SW2,3,48.0,,,,,,NO,,
78,Broadway,23rd ,SE1,4,93.0,1.5,,,YES,,,,
79,Broadway,23rd ,SE2,4,93.0,0.2,,,YES,,,,
80,Broadway,24th ,NW1,,,,,,,,,,
81,Broadway,24th ,NW2,,,,,,,,,,
82,Broadway,24th ,NE1,,,,,,,,,,
83,Broadway,24th ,NE2,,,,,,,,,,
84,Broadway,24th ,SW1,,,,,,,,,,
85,Broadway,24th ,SW2,,,,,,,,,,
86,Broadway,24th ,SE1,,,,,,,,,,
87,Broadway,24th ,SE2,,,,,,,,,,
88,Broadway,25th ,NW1,1.625,85.0,,,,YES,,NO,,
89,Broadway,25th ,NW2,,,,,,,,,YES,
90,Broadway,25th ,NE1,,,,,,,,,YES,
91,Broadway,25th ,NE2,,,,,,,,,YES,
92,Broadway,25th ,SW1,7.9,85.0,1.8,STREET LIGHT,,YES,,NO,,
93,Broadway,25th ,SW2,,,,,,,YES,,,
94,Broadway,25th ,SE1,2.625,,,GARBAGE TRASH CAN,,,YES,,,
95,Broadway,25th ,SE2,,,,,,,,,,
96,Broadway,26th ,NW1,4.875,48.0,,,,,,,,
97,Broadway,26th ,NW2,3.625,48.5,,,,,,,,
98,Broadway,26th ,NE1,2,59.0,,SEWER,,,YES,,,
99,Broadway,26th ,NE2,,,,,,,,,,
100,Broadway,26th ,SW1,2.5,64.0,,METAL PLATE,,,,,,
101,Broadway,26th ,SW2,2.625,59.375,,SEWER,,,,,,
102,Broadway,26th ,SE1,3.125,54.5,,TRASH CAN,,,,,,
103,Broadway,26th ,SE2,2.75,53.0,,TRASH CAN,,YES,,,,
104,Broadway,27th ,NW1,3,49.0,,,,,,NO,,
105,Broadway,27th ,NW2,2,46.0,1.5,,,,,NO,,
106,Broadway,27th ,NE1,2,51.0,2.25,,SEWER,YES,,NO,,
107,Broadway,27th ,NE2,1.5,48.0,,,CRACK,YES,,NO,,
108,Broadway,27th ,SW1,2.2,46.0,,,,,,NO,,
109,Broadway,27th ,SW2,2.6,48.0,,,,,YES,NO,,
110,Broadway,27th ,SE1,,,,,,,,,,
111,Broadway,27th ,SE2,1.25,68.0,,,SEWER,YES,,NO,,
112,Broadway,28th ,NW1,,,,,,,,,,
113,Broadway,28th ,NW2,,,,,,,,,,
114,Broadway,28th ,NE1,,,,,,,,,,
115,Broadway,28th ,NE2,,,,,,,,,,
116,Broadway,28th ,SW1,,,,,,,,,,
117,Broadway,28th ,SW2,,,,,,,,,,
118,Broadway,28th ,SE1,,,,,,,,,,
119,Broadway,28th ,SE2,,,,,,,,,,
120,Broadway,29th ,NW1,,,,,,,,,,
121,Broadway,29th ,NW2,,,,,,,,,,
122,Broadway,29th ,NE1,,,,,,,,,,
123,Broadway,29th ,NE2,,,,,,,,,,
124,Broadway,29th ,SW1,,,,,,,,,,
125,Broadway,29th ,SW2,,,,,,,,,,
126,Broadway,29th ,SE1,,,,,,,,,,
127,Broadway,29th ,SE2,,,,,,,,,,
128,Broadway,30th ,NW1,,,,,,,,,,
129,Broadway,30th ,NW2,,,,,,,,,,
130,Broadway,30th ,NE1,,,,,,,,,,
131,Broadway,30th ,NE2,,,,,,,,,,
132,Broadway,30th ,SW1,,,,,,,,,,
133,Broadway,30th ,SW2,,,,,,,,,,
134,Broadway,30th ,SE1,,,,,,,,,,
135,Broadway,30th ,SE2,,,,,,,,,,
136,Broadway,31st ,NW1,1,36.0,1,,,YES,,NO,,
137,Broadway,31st ,NW2,2,36.0,1.5,,,YES,,NO,,
138,Broadway,31st ,NE1,2.75,36.0,,,,,,NO,,
139,Broadway,31st ,NE2,2.5,36.0,,,,,,NO,,
140,Broadway,31st ,SW1,4,36.0,,,,YES,,NO,,YES
141,Broadway,31st ,SW2,4.5,36.0,,,,,,NO,,
142,Broadway,31st ,SE1,,,,,,,,,NONE,
143,Broadway,31st ,SE2,,,,,,,,,NONE,
144,Broadway,32nd ,NW1,1,36.0,YES,,,,,NO,,
145,Broadway,32nd ,NW2,1,36.0,YES,,,,,NO,,
146,Broadway,32nd ,NE1,1,36.0,1,,,,,NO,,
147,Broadway,32nd ,NE2,2,36.0,0.5,,,,,NO,,
148,Broadway,32nd ,SW1,1,36.0,0.5,,,,YES,NO,,
149,Broadway,32nd ,SW2,,,,,,,,,,
150,Broadway,32nd ,SE1,2.5,36.0,NO,,,,YES,NO,,
151,Broadway,32nd ,SE2,,,,,,,,,,
152,Broadway,33rd ,NW1,2,36.0,NO,,,,YES,NO,,
153,Broadway,33rd ,NW2,CENTER CUT,,,,,,,,,
154,Broadway,33rd ,NE1,,,,,,,,,NONE,
155,Broadway,33rd ,NE2,2,36.0,YES,,,,,NO,,
156,Broadway,33rd ,SW1,2,36.0,NO (1.5),,,,YES,NO,,
157,Broadway,33rd ,SW2,CENTER CUT,,,,,,,,,
158,Broadway,33rd ,SE1,2,36.0,NO,,,,,NO,,YES
159,Broadway,33rd ,SE2,2,36.0,YES,,,,,NO,,YES
160,Broadway,34th ,NW1,2,48.0,,,,,YES,NO,,
161,Broadway,34th ,NW2,,,,,,,,,,
162,Broadway,34th ,NE1,2,48.0,1,,,,YES,NO,,
163,Broadway,34th ,NE2,,,,,,,,,,
164,Broadway,34th ,SW1,1.15,48.0,,,,,YES,NO,,
165,Broadway,34th ,SW2,,,,,,,,,,
166,Broadway,34th ,SE1,2,48.0,1,,,YES,YES,NO,,YES
167,Broadway,34th ,SE2,,,,,,,,,,
168,Broadway,35th ,NW1,2,48.0,,,,YES,,,,
169,Broadway,35th ,NW2,2,48.0,,,,,,,,
170,Broadway,35th ,NE1,2,48.0,,,,,,,,
171,Broadway,35th ,NE2,2,48.0,,,,,,,,
172,Broadway,35th ,SW1,,,,,,,,,YES,
173,Broadway,35th ,SW2,,,,,,,,,,
174,Broadway,35th ,SE1,2,48.0,,,,,YES,,,
175,Broadway,35th ,SE2,,,,,,,,,,
176,Broadway,36th ,NW1,,,,,,,,,,
177,Broadway,36th ,NW2,,,,,,,,,,
178,Broadway,36th ,NE1,,,,,,,,,,
179,Broadway,36th ,NE2,,,,,,,,,,
180,Broadway,36th ,SW1,,,,,,,,,,
181,Broadway,36th ,SW2,,,,,,,,,,
182,Broadway,36th ,SE1,,,,,,,,,,
183,Broadway,36th ,SE2,,,,,,,,,,
184,Broadway,37th ,NW1,,,,,,,,,,
185,Broadway,37th ,NW2,,,,,,,,,,
186,Broadway,37th ,NE1,,,,,,,,,,
187,Broadway,37th ,NE2,,,,,,,,,,
188,Broadway,37th ,SW1,,,,,,,,,,
189,Broadway,37th ,SW2,,,,,,,,,,
190,Broadway,37th ,SE1,,,,,,,,,,
191,Broadway,37th ,SE2,,,,,,,,,,
192,Broadway,38th ,NW1,,,,,,,,,,
193,Broadway,38th ,NW2,,,,,,,,,,
194,Broadway,38th ,NE1,,,,,,,,,,
195,Broadway,38th ,NE2,,,,,,,,,,
196,Broadway,38th ,SW1,,,,,,,,,,
197,Broadway,38th ,SW2,,,,,,,,,,
198,Broadway,38th ,SE1,,,,,,,,,,
199,Broadway,38th ,SE2,,,,,,,,,,
200,Broadway,39th ,NW1,,,,,,,,,,
