,__name_of_borough,name_of_center,center_address,zip,telephone_number,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,borough
0,Bronx,Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",10456,(718) 466-6072,40.831721,-73.903756,3.0,16.0,149.0,2004246.0,2026120007.0,Morrisania-Melrose                                                         ,Bronx
1,Bronx,Comprehensive Family Care Center,1265 Franklin Avenue,10456,(718) 579-2500 ,40.831025,-73.902698,3.0,16.0,149.0,2004246.0,2026120007.0,Morrisania-Melrose                                                         ,Bronx
2,Bronx,Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,10461,(718) 503-7714 ,,,,,,,,,Bronx
3,Bronx,Montefiore Family Health Center,360 East 193rd Street,10458, (718) 933-2400,40.863191,-73.891056,7.0,15.0,39901.0,2016318.0,2032750040.0,Bedford Park-Fordham North                                                 ,Bronx
4,Bronx,Montefiore Medical Group Comprehensive HCC,305 East 161st Street,10451,(718) 579-2597 ,40.825265,-73.917445,4.0,17.0,173.0,2115808.0,2024210045.0,East Concourse-Concourse Village                                           ,Bronx
5,Bronx,Morris Heights Health Center,Morris Heights Health Center,10453,(718) 716-4400 ,,,,,,,,,Bronx
6,Bronx,Soundview Health Center,731 White Plains Road,10473,(718) 589-2232 ,40.821254,-73.858098,9.0,18.0,16.0,2092716.0,2036000004.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,Bronx
7,Bronx,Urban Health Plan,1065 Southern Boulevard,10459, (718) 991-4833,40.825276,-73.891935,2.0,17.0,12701.0,2114609.0,2027270058.0,Hunts Point                                                                ,Bronx
8,Brooklyn,Bedford/Stuyvesant Family Health Center,1413 Fulton Street,11216,(718) 636-4500,40.680141,-73.94478,3.0,36.0,269.0,3053469.0,3018540052.0,Bedford                                                                    ,Brooklyn
9,Brooklyn,Brooklyn Plaza Medical Center,650 Fulton Street,11217,(718) 596-9896,40.686819,-73.975701,2.0,35.0,35.0,3059247.0,3021130022.0,Fort Greene                                                                ,Brooklyn
10,Brooklyn,Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,11212,(718) 345-5000 ,40.66552,-73.90968,16.0,41.0,924.0,3081790.0,3035600026.0,Brownsville                                                                ,Brooklyn
11,Brooklyn,Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,11206,(718) 388-0390,40.70552,-73.94464,1.0,34.0,505.0,3071335.0,3030790006.0,East Williamsburg                                                          ,Brooklyn
12,Brooklyn,Community Health Care Network ,Caribbean House Health Center,11225,(718) 778-0198 ,,,,,,,,,Brooklyn
13,Brooklyn,Community Health Care Network ,Dr. Betty Shabazz Health Center,11208,(718) 277-8303 ,,,,,,,,,Brooklyn
