,survey,question,year,prevalence,lower95_ci,upper95_ci
0,CHS,Health Insurance Coverage,2010,83.3,82.0,84.6
1,CHS,Health Insurance Coverage,2010,83.3,82.0,84.6
2,CHS,Did not get needed medical care,2010,10.3,9.4,11.4
3,CHS,Did not get needed medical care,2010,10.3,9.4,11.4
4,CHS,No Personal Doctor,2010,n/a,n/a,n/a
5,CHS,No Personal Doctor,2010,n/a,n/a,n/a
6,CHS,Drinks 1 or more sugar-sweetened beverages per day,2010,30.3,28.8,31.8
7,CHS,Drinks 1 or more sugar-sweetened beverages per day,2010,30.3,28.8,31.8
8,CHS,Smoking Status (current smokers),2010,14.0,12.9,15.3
9,CHS,Smoking Status (current smokers),2010,14.0,12.9,15.3
10,CHS,Binge Drinking,2010,n/a,n/a,n/a
11,CHS,Binge Drinking,2010,n/a,n/a,n/a
12,CHS,Obesity,2010,23.4,22.1,24.8
13,CHS,Obesity,2010,23.4,22.1,24.8
14,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2010,67.5,65.4,69.4
15,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2010,67.5,65.4,69.4
16,CHS,Self-reported Health Status (excellent/very good/good),2010,79.1,77.8,80.3
17,CHS,Self-reported Health Status (excellent/very good/good),2010,79.1,77.8,80.3
18,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2010,62.3,59.4,65.1
19,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2010,62.3,59.4,65.1
20,CHS,Health Insurance Coverage,2011,81.4,79.7,83.0
21,CHS,Health Insurance Coverage,2011,81.4,79.7,83.0
22,CHS,Did not get needed medical care,2011,10.7,9.6,12.0
23,CHS,Did not get needed medical care,2011,10.7,9.6,12.0
24,CHS,No Personal Doctor,2011,16.9,15.5,18.5
25,CHS,No Personal Doctor,2011,16.9,15.5,18.5
26,CHS,Drinks 1 or more sugar-sweetened beverages per day,2011,29.9,28.2,31.7
27,CHS,Drinks 1 or more sugar-sweetened beverages per day,2011,29.9,28.2,31.7
28,CHS,Smoking Status (current smokers),2011,14.8,13.5,16.3
29,CHS,Smoking Status (current smokers),2011,14.8,13.5,16.3
30,CHS,Binge Drinking,2011,17.9,16.4,19.6
31,CHS,Binge Drinking,2011,17.9,16.4,19.6
32,CHS,Obesity,2011,23.7,22.2,25.3
33,CHS,Obesity,2011,23.7,22.2,25.3
34,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2011,68.6,66.2,70.8
35,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2011,68.6,66.2,70.8
36,CHS,Self-reported Health Status (excellent/very good/good),2011,78.2,76.7,79.6
37,CHS,Self-reported Health Status (excellent/very good/good),2011,78.2,76.7,79.6
38,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2011,67.4,63.9,70.7
39,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2011,67.4,63.9,70.7
40,CHS,Health Insurance Coverage,2012,80.2,78.7,81.5
41,CHS,Health Insurance Coverage,2012,80.2,78.7,81.5
42,CHS,Did not get needed medical care,2012,11.1,10.1,12.2
43,CHS,Did not get needed medical care,2012,11.1,10.1,12.2
44,CHS,No Personal Doctor,2012,18.3,17.0,19.7
45,CHS,No Personal Doctor,2012,18.3,17.0,19.7
46,CHS,Drinks 1 or more sugar-sweetened beverages per day,2012,28.2,26.7,29.6
47,CHS,Drinks 1 or more sugar-sweetened beverages per day,2012,28.2,26.7,29.6
48,CHS,Smoking Status (current smokers),2012,15.5,14.4,16.8
49,CHS,Smoking Status (current smokers),2012,15.5,14.4,16.8
50,CHS,Binge Drinking,2012,19.6,18.2,20.9
51,CHS,Binge Drinking,2012,19.6,18.2,20.9
52,CHS,Obesity,2012,24.2,22.8,25.5
53,CHS,Obesity,2012,24.2,22.8,25.5
54,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2012,68.5,66.3,70.5
