,borough,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price,year
0,MANHATTAN,ALPHABET CITY,01 ONE FAMILY HOMES,1,593362,593362,593362,593362,2010
1,MANHATTAN,ALPHABET CITY,02 TWO FAMILY HOMES,1,1320000,1320000,1320000,1320000,2010
2,MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,900000,900000,900000,900000,2010
3,MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,500000,2875000,2875000,5250000,2010
4,MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,2,1306213,2603107,2603107,3900000,2010
5,MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,1,6400000,6400000,6400000,6400000,2010
6,MANHATTAN,CLINTON,01 ONE FAMILY HOMES,1,3850000,3850000,3850000,3850000,2010
7,MANHATTAN,EAST VILLAGE,01 ONE FAMILY HOMES,2,3100000,5800000,5800000,8500000,2010
8,MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,2,477500,2738750,2738750,5000000,2010
9,MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,3290000,3290000,3290000,3290000,2010
10,MANHATTAN,GRAMERCY,01 ONE FAMILY HOMES,2,2700000,6325000,6325000,9950000,2010
11,MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,4,5100000,13112500,13675000,20000000,2010
12,MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,11,4125000,7160455,6280000,13580000,2010
13,MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,5,2725000,5850000,3400000,12750000,2010
14,MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,7,2475000,4875000,5750000,6800000,2010
15,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY HOMES,5,200000,1105000,1550000,1650000,2010
16,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY HOMES,14,800000,1470635,1600000,2000000,2010
17,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY HOMES,14,595000,989633,961886,1650000,2010
18,MANHATTAN,HARLEM-EAST,02 TWO FAMILY HOMES,1,950000,950000,950000,950000,2010
19,MANHATTAN,HARLEM-EAST,03 THREE FAMILY HOMES,1,1340000,1340000,1340000,1340000,2010
20,MANHATTAN,HARLEM-UPPER,01 ONE FAMILY HOMES,3,450000,1216667,1200000,2000000,2010
21,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY HOMES,8,425000,906625,866078,1450000,2010
22,MANHATTAN,HARLEM-UPPER,03 THREE FAMILY HOMES,3,526050,847229,895637,1120000,2010
23,MANHATTAN,HARLEM-WEST,02 TWO FAMILY HOMES,1,450000,450000,450000,450000,2010
24,MANHATTAN,INWOOD,01 ONE FAMILY HOMES,1,600000,600000,600000,600000,2010
25,MANHATTAN,INWOOD,02 TWO FAMILY HOMES,2,235248,335888,335888,436527,2010
26,MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,2,900000,2075000,2075000,3250000,2010
27,MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,11999900,11999900,11999900,11999900,2010
28,MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,2,3000000,3237500,3237500,3475000,2010
29,MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,5250000,5250000,5250000,5250000,2010
30,MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,5,3130000,3696000,3850000,4200000,2010
31,MANHATTAN,MURRAY HILL,03 THREE FAMILY HOMES,3,1634291,2393097,2550000,2995000,2010
32,MANHATTAN,SOHO,01 ONE FAMILY HOMES,1,4000000,4000000,4000000,4000000,2010
33,MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,4250000,4250000,4250000,4250000,2010
34,MANHATTAN,SOUTHBRIDGE,01 ONE FAMILY HOMES,1,1550000,1550000,1550000,1550000,2010
35,MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,1,24065000,24065000,24065000,24065000,2010
36,MANHATTAN,UPPER EAST SIDE (59-79),01 ONE FAMILY HOMES,22,1715000,8728302,7625000,20000000,2010
37,MANHATTAN,UPPER EAST SIDE (59-79),02 TWO FAMILY HOMES,10,300000,9776000,10300000,19660000,2010
38,MANHATTAN,UPPER EAST SIDE (79-96),01 ONE FAMILY HOMES,12,2850000,8367085,9545000,18500000,2010
39,MANHATTAN,UPPER EAST SIDE (79-96),02 TWO FAMILY HOMES,7,3200000,11780714,4140000,44000000,2010
40,MANHATTAN,UPPER EAST SIDE (79-96),03 THREE FAMILY HOMES,1,3633333,3633333,3633333,3633333,2010
41,MANHATTAN,UPPER WEST SIDE (59-79),01 ONE FAMILY HOMES,5,6200000,11918062,7650000,19390312,2010
42,MANHATTAN,UPPER WEST SIDE (59-79),02 TWO FAMILY HOMES,4,3855000,5815394,5303288,8800000,2010
43,MANHATTAN,UPPER WEST SIDE (59-79),03 THREE FAMILY HOMES,1,6000000,6000000,6000000,6000000,2010
44,MANHATTAN,UPPER WEST SIDE (79-96),01 ONE FAMILY HOMES,4,3000000,4456250,4537500,5750000,2010
45,MANHATTAN,UPPER WEST SIDE (79-96),02 TWO FAMILY HOMES,5,3200000,4799000,4500000,8000000,2010
