,neighborhood,type_of_home,total_no_of_properties,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
0,BATH BEACH               ,01 ONE FAMILY HOMES                        ,547,19,155356,551466,500000,1500000
1,BATH BEACH               ,02 TWO FAMILY HOMES                        ,2031,52,150000,603588,615000,945000
2,BATH BEACH               ,03 THREE FAMILY HOMES                      ,837,20,500000,877756,896848,1180000
3,BAY RIDGE                ,01 ONE FAMILY HOMES                        ,3749,99,349500,752953,645000,2525000
4,BAY RIDGE                ,02 TWO FAMILY HOMES                        ,4548,97,150000,690439,710000,1300000
5,BAY RIDGE                ,03 THREE FAMILY HOMES                      ,685,7,375000,762857,730000,1300000
6,BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        ,825,23,150000,402858,310000,890854
7,BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        ,5762,186,165000,457947,449500,1550000
8,BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      ,3390,112,200000,492884,480000,1400000
9,BENSONHURST              ,01 ONE FAMILY HOMES                        ,1394,32,300000,596578,574500,1318000
10,BENSONHURST              ,02 TWO FAMILY HOMES                        ,4236,103,150000,684213,675000,1300000
11,BENSONHURST              ,03 THREE FAMILY HOMES                      ,1664,39,150000,732186,775000,1148586
12,BERGEN BEACH             ,01 ONE FAMILY HOMES                        ,1053,37,200000,655406,570000,2850000
13,BERGEN BEACH             ,02 TWO FAMILY HOMES                        ,879,33,366573,695892,710000,1377302
14,BERGEN BEACH             ,03 THREE FAMILY HOMES                      ,455,7,540000,654143,670000,750000
15,BOERUM HILL              ,01 ONE FAMILY HOMES                        ,166,1,1715000,1715000,1715000,1715000
16,BOERUM HILL              ,02 TWO FAMILY HOMES                        ,554,20,164000,917096,1102407,2150000
17,BOERUM HILL              ,03 THREE FAMILY HOMES                      ,287,5,1075000,1245000,1100000,1550000
18,BOROUGH PARK             ,01 ONE FAMILY HOMES                        ,2019,39,400000,675615,600000,1750000
19,BOROUGH PARK             ,02 TWO FAMILY HOMES                        ,6663,146,175000,690043,700000,1300500
20,BOROUGH PARK             ,03 THREE FAMILY HOMES                      ,2840,61,160000,782172,805000,1500000
21,BRIGHTON BEACH           ,01 ONE FAMILY HOMES                        ,278,3,305000,380500,350000,486500
22,BRIGHTON BEACH           ,02 TWO FAMILY HOMES                        ,560,12,178000,450375,408250,700000
23,BRIGHTON BEACH           ,03 THREE FAMILY HOMES                      ,309,4,487500,659375,700000,750000
24,BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES                        ,195,2,3200000,3350000,3350000,3500000
25,BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES                        ,261,6,865833,2306972,2000500,5000000
26,BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES                      ,69,2,275644,1792822,1792822,3310000
27,BROWNSVILLE              ,01 ONE FAMILY HOMES                        ,1491,14,168000,304083,296850,430960
28,BROWNSVILLE              ,02 TWO FAMILY HOMES                        ,1003,29,180500,486276,470000,1630921
29,BROWNSVILLE              ,03 THREE FAMILY HOMES                      ,229,9,420000,630512,602804,800000
30,BUSH TERMINAL            ,01 ONE FAMILY HOMES                        ,10,1,290000,290000,290000,290000
31,BUSH TERMINAL            ,02 TWO FAMILY HOMES                        ,208,4,500000,909500,619000,1900000
32,BUSH TERMINAL            ,03 THREE FAMILY HOMES                      ,65,1,590000,590000,590000,590000
33,BUSHWICK                 ,01 ONE FAMILY HOMES                        ,279,7,153114,327258,314320,435000
34,BUSHWICK                 ,02 TWO FAMILY HOMES                        ,3632,106,150000,397541,393265,750000
35,BUSHWICK                 ,03 THREE FAMILY HOMES                      ,1686,54,184548,446246,435000,722850
36,CANARSIE                 ,01 ONE FAMILY HOMES                        ,3023,61,152100,356136,371000,530000
37,CANARSIE                 ,02 TWO FAMILY HOMES                        ,8888,176,155000,450733,460000,750000
38,CANARSIE                 ,03 THREE FAMILY HOMES                      ,1458,15,199245,548592,580000,804417
39,CARROLL GARDENS          ,01 ONE FAMILY HOMES                        ,96,3,640000,988333,1075000,1250000
40,CARROLL GARDENS          ,02 TWO FAMILY HOMES                        ,569,7,300000,1422429,1250000,2800000
41,CARROLL GARDENS          ,03 THREE FAMILY HOMES                      ,627,5,333000,750600,710000,1345000
42,CLINTON HILL             ,01 ONE FAMILY HOMES                        ,149,6,324000,694393,613500,1156358
43,CLINTON HILL             ,02 TWO FAMILY HOMES                        ,656,17,360000,948343,950000,1655000
44,CLINTON HILL             ,03 THREE FAMILY HOMES                      ,402,9,695000,950286,925000,1455000
45,COBBLE HILL              ,01 ONE FAMILY HOMES                        ,120,1,1900000,1900000,1900000,1900000
46,COBBLE HILL              ,02 TWO FAMILY HOMES                        ,244,5,1300000,2771400,2300000,4900000
47,COBBLE HILL              ,03 THREE FAMILY HOMES                      ,229,3,800000,1600000,1945000,2055000
48,COBBLE HILL-WEST         ,01 ONE FAMILY HOMES                        ,13,1,750000,750000,750000,750000
49,COBBLE HILL-WEST         ,02 TWO FAMILY HOMES                        ,92,1,1050000,1050000,1050000,1050000
50,CONEY ISLAND             ,01 ONE FAMILY HOMES                        ,929,14,190000,348429,366500,420000
51,CONEY ISLAND             ,02 TWO FAMILY HOMES                        ,100,1,423657,423657,423657,423657
52,CONEY ISLAND             ,03 THREE FAMILY HOMES                      ,41,1,215000,215000,215000,215000
53,CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        ,1172,18,150000,599323,585000,1360000
54,CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        ,3537,74,155000,480499,497500,1200000
55,CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      ,1031,23,210000,571880,605952,815000
56,CYPRESS HILLS            ,01 ONE FAMILY HOMES                        ,913,17,175000,348697,350000,650475
57,CYPRESS HILLS            ,02 TWO FAMILY HOMES                        ,2849,75,175000,392561,388000,950000
58,CYPRESS HILLS            ,03 THREE FAMILY HOMES                      ,727,13,200000,339105,325000,600000
59,DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES                        ,31,1,712775,712775,712775,712775
60,DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES                        ,23,1,1290000,1290000,1290000,1290000
61,DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES                        ,31,3,1800000,4916367,1970000,10979100
62,DOWNTOWN-METROTECH       ,02 TWO FAMILY HOMES                        ,4,1,550000,550000,550000,550000
63,DYKER HEIGHTS            ,01 ONE FAMILY HOMES                        ,1972,50,253333,623627,619500,1140000
64,DYKER HEIGHTS            ,02 TWO FAMILY HOMES                        ,2272,46,361440,727288,731500,1065000
65,DYKER HEIGHTS            ,03 THREE FAMILY HOMES                      ,720,23,150000,760696,810000,1175000
66,EAST NEW YORK            ,01 ONE FAMILY HOMES                        ,3179,30,155000,300004,295000,525000
67,EAST NEW YORK            ,02 TWO FAMILY HOMES                        ,5961,150,160000,402949,418750,1200000
68,EAST NEW YORK            ,03 THREE FAMILY HOMES                      ,1987,79,153421,363551,350000,630000
69,FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES                        ,2040,36,162500,654700,600000,1600000
70,FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES                        ,2045,42,300000,569478,538286,1083500
71,FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES                      ,558,10,275000,592590,611250,743000
72,FLATBUSH-EAST            ,01 ONE FAMILY HOMES                        ,6672,116,150000,369598,377500,712500
73,FLATBUSH-EAST            ,02 TWO FAMILY HOMES                        ,5299,84,150000,417007,406288,1800000
74,FLATBUSH-EAST            ,03 THREE FAMILY HOMES                      ,1020,20,170000,500321,526347,725000
75,FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES                        ,818,21,205000,760319,850000,1290000
76,FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES                        ,829,9,151500,517539,535000,998000
77,FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES                      ,171,5,550000,667123,694500,715000
78,FLATBUSH-NORTH           ,01 ONE FAMILY HOMES                        ,970,12,211000,327500,320000,490000
79,FLATBUSH-NORTH           ,02 TWO FAMILY HOMES                        ,2009,39,154100,414696,410000,750000
80,FLATBUSH-NORTH           ,03 THREE FAMILY HOMES                      ,674,10,200000,449755,468050,626400
81,FLATLANDS                ,01 ONE FAMILY HOMES                        ,1771,25,187000,365605,375000,520000
82,FLATLANDS                ,02 TWO FAMILY HOMES                        ,1906,34,264181,460627,473500,600000
83,FLATLANDS                ,03 THREE FAMILY HOMES                      ,162,2,510000,520350,520350,530700
84,FORT GREENE              ,01 ONE FAMILY HOMES                        ,82,5,820000,1404000,1100000,2700000
85,FORT GREENE              ,02 TWO FAMILY HOMES                        ,476,13,375000,1234404,1050000,2395000
86,FORT GREENE              ,03 THREE FAMILY HOMES                      ,447,3,324480,429827,340000,625000
87,GERRITSEN BEACH          ,01 ONE FAMILY HOMES                        ,1627,31,180000,363148,385000,530000
88,GERRITSEN BEACH          ,02 TWO FAMILY HOMES                        ,248,8,280000,370875,361500,480000
89,GOWANUS                  ,02 TWO FAMILY HOMES                        ,555,11,300000,1052511,1086312,1700000
90,GOWANUS                  ,03 THREE FAMILY HOMES                      ,281,7,375300,1037900,1050000,1810000
91,GRAVESEND                ,01 ONE FAMILY HOMES                        ,1681,58,150000,483383,487500,820000
92,GRAVESEND                ,02 TWO FAMILY HOMES                        ,4158,120,240000,597386,594000,1300000
93,GRAVESEND                ,03 THREE FAMILY HOMES                      ,1636,33,180000,747085,750000,1188000
94,GREENPOINT               ,01 ONE FAMILY HOMES                        ,207,4,550000,734750,782000,825000
95,GREENPOINT               ,02 TWO FAMILY HOMES                        ,1217,18,440000,799386,715000,1600000
96,GREENPOINT               ,03 THREE FAMILY HOMES                      ,992,25,185000,688920,760000,1030000
97,KENSINGTON               ,01 ONE FAMILY HOMES                        ,283,6,375000,563950,589850,729000
98,KENSINGTON               ,02 TWO FAMILY HOMES                        ,643,9,300000,656125,620000,950000
99,KENSINGTON               ,03 THREE FAMILY HOMES                      ,252,4,570000,697500,700000,820000
100,MADISON                  ,01 ONE FAMILY HOMES                        ,2899,66,250000,559106,552500,1250000
101,MADISON                  ,02 TWO FAMILY HOMES                        ,1695,38,350000,596029,536000,1125000
102,MADISON                  ,03 THREE FAMILY HOMES                      ,218,5,300000,669600,700000,950000
103,MANHATTAN BEACH          ,01 ONE FAMILY HOMES                        ,739,18,320000,1090583,1017500,3250000
104,MANHATTAN BEACH          ,02 TWO FAMILY HOMES                        ,384,7,710000,1274714,1300000,2150000
105,MARINE PARK              ,01 ONE FAMILY HOMES                        ,4264,127,170000,439692,445000,703500
106,MARINE PARK              ,02 TWO FAMILY HOMES                        ,1589,32,306000,509806,509000,710800
107,MARINE PARK              ,03 THREE FAMILY HOMES                      ,117,1,462500,462500,462500,462500
108,MIDWOOD                  ,01 ONE FAMILY HOMES                        ,3489,58,307000,638043,617500,1500000
109,MIDWOOD                  ,02 TWO FAMILY HOMES                        ,1669,26,246890,660184,643750,1250000
110,MIDWOOD                  ,03 THREE FAMILY HOMES                      ,320,3,420000,678333,735000,880000
111,MILL BASIN               ,01 ONE FAMILY HOMES                        ,1268,32,448627,910266,800000,2050000
112,MILL BASIN               ,02 TWO FAMILY HOMES                        ,673,18,499000,662806,662500,860000
113,NAVY YARD                ,02 TWO FAMILY HOMES                        ,46,4,175000,271250,267500,375000
114,NAVY YARD                ,03 THREE FAMILY HOMES                      ,30,2,375000,517500,517500,660000
115,OCEAN HILL               ,01 ONE FAMILY HOMES                        ,194,7,170314,297545,279000,585000
116,OCEAN HILL               ,02 TWO FAMILY HOMES                        ,2269,66,160000,375302,383599,777314
117,OCEAN HILL               ,03 THREE FAMILY HOMES                      ,1364,93,162000,503947,568729,741687
