,neighborhood,type_of_home,total_no_of_properties,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
0,BATHGATE                 ,01 ONE FAMILY HOMES                        ,87,1,345752,345752,345752,345752
1,BATHGATE                 ,02 TWO FAMILY HOMES                        ,308,8,183028,327310,334750,415440
2,BATHGATE                 ,03 THREE FAMILY HOMES                      ,131,10,162240,536674,602500,640000
3,BAYCHESTER               ,01 ONE FAMILY HOMES                        ,2493,48,165000,340465,342500,500000
4,BAYCHESTER               ,02 TWO FAMILY HOMES                        ,2965,74,200000,458667,495000,636000
5,BAYCHESTER               ,03 THREE FAMILY HOMES                      ,896,9,330000,478589,508800,575000
6,BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES                        ,296,12,150500,319987,309000,530000
7,BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES                        ,616,14,228714,420917,435000,620000
8,BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES                      ,259,11,224000,511940,527845,685000
9,BELMONT                  ,02 TWO FAMILY HOMES                        ,313,11,200000,402303,407000,731000
10,BELMONT                  ,03 THREE FAMILY HOMES                      ,236,7,196000,412680,471277,525000
11,BRONXDALE                ,01 ONE FAMILY HOMES                        ,1300,40,165000,319013,303750,607500
12,BRONXDALE                ,02 TWO FAMILY HOMES                        ,1855,43,204110,450890,460000,650000
13,BRONXDALE                ,03 THREE FAMILY HOMES                      ,458,17,275000,461367,445000,712775
14,CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES                        ,788,17,225000,323771,335000,385000
15,CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES                        ,1500,33,265000,474881,475000,1000000
16,CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES                      ,412,7,250000,458796,499924,680000
17,CITY ISLAND              ,01 ONE FAMILY HOMES                        ,834,18,165000,419133,447500,550000
18,CITY ISLAND              ,02 TWO FAMILY HOMES                        ,258,5,330000,518372,550000,661862
19,CITY ISLAND-PELHAM STRIP ,01 ONE FAMILY HOMES                        ,44,2,1600000,1617500,1617500,1635000
20,CO-OP CITY               ,01 ONE FAMILY HOMES                        ,19,1,230000,230000,230000,230000
21,COUNTRY CLUB             ,01 ONE FAMILY HOMES                        ,1471,35,190000,446107,455000,687500
22,COUNTRY CLUB             ,02 TWO FAMILY HOMES                        ,957,21,163000,498046,475000,663856
23,COUNTRY CLUB             ,03 THREE FAMILY HOMES                      ,211,2,700000,705000,705000,710000
24,CROTONA PARK             ,01 ONE FAMILY HOMES                        ,123,2,350000,383500,383500,417000
25,CROTONA PARK             ,02 TWO FAMILY HOMES                        ,289,7,290000,401385,400000,518707
26,CROTONA PARK             ,03 THREE FAMILY HOMES                      ,134,6,200000,334289,332616,520000
27,EAST TREMONT             ,01 ONE FAMILY HOMES                        ,200,6,189000,310589,325702,365000
28,EAST TREMONT             ,02 TWO FAMILY HOMES                        ,418,17,152100,314998,326000,496281
29,EAST TREMONT             ,03 THREE FAMILY HOMES                      ,356,6,223000,485162,502156,661862
30,FIELDSTON                ,01 ONE FAMILY HOMES                        ,346,9,600000,1273889,1290000,2375000
31,FIELDSTON                ,02 TWO FAMILY HOMES                        ,32,1,585360,585360,585360,585360
32,FIELDSTON                ,03 THREE FAMILY HOMES                      ,13,1,735750,735750,735750,735750
33,FORDHAM                  ,01 ONE FAMILY HOMES                        ,123,4,150000,294198,313396,400000
34,FORDHAM                  ,02 TWO FAMILY HOMES                        ,271,9,250000,427367,463220,525000
35,FORDHAM                  ,03 THREE FAMILY HOMES                      ,98,3,243463,408379,477000,504674
36,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES                        ,140,4,250000,556552,356270,1263667
37,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES                        ,595,17,150000,372701,330000,710188
38,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES                      ,294,8,172380,395469,426687,670000
39,HUNTS POINT              ,02 TWO FAMILY HOMES                        ,218,5,155627,340177,322240,502166
40,HUNTS POINT              ,03 THREE FAMILY HOMES                      ,123,3,150000,343274,399821,480000
41,KINGSBRIDGE HTS/UNIV HTS ,01 ONE FAMILY HOMES                        ,249,5,180000,273164,295188,352842
42,KINGSBRIDGE HTS/UNIV HTS ,02 TWO FAMILY HOMES                        ,382,9,220000,377272,405000,575000
43,KINGSBRIDGE HTS/UNIV HTS ,03 THREE FAMILY HOMES                      ,145,4,625000,691250,692500,755000
44,KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES                        ,445,6,150000,285812,261037,485000
45,KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES                        ,543,9,150000,416195,410000,629000
46,KINGSBRIDGE/JEROME PARK  ,03 THREE FAMILY HOMES                      ,174,1,390000,390000,390000,390000
47,MELROSE/CONCOURSE        ,01 ONE FAMILY HOMES                        ,112,2,295000,310000,310000,325000
48,MELROSE/CONCOURSE        ,02 TWO FAMILY HOMES                        ,385,17,157000,330718,355100,574778
49,MELROSE/CONCOURSE        ,03 THREE FAMILY HOMES                      ,454,11,223777,386064,365000,560000
50,MORRIS PARK/VAN NEST     ,01 ONE FAMILY HOMES                        ,912,20,245000,412220,422500,540000
51,MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES                        ,1747,47,160000,397964,390000,550000
52,MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES                      ,520,12,250000,512042,502500,785000
53,MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES                        ,748,15,150500,272354,293195,335000
54,MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES                        ,1254,20,150000,340462,321497,667371
55,MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES                      ,976,43,150000,415343,449783,679557
56,MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES                        ,250,2,350000,356000,356000,362000
57,MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES                        ,480,9,150000,350687,390000,450000
58,MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES                      ,216,1,925721,925721,925721,925721
59,MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES                        ,59,1,321426,321426,321426,321426
60,MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES                        ,212,9,225000,431961,442000,800000
61,MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES                      ,179,1,585000,585000,585000,585000
62,PARKCHESTER              ,01 ONE FAMILY HOMES                        ,133,3,150000,290042,250000,470127
63,PARKCHESTER              ,02 TWO FAMILY HOMES                        ,591,20,156000,362829,380500,500000
64,PARKCHESTER              ,03 THREE FAMILY HOMES                      ,332,6,276500,462329,467000,566500
65,PELHAM GARDENS           ,01 ONE FAMILY HOMES                        ,710,14,300000,485150,445750,799999
66,PELHAM GARDENS           ,02 TWO FAMILY HOMES                        ,405,10,350000,514499,490000,714285
67,PELHAM GARDENS           ,03 THREE FAMILY HOMES                      ,32,1,590000,590000,590000,590000
68,PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES                        ,968,14,260000,464929,445000,800000
69,PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES                        ,1115,31,218324,481154,440000,925000
70,PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES                      ,179,6,250000,546250,555000,750000
71,PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES                        ,483,8,400000,483375,486000,535000
72,PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES                        ,500,13,200000,482919,476000,670000
73,PELHAM PARKWAY SOUTH     ,03 THREE FAMILY HOMES                      ,117,3,550500,590167,555000,665000
74,RIVERDALE                ,01 ONE FAMILY HOMES                        ,1170,16,425000,1391750,860250,5000000
75,RIVERDALE                ,02 TWO FAMILY HOMES                        ,434,6,281550,595758,610250,810000
76,RIVERDALE                ,03 THREE FAMILY HOMES                      ,138,2,480000,711875,711875,943750
77,SCHUYLERVILLE/PELHAM BAY ,01 ONE FAMILY HOMES                        ,1149,22,200000,357657,371150,470000
78,SCHUYLERVILLE/PELHAM BAY ,02 TWO FAMILY HOMES                        ,1547,45,150000,499851,505000,700556
79,SCHUYLERVILLE/PELHAM BAY ,03 THREE FAMILY HOMES                      ,539,10,150000,478110,526875,664350
80,SOUNDVIEW                ,01 ONE FAMILY HOMES                        ,908,29,169000,307050,316456,422782
81,SOUNDVIEW                ,02 TWO FAMILY HOMES                        ,2143,53,150000,413103,437750,665889
82,SOUNDVIEW                ,03 THREE FAMILY HOMES                      ,1289,28,229900,483550,477500,724174
83,THROGS NECK              ,01 ONE FAMILY HOMES                        ,2368,58,150000,373870,387500,530450
84,THROGS NECK              ,02 TWO FAMILY HOMES                        ,1912,36,150000,423244,398370,660844
85,THROGS NECK              ,03 THREE FAMILY HOMES                      ,309,5,339690,486556,400000,732292
86,WAKEFIELD                ,01 ONE FAMILY HOMES                        ,1519,40,163508,297651,317261,400000
87,WAKEFIELD                ,02 TWO FAMILY HOMES                        ,1988,56,180000,421869,426500,622864
88,WAKEFIELD                ,03 THREE FAMILY HOMES                      ,461,9,313983,499087,525000,565000
89,WESTCHESTER              ,01 ONE FAMILY HOMES                        ,376,16,190000,312680,287030,650000
90,WESTCHESTER              ,02 TWO FAMILY HOMES                        ,951,33,180000,383681,396265,550000
91,WESTCHESTER              ,03 THREE FAMILY HOMES                      ,347,8,260000,482243,525672,670000
92,WILLIAMSBRIDGE           ,01 ONE FAMILY HOMES                        ,1159,38,160000,285945,277500,530000
93,WILLIAMSBRIDGE           ,02 TWO FAMILY HOMES                        ,2474,76,160000,367631,387358,825000
94,WILLIAMSBRIDGE           ,03 THREE FAMILY HOMES                      ,1001,35,205250,516895,571645,675000
95,WOODLAWN                 ,01 ONE FAMILY HOMES                        ,444,8,150000,346250,375000,575000
96,WOODLAWN                 ,02 TWO FAMILY HOMES                        ,475,7,295000,427571,416000,592000
