,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
0,ALPHABET CITY            ,03 THREE FAMILY HOMES                      ,2,3200000,3275000,3275000,3350000
1,CHELSEA                  ,01 ONE FAMILY HOMES                        ,1,3800000,3800000,3800000,3800000
2,CHELSEA                  ,02 TWO FAMILY HOMES                        ,1,4388888,4388888,4388888,4388888
3,CHELSEA                  ,03 THREE FAMILY HOMES                      ,2,4280000,4640000,4640000,5000000
4,CHINATOWN                ,02 TWO FAMILY HOMES                        ,1,9425000,9425000,9425000,9425000
5,EAST VILLAGE             ,01 ONE FAMILY HOMES                        ,1,5300000,5300000,5300000,5300000
6,EAST VILLAGE             ,02 TWO FAMILY HOMES                        ,1,3300000,3300000,3300000,3300000
7,FASHION                  ,02 TWO FAMILY HOMES                        ,1,4125000,4125000,4125000,4125000
8,GRAMERCY                 ,02 TWO FAMILY HOMES                        ,3,3450000,7630000,6240000,13200000
9,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        ,1,5529097,5529097,5529097,5529097
10,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        ,2,4575000,5687500,5687500,6800000
11,GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES                      ,4,3054750,6888688,5500000,13500000
12,GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        ,3,3525000,10583333,13825000,14400000
13,GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        ,9,4600000,8665000,6500000,17000000
14,GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      ,5,3975000,6140000,4525000,9500000
15,HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        ,4,850000,1459250,1368500,2250000
16,HARLEM-CENTRAL           ,02 TWO FAMILY HOMES                        ,12,271500,1149048,955500,2200000
17,HARLEM-CENTRAL           ,03 THREE FAMILY HOMES                      ,8,175000,858420,746180,1750000
18,HARLEM-EAST              ,02 TWO FAMILY HOMES                        ,1,1250000,1250000,1250000,1250000
19,HARLEM-EAST              ,03 THREE FAMILY HOMES                      ,3,589915,1036638,1100000,1420000
20,HARLEM-UPPER             ,01 ONE FAMILY HOMES                        ,1,2325000,2325000,2325000,2325000
21,HARLEM-UPPER             ,02 TWO FAMILY HOMES                        ,5,700000,1201754,977520,2331250
22,HARLEM-UPPER             ,03 THREE FAMILY HOMES                      ,2,661862,874470,874470,1087078
23,HARLEM-WEST              ,02 TWO FAMILY HOMES                        ,1,604761,604761,604761,604761
24,INWOOD                   ,01 ONE FAMILY HOMES                        ,3,331500,428500,422000,532000
25,KIPS BAY                 ,02 TWO FAMILY HOMES                        ,1,1000000,1000000,1000000,1000000
