,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
0,AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,1,425000,425000,425000,425000
1,AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        ,1,575000,575000,575000,575000
2,ARVERNE                  ,01 ONE FAMILY HOMES                        ,35,150000,295315,273667,705000
3,ARVERNE                  ,02 TWO FAMILY HOMES                        ,156,210000,513853,542337,967337
4,ARVERNE                  ,03 THREE FAMILY HOMES                      ,8,286500,422919,444500,525000
5,ASTORIA                  ,01 ONE FAMILY HOMES                        ,48,262896,641873,582500,999900
6,ASTORIA                  ,02 TWO FAMILY HOMES                        ,139,232500,761839,735000,3100000
7,ASTORIA                  ,03 THREE FAMILY HOMES                      ,57,162000,751511,770000,2133334
8,BAYSIDE                  ,01 ONE FAMILY HOMES                        ,259,165898,637605,625000,1451000
9,BAYSIDE                  ,02 TWO FAMILY HOMES                        ,94,151112,779426,800000,1425550
10,BAYSIDE                  ,03 THREE FAMILY HOMES                      ,9,640000,915117,825000,1262056
11,BEECHHURST               ,01 ONE FAMILY HOMES                        ,35,304200,960628,892540,3309312
12,BEECHHURST               ,02 TWO FAMILY HOMES                        ,3,400000,519000,557000,600000
13,BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,14,566000,777821,748000,995000
14,BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,15,539300,714087,700000,1177000
15,BELLEROSE                ,01 ONE FAMILY HOMES                        ,103,275000,493426,473000,880000
16,BELLEROSE                ,02 TWO FAMILY HOMES                        ,24,422000,533426,503000,810000
17,BRIARWOOD                ,01 ONE FAMILY HOMES                        ,25,225000,525630,460000,1225000
18,BRIARWOOD                ,02 TWO FAMILY HOMES                        ,13,160000,591325,535000,1225000
19,BRIARWOOD                ,03 THREE FAMILY HOMES                      ,4,585000,685000,670000,815000
20,BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,26,156491,328450,340000,490000
21,BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,1,425000,425000,425000,425000
22,CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,82,150000,388965,404237,570000
23,CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,10,230000,410404,382500,649000
24,COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,57,200000,507241,475000,1275000
25,COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,110,250000,679672,646000,1320000
26,COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,14,310000,629471,660000,880000
27,CORONA                   ,01 ONE FAMILY HOMES                        ,30,265000,485608,460000,820000
28,CORONA                   ,02 TWO FAMILY HOMES                        ,106,150071,618407,631315,1390000
29,CORONA                   ,03 THREE FAMILY HOMES                      ,69,160000,748755,780000,999000
30,DOUGLASTON               ,01 ONE FAMILY HOMES                        ,70,171385,893438,800000,3000000
31,DOUGLASTON               ,02 TWO FAMILY HOMES                        ,6,740000,871333,864500,999000
32,EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,42,301439,495651,439070,863000
33,EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,86,170000,587384,581375,900000
34,EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,20,150000,634104,670931,890000
35,ELMHURST                 ,01 ONE FAMILY HOMES                        ,75,166000,632116,530000,5617500
36,ELMHURST                 ,02 TWO FAMILY HOMES                        ,110,250000,661741,665500,1390000
37,ELMHURST                 ,03 THREE FAMILY HOMES                      ,70,269587,870065,870000,1369546
38,FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        ,63,162240,474424,422659,1350000
39,FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        ,96,170000,454120,466082,750000
40,FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      ,32,264756,544712,572234,700000
41,FLORAL PARK              ,01 ONE FAMILY HOMES                        ,104,152637,523511,510000,925000
42,FLORAL PARK              ,02 TWO FAMILY HOMES                        ,11,450000,676104,650000,1200000
43,FLORAL PARK              ,03 THREE FAMILY HOMES                      ,1,751000,751000,751000,751000
44,FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        ,466,165000,643437,605000,3500000
45,FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,243,175000,764050,750000,1630000
46,FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,58,168616,827458,892439,1450000
47,FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,212,150000,554685,526698,1098888
48,FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,67,200000,623861,590000,990000
49,FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,9,814600,884218,866000,990000
50,FOREST HILLS             ,01 ONE FAMILY HOMES                        ,105,357613,894548,745000,3100000
