,nyc_cooling_tower,bin,address,borough,zip,intended_use,make,model,serial_number,cooling_capacity,cooling_capacity_1,date_registered,latitude,longitude,deleted,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,date_commissioned,community_board,council_district,census_tract,bbl,nta
0,1000002213,1083138,12 WEST 12TH,MANHATTAN,10011,NULL,MARLEY,495K,AQ-10052677-A1,1700000.0,CFM,2015-08-30T00:00:00.000,40.734548,-73.995219,No,"{'latitude': '40.734548', 'longitude': '-73.995219'}",12074.0,57,4,10,3,,,,,,
1,1000002313,3329443,250 LIVINGSTON,BROOKLYN,11201,NULL,NULL,AT-29-921,MOO5126,9000000.0,,2015-08-31T00:00:00.000,40.688759,-73.984531,No,"{'latitude': '40.688759', 'longitude': '-73.984531'}",16865.0,68,2,38,54,,,,,,
2,1000002842,4530083,93-40 SUTPHIN,QUEENS,11435,AIR CONDITIONING,EVAPCO,LSWA-232D,T020175,450.0,REFRIGERATION TONS,2015-09-01T00:00:00.000,40.698463,-73.810633,No,"{'latitude': '40.698463', 'longitude': '-73.810633'}",24670.0,41,3,6,61,2003-12-01T00:00:00.000,,,,,
3,1000003533,1069590,151 W 54TH,MANHATTAN,10019,NULL,EVAPCO,AT 8-186,870308 RH,500.0,REFRIGERATION TONS,2015-09-04T00:00:00.000,40.763413,-73.98042,No,"{'latitude': '40.763413', 'longitude': '-73.98042'}",12081.0,11,4,51,10,,,,,,
4,1000003662,3137311,953 10TH AVE,BROOKLYN,11219,NULL,MARLEY,D24681 90 3345,A0-10040454,200.0,REFRIGERATION TONS,2015-09-04T00:00:00.000,40.63959,-73.999312,No,"{'latitude': '40.63959', 'longitude': '-73.999312'}",17621.0,2,2,7,39,2005-01-01T00:00:00.000,,,,,
5,1000004036,1000821,55 BROAD,MANHATTAN,10004,NULL,MARLEY,2-650CS,12-210-66,20796000.0,BTU/HR,2015-09-09T00:00:00.000,40.705277,-74.011047,No,"{'latitude': '40.705277', 'longitude': '-74.011047'}",11726.0,56,4,32,1,1967-02-01T00:00:00.000,,,,,
6,1000004492,1087496,545 WEST 25TH,MANHATTAN,10001,NULL,EVAPCO,LSWA-P182B-2,6-295256,3850000.0,BTU/HR,2015-09-14T00:00:00.000,40.749935,-74.004941,No,"{'latitude': '40.749935', 'longitude': '-74.004941'}",11722.0,12,4,10,6,2006-08-01T00:00:00.000,,,,,
7,1000020319,1005388,180 ORCHARD/ALSO 171 LUDLOW STREET,MANHATTAN,10002,NULL,BALTIMORE AIRCOIL COMPANY (BAC),FXV-1218C-24T-L,U136619113-01-01,,,2016-10-12T00:00:00.000,40.721757,-73.98816,No,"{'latitude': '40.721757', 'longitude': '-73.98816'}",11723.0,70,4,32,4,,,,,,
8,1000000709,4530083,93-40 SUTPHIN,QUEENS,11435,NULL,NULL,,T020174,5400000.0,,2015-08-20T00:00:00.000,40.698463,-73.810633,No,"{'latitude': '40.698463', 'longitude': '-73.810633'}",24670.0,41,3,6,61,,,,,,
9,1000001361,3335182,25 WASHINGTON AVE,BROOKLYN,11205,AIR CONDITIONING,MARLEY,NC8405QAN28GF,nc-10064465-a1,800.0,,2015-08-26T00:00:00.000,40.698249,-73.967936,No,"{'latitude': '40.698249', 'longitude': '-73.967936'}",17613.0,68,2,38,55,2013-10-18T00:00:00.000,,,,,
